,word,count
0,不错,69
1,好奇,29
2,确实,27
3,快乐,21
4,厉害,18
5,神奇,17
6,惊喜,16
7,优秀,12
8,最爱,10
9,干净,9
10,强大,7
11,完美,7
12,正好,7
13,幸福,7
14,精致,7
15,可乐,6
16,很辣,5
17,疯狂,5
18,很大,5
19,微博,5
20,漂亮,5
21,恭喜,5
22,舒服,5
23,合适,5
24,很棒,4
25,努力,4
26,不愧,4
27,不腻,4
28,卫生,4
29,很酷,3
30,麻烦,3
31,无聊,3
32,成功,3
33,好酷,3
34,不涂,3
35,一大,3
36,好恶,3
37,详情,3
38,有趣,3
39,模特,3
40,优雅,2
41,繁多,2
42,新颖,2
43,吃辣,2
44,便宜,2
45,孤单,2
46,惊艳,2
47,疲劳,2
48,奇妙,2
49,太秀,2
50,仔细,2
51,焦虑,2
52,高大,2
53,烦恼,2
54,危险,2
55,正愁,2
56,骄傲,2
57,惊人,2
58,暴躁,2
59,很脏,2
60,不活,2
61,温柔,2
62,简单,2
63,渺小,2
64,别扭,2
65,熱烈,2
66,不酷,2
67,怕不怕,2
68,怪异,2
69,挺好用,2
70,珍惜,1
71,固体,1
72,精美,1
73,遗憾,1
74,完整,1
75,丰厚,1
76,直爽,1
77,巧妙,1
78,微张,1
79,发霉,1
80,正式,1
81,温暖,1
82,巧快,1
83,好巧,1
84,最长,1
85,丰盛,1
86,浩然,1
87,很涩,1
88,谦虚,1
89,明达,1
90,根硕,1
91,轻浮,1
92,必喝,1
93,清爽,1
94,狂热,1
95,轻易,1
96,眼熟,1
97,很好,1
98,惊讶,1
99,不辣,1
100,清奇,1
101,独特,1
102,诙谐,1
103,心痒,1
104,紧张,1
105,平常,1
106,诧异,1
107,和谐,1
108,正合适,1
109,挺多,1
110,美好,1
111,热爱,1
112,烦躁,1
113,心悦,1
114,好懒,1
115,恍惚,1
116,清秀,1
117,良心,1
118,最多,1
119,怕死,1
120,严谨,1
121,很烦,1
122,一热,1
123,酷奥,1
124,幸运,1
125,持久,1
126,完涂,1
127,有害,1
128,诚实,1
129,激动,1
130,脆皮,1
131,沉默,1
132,富贵,1
133,真恶,1
134,心疼,1
135,长胖,1
136,一嗦,1
137,惡心,1
138,粗暴,1
139,豪华,1
140,浪漫,1
141,严肃,1
142,高冷,1
143,浮沉,1
144,最辣,1
145,有福,1
146,忙碌,1
147,爱涂,1
148,灿烂,1
149,强迫,1
150,很困,1
151,奇效,1
152,软大,1
153,挺爱,1
154,配套,1
155,频繁,1
156,冷酷,1
157,温婉,1
158,纯良,1
159,凑齐,1
160,齐活,1
161,不景气,1
162,烦死,1
163,炫酷,1
164,幼稚,1
165,罕见,1
166,健康,1
167,牢固,1
168,意外,1
169,清新,1
170,吃大,1
