company_permalink,acquirer_permalink,acquirer_name,acquirer_category_code,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,price_amount,price_currency_code,acquired_at,acquired_at_cleaned,id
/company/kahoots,/company/rentjuice,RentJuice,real_estate,USA,CA,SF Bay,San Francisco,,USD,3/2/11,2011-03-02 00:00:00,3429
/company/kai-pharmaceuticals,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,3.15E8,USD,4/10/12,2012-04-10 00:00:00,3430
/company/kalpana,/company/cisco,Cisco,hardware,USA,CA,SF Bay,San Jose,,USD,10/24/94,1994-10-24 00:00:00,3431
/company/kaltix,/company/google,Google,search,USA,CA,SF Bay,Mountain View,,USD,9/30/03,2003-09-30 00:00:00,3432
/company/kalvin,/company/digital-management,Digital Management,enterprise,USA,MD,Washington DC,Bethesda,,USD,5/21/13,2013-05-21 00:00:00,3433
/company/kana-software,/company/verint,Verint Systems,software,USA,NY,Melville,Melville,5.14E8,USD,1/6/14,2014-01-06 00:00:00,3434
/company/kanbox,/company/alibaba,Alibaba,ecommerce,CHN,,Hangzhou,Hangzhou,,USD,9/25/13,2013-09-25 00:00:00,3435
/company/kanbox,/company/alibaba-group-holding-limited,Alibaba Group Holding Limited,,,,unknown,,,USD,9/25/13,2013-09-25 00:00:00,3436
/company/kanchiads,/company/corporate-valley,Corporate Valley,web,,,unknown,,10000.0,USD,12/18/12,2012-12-18 00:00:00,3437
/company/kanobu-network,/company/rambler,Rambler,,RUS,,Moscow,Moscow,,USD,6/29/11,2011-06-29 00:00:00,3438
/company/kapow-technologies,/company/kofax,Kofax,software,USA,CA,Los Angeles,Irvine,4.75E7,USD,7/31/13,2013-07-31 00:00:00,3439
/company/karma,/company/facebook,Facebook,social,USA,CA,SF Bay,Menlo Park,,USD,5/18/12,2012-05-18 00:00:00,3440
/company/karyon-ctt,/company/isogenica,Isogenica,biotech,GBR,,London,Cambridge,,USD,5/6/08,2008-05-06 00:00:00,3441
/company/kasenna,/company/espial-group,Espial Group,software,CAN,,Ontario,Ontario,7.991E7,USD,7/10/08,2008-07-10 00:00:00,3442
/company/kashya,/company/emc,EMC,enterprise,USA,MA,Boston,Hopkinton,,USD,5/9/06,2006-05-09 00:00:00,3443
/company/katango,/company/google,Google,search,USA,CA,SF Bay,Mountain View,,USD,11/10/11,2011-11-10 00:00:00,3444
/company/kaufda-de,/company/axel-springer,Axel Springer,news,DEU,,Berlin,Berlin,4.0E7,USD,3/2/11,2011-03-02 00:00:00,3445
/company/kayak,/company/priceline,Priceline,travel,USA,CT,New York,Norwalk,,USD,11/8/12,2012-11-08 00:00:00,3446
/company/kaydon,/company/skf,SKF,manufacturing,IND,,Pune,"Pune,Maharastra",1.25E9,USD,9/5/13,2013-09-05 00:00:00,3447
/company/kaz-group,/company/fujitsu,Fujitsu,enterprise,AUS,,North Sydney,North Sydney,1.61E8,USD,5/1/09,2009-05-01 00:00:00,3448
/company/kday-93-5-fm,/company/meruelo-media,Meruelo Media,,USA,CA,Los Angeles,Los Angeles,,USD,12/11/13,2013-12-11 00:00:00,3449
/company/kdm,/company/nelson-miller,Nelson-Miller,,USA,CA,Los Angeles,Los Angeles,,USD,5/1/12,2012-05-01 00:00:00,3450
/company/keithley-instruments,/company/danaher,Danaher,,USA,DC,Washington DC,Washington,,USD,9/29/10,2010-09-29 00:00:00,3451
/company/kelkoo,/company/yahoo,Yahoo!,web,USA,CA,SF Bay,Sunnyvale,4.75E8,EUR,3/26/04,2004-03-26 00:00:00,3452
/company/kelkoo,/company/jamplant,Jamplant,,,,unknown,,,USD,11/21/08,2008-11-21 00:00:00,3453
/company/kelly-blue-book,/company/autotrader,AutoTrader.com,web,USA,,Atlanta,"Atlanta,",,USD,10/26/10,2010-10-26 00:00:00,3454
/company/kenet,/company/intersil,Intersil,semiconductor,USA,CA,SF Bay,Milpitas,3.56E7,USD,9/30/08,2008-09-30 00:00:00,3455
/company/kenexa,/company/ibm,IBM,software,USA,NY,New York,Armonk,1.3E9,USD,8/28/12,2012-08-28 00:00:00,3456
/company/kenzei,/company/mediatrust,MediaTrust,advertising,USA,NY,New York,New York,,USD,1/18/10,2010-01-18 00:00:00,3457
/company/kerdock-consulting,/company/perficient,Perficient,consulting,USA,TX,Austin,Austin,,USD,3/29/10,2010-03-29 00:00:00,3458
/company/kerick-valve,/company/control-devices,Control Devices,,USA,MO,TBD,"Fenton,",,USD,11/12/13,2013-11-12 00:00:00,3459
/company/kerpoof,/company/the-walt-disney-company,The Walt Disney Company,games_video,USA,CA,Los Angeles,Burbank,,USD,2/19/09,2009-02-19 00:00:00,3460
/company/kesmai,/company/electronicarts,Electronic Arts,games_video,USA,WA,SF Bay,Redwood City,,USD,11/22/99,1999-11-22 00:00:00,3461
/company/ketchum-communications-holdings,/company/omnicom-group,Omnicom Group,,USA,NY,New York,New York,,USD,1/10/96,1996-01-10 00:00:00,3462
/company/ketera,/company/deem,Deem,ecommerce,USA,CA,SF Bay,San Francisco,,USD,12/1/10,2010-12-01 00:00:00,3463
/company/key-prestige,/company/servicepower,ServicePower Technologies,software,GBR,,Stockport,Stockport,,USD,3/1/04,2004-03-01 00:00:00,3464
/company/mobestream-media-inc,/company/gannett,Gannett,web,USA,VA,Washington DC,McLean,,USD,9/6/12,2012-09-06 00:00:00,3465
