评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
这评论区真的是，，,2022-02-21 06:30:06,6,评论,这评论区真的是，,0.2636
小西吧们没父没母没祖宗，偷点别人家的文化怎么了？[doge],2022-02-21 05:54:32,5,评论,小西吧们没父没母没祖宗，偷点别人家的文化怎么了？,0.012
看着老爷子撕的挺轻松，有些人就产生了【我上我也行】【这有啥好炫耀的】【就这，非遗？】的古怪想法。那些人！你发一个视频证明你上你也行我就服你，可别在纸上画出来都撕不明白哦,2022-02-21 05:13:29,5,评论,看着老爷子撕的挺轻松，有些人就产生了【我上我也行】【这有啥好炫耀的】【就这，非遗？】的古怪想法。那些人！你发一个视频证明你上你也行我就服你，可别在纸上画出来都撕不明白哦,0.0732
弹幕说有人剪纸用刀刻那个，是因为剪纸分阴阳两种剪法，有些太细小又精致的花纹，再小的剪刀都容易剪坏啦，用刻刀会比较方便好控制,2022-02-21 05:10:36,4,评论,弹幕说有人剪纸用刀刻那个，是因为剪纸分阴阳两种剪法，有些太细小又精致的花纹，再小的剪刀都容易剪坏啦，用刻刀会比较方便好控制,0.961
把手机横过来像美人鱼哦 上面鱼下面人,2022-02-21 04:56:30,5,评论,把手机横过来像美人鱼哦 上面鱼下面人,0.5728
刚刚有那么一瞬间我感觉我上我也行,2022-02-21 04:41:53,5,评论,刚有那么一瞬间我感觉我上我也行,0.8376
老叔叔有心了[奥特曼初升之光_为你点赞],2022-02-21 04:25:33,5,评论,老叔有心了,0.8743
我能撕一个碎碎平安[笑哭],2022-02-21 03:49:32,6,评论,我能撕一个碎平安,0.192
이것이 우리 대한민국의 전통이다[doge][doge][doge][doge]（抱歉，开个玩笑中国人不骗中国人）,2022-02-21 03:43:27,5,评论,이것이 우리 대한민국의 전통이다（抱歉，开个玩笑中国人不骗中国人）,0.1442
我也会撕纸，不过我撕出来的是垃圾，人家老先生撕出来的是艺术,2022-02-21 03:16:00,6,评论,我也会撕纸，不过我撕出来的是垃圾，人家老先生撕出来的是艺术,0.1531
