评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
好美！！,2021-07-31 12:11:53,2,评论,好美！,0.9858
太好看了吧，啊啊啊啊啊啊～,2021-07-31 11:04:39,4,评论,太好看了吧，啊～,0.8781
哇好好看啊,2021-07-31 04:27:59,4,评论,哇好看啊,0.9767
天呐，好好看！[星星眼],2021-07-31 00:02:37,5,评论,天呐，好看！,0.9779
蜡染布[藏狐] 其实还是玩剑网三才接触的这些美好 只不过现在已经不存在了…唉,2021-07-30 23:45:45,6,评论,蜡染布 其实还是玩剑网三才接触的这些美好 只不过现在已经不存在了…唉,0.1538
太美了,2021-07-30 23:23:21,5,评论,太美了,0.8629
棒子国：再偷了思密达,2021-07-30 22:26:54,5,评论,棒子国：再偷了思密达,0.0255
这个跟马来西亚和印尼batik做法挺像的，不过batik似乎更复杂一点,2021-07-30 22:18:58,5,评论,这个跟马来西亚和印尼batik做法挺像的，不过batik似乎更复杂一点,0.4052
在学校里搞过这个，滴到手上是真烫[笑哭][笑哭],2021-07-30 21:44:55,3,评论,在学校里搞过这个，滴到手上是真烫,0.0825
学服装设计的，很感谢我们一个老师，给我讲解科普这些,2021-07-30 21:10:24,6,评论,学服装设计的，很感谢我们一个老师，给我讲解科普这些,0.9656
棒子：在申了，思密达！,2021-07-30 21:00:11,5,评论,棒子：在申了，思密达！,0.0548
所以可不可以买鸭[微笑]想要,2021-07-30 20:41:51,5,评论,所以可不可以买鸭想要,0.7615
[鼓掌],2021-07-30 20:20:39,5,评论,,0.5678
在李子柒视频看过。她做的已经很好看了，原来还能这么好看！,2021-07-30 20:13:39,5,评论,在李子柒视频看过。她做的已经很好看了，原来还能这么好看！,0.9958
原谅我才疏学浅，只能表达一句好好看,2021-07-30 19:15:45,3,评论,原谅我才疏学浅，只能表达一句好看,0.6186
我觉得这用来做汉服也很不错,2021-07-30 17:30:31,5,评论,我觉得这用来做汉服也很不错,0.9788
啊啊啊啊啊啊啊加水印！！,2021-07-30 17:13:58,5,评论,啊加水印！,0.6838
好漂亮,2021-07-30 17:14:14,5,评论,好漂亮,0.9831
🇨🇳,2021-07-30 14:53:10,5,评论,🇨🇳,0.6105
告诉我价格，让我死心！[笑哭],2021-07-30 14:41:55,5,评论,告诉我价格，让我死心！,0.1161
这个是蓝印花布吗？美术老师介绍过,2021-07-30 14:30:04,3,评论,这个是蓝印花布吗？美术老师介绍过,0.2427
小心偷国人,2021-07-30 14:27:50,5,评论,小心偷国人,0.0952
这个好像画水彩的留白液！！！[星星眼],2021-07-30 14:00:27,4,评论,这个好像画水彩的留白液！,0.6533
水印啊,2021-07-30 13:13:53,5,评论,水印啊,0.72
转场有点废眼睛,2021-07-30 13:04:39,5,评论,转场有点废眼睛,0.0348
指甲好美哦,2021-07-30 11:52:44,3,评论,指甲好美哦,0.9913
加水印啊！！姐姐！,2021-07-30 11:24:46,4,评论,加水印啊！姐！,0.8109
哇，好好看,2021-07-30 10:46:33,4,评论,哇，好看,0.9882
我去。好好看(｡･ω･｡)ﾉ♡,2021-07-30 10:31:35,5,评论,我去。好看(｡･ω･｡)ﾉ♡,0.948
绝美,2021-07-30 02:59:37,5,评论,绝美,0.8377
这玩意韩国人想说是它们的也说不了！中国的蜡染真的是有灵魂的！,2021-07-30 01:13:22,5,评论,这玩意韩国人想说是它们的也说不了！中国的蜡染真的是有灵魂的！,0.1627
太惊艳了，好想学啊，这种值得传承的东西,2021-07-30 00:01:03,5,评论,太惊艳了，好想学啊，这种值得传承的东西,0.9914
在申了，思密达[doge],2021-07-29 23:38:52,5,评论,在申了，思密达,0.3229
你一定会画糖画吧[doge],2021-07-29 23:12:24,5,评论,你一定会画糖画吧,0.6823
牛牛牛！！！,2021-07-29 22:52:30,5,评论,牛！,0.8267
水印啊,2021-07-29 22:36:41,5,评论,水印啊,0.72
好看，,2021-07-29 22:15:34,5,评论,好看，,0.9591
在申了在申了思密达[doge],2021-07-29 21:52:42,5,评论,在申了思密达,0.2435
靛蓝，还是腚蓝,2021-07-29 21:50:05,4,评论,靛蓝，还是腚蓝,0.6312
美术课本上有！！！布上完腊再染蓝,2021-07-29 21:34:15,3,评论,美术课本上有！布上完腊再染蓝,0.7941
