评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
买买买！！！！教我玩儿！！！在教我这个顺口溜！！！！,2021-12-29 20:57:47,5,评论,买！教我玩儿！在教我这个顺口溜！,0.7934
有点上头,2021-12-23 11:27:37,6,评论,有点上头,0.1461
原来这个叫翻花,2021-12-29 16:01:56,5,评论,原来这个叫翻花,0.5563
嚯，现在都是非遗了吗？小时候很喜欢玩,2022-01-07 00:35:20,5,评论,嚯，现在都是非遗了吗？小时候很喜欢玩,0.714
这嘴是非遗的吧？。。,2021-12-26 16:14:54,4,评论,这嘴是非遗的吧？。,0.1285
和卖编发器的一样，他手里玩出花，我拿着干瞪眼,2021-12-25 00:44:16,5,评论,和卖编发器的一样，他手里玩出花，我拿着干瞪眼,0.2028
编发器慢慢琢磨起码还能使，这玩意大概率就看他表演有意思就算能学会了自己玩也一样[思考][吃瓜],2021-12-25 11:33:46,6,回复,编发器慢琢磨起码还能使，这玩意大概率就看他表演有意思就算能学会了自己玩也一样,0.0187
我小时候在庙会买过这个，确实不会玩，只能翻出几种花[囧],2022-01-05 01:54:59,5,回复,我小时候在庙会买过这个，确实不会玩，只能翻出几种花,0.5909
非遗的应该是这张嘴吧[喜极而泣],2021-12-26 20:39:00,5,评论,非遗的应该是这张嘴吧,0.2035
这嘴可不卖哈[偷笑],2022-01-01 01:41:51,5,回复,这嘴可不卖哈,0.6646
师傅别念了哈哈哈哈哈确实厉害,2022-01-10 19:05:02,6,回复,师傅别念了哈确实厉害,0.8339
回复 @餹豆腐-吃货 :加钱！,2022-01-11 03:26:39,5,回复,回复 @餹豆腐-吃货 :加钱！,0.6453
原来这么玩[笑哭],2021-12-26 00:34:39,5,评论,原来这么玩,0.509
买了送同款手跟嘴吗[笑哭],2021-12-26 00:04:29,6,评论,买了送同款手跟嘴吗,0.2672
口才好厉害啊[doge],2021-12-25 14:37:56,4,评论,口才好厉害啊,0.7744
[惊讶][惊讶]好牛,2021-12-25 01:48:38,4,评论,好牛,0.9488
咒语怎么学,2021-12-24 23:46:01,4,评论,咒语怎么学,0.1295
哇哦,2021-12-23 18:15:36,4,评论,哇哦,0.9058
好神奇！,2022-01-10 04:22:09,5,评论,好神奇！,0.9491
小时候玩过，长大后就没见过了,2022-01-07 01:49:22,5,评论,小时候玩过，长大后就没见过了,0.5984
小时候玩过，但是真不知道能这样玩,2021-12-31 01:48:26,5,评论,小时候玩过，但是真不知道能这样玩,0.3283
好厉害。在哪里可以买正宗的翻花,2021-12-29 12:33:51,6,评论,好厉害。在哪里可以买正宗的翻花,0.7869
我要是小孩子我肯定非常喜欢也非常想买[妙啊],2021-12-28 17:57:36,5,评论,我要是小孩子我肯定非常喜欢也非常想买,0.9719
我不信，你这一定是四维物体,2021-12-28 16:24:56,5,评论,我不信，你这一定是四维物体,0.1117
李云龙的绣花鞋[笑哭][笑哭][笑哭][笑哭],2021-12-28 14:02:24,3,评论,李云龙的绣花鞋,0.5945
😂😂到底是多聪明的脑子才会发明出这个啊,2021-12-28 08:38:16,6,评论,😂到底是多聪明的脑子才会发明出这个啊,0.2057
