评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
水印！水印！水印！不然四月小姐姐就成越南或棒子国人了,2021-02-04 01:20:13,5,评论,水印！不然四月小姐就成越南或棒子国人了,0.0026
快点加水印，不然过几天你都不知道是哪国人了[微笑],2021-02-05 20:09:45,5,回复,快点加水印，不然过几天你都不知道是哪国人了,0.9999
既然这么爱偷，以后遇见韩国相关直接嘲他偷国，骨子里的小偷，管他是不是人人如此，就该抵韩,2021-02-08 18:26:20,4,回复,既然这么爱偷，以后遇见韩国相关直接嘲他偷国，骨子里的小偷，管他是不是人如此，就该抵韩,0.0033
小姐姐新发的视频加上了水印！,2021-02-09 14:19:09,5,回复,小姐新发的视频加上了水印！,0.0009
记得打上水印！！！不然会被韩国人盗视频，并被说成是韩国文化的。,2021-02-03 21:59:54,5,评论,记得打上水印！不然会被韩国人盗视频，并被说成是韩国文化的。,0.9999
第一段的BGM真的很好听！,2021-02-03 23:39:22,4,回复,第一段的BGM真的很好听！,0.9998
回复 @烟雨行舟江南春 :第一段是上错花轿嫁对郎里的插曲,2021-02-04 23:58:50,5,回复,回复 @烟雨行舟江南春 :第一段是上错花轿嫁对郎里的插曲,0.9998
没用 ，水印也是韩国的,2021-02-05 12:53:49,4,回复,没用 ，水印也是韩国的,0.0008
"抱歉说和视频无关的事，但求球大家关注一下吧！“韩国买下了外网最大小说网对外输出偷来的武侠、仙侠、晋江古言，并洗脑外国人这是高丽文化”抢汉服就算了（汉服那么久历史了对他们韩服影响甚大），但是武侠和仙侠跟他们有半毛钱关系啊，武侠韩国直接把招数名字改了搬过去，仙侠才诞生多少年对韩国有p的影响，韩国把仙侠漫画照搬过去再配上韩国字就大言不惭那是韩国元素，连江南百景图游戏都是直接把人物改了抄袭过去游戏中所用清明上河图的出处也被模糊，当年韩国派人来中国学笙说要学回去申遗，好在吴彤老师姐弟俩听到后抢先申遗保住了，现在企图用“伽倻琴”（其实也是山寨中国的琴而且山寨过程还是他们自己史料记载的）代替古筝古琴地位，中国结已经被改名韩国结在他们国内申遗，下一步就该世界申遗了，其野心肉眼可见。（另外每日都想问一遍:97年开始韩国官方美术协会派人从中国古墓里盗走的四大神兽壁画文物什么时候还?还好意思平昌冬奥会开幕式展示山寨得四不像的四大神兽宣示“主权”，现在还拍成了“韩国首部盗墓电影”宣传炫耀）别以为易经、风水、八卦、孔子、汉服、汉字、苏绣、泡菜、中国结、网文、漫画是小事而不以为然，韩国已经正在并且还会用这些手段抢占你们不以为然的高地，妄图吞噬中国文化，甚至已经有部分成功了。说实话这现状我都已经有些害怕了，哪有千日防贼一说只有防不胜防，川剧变脸都已经被偷走了，不知道怎么才能挽回这局面。近年韩国官方背后推动有组织的抄袭中国文化越来越严重!建筑！服饰！饮食!习俗等等！培养大量画手画中国风漫画在外网把中国称作“东洋风” 只字不提中国受影响是中国文化！企图模糊文化的源头!让它们方便挪用!不要小看!这是很严重侵占文化的问题！这些将能带来巨大文化收益!希望国人和官方重视起来！想了解更多的小伙伴可以wb关注文化输出现象超话，里面有大量韩国抄袭中国的帖子  ,也可以帮忙分享转发这条评论,让更多国人和官方看到重视起来！谢谢了韩国在前几年由政府牵头，在晋江等文学网站上考察，从中抄袭剽窃了大量的文章、人物设定等，而后又对中国进行反向输出，并且向外传播！现在他们甚至说五四运动是受韩国一三运动的影响发动的，端午节是他们的、汉服是他们的、李白是他们的、中国结是他们的、中秋节是他们的、佛教起源于韩国、“百闻不如一见”这样的俗语是他们的、孙中山是他们的、汉字是他们的…",2021-02-03 22:16:14,5,评论,"抱歉说和视频无关的事，但求球大家关注一下吧！“韩国买下了外网最大小说网对外输出偷来的武侠、仙侠、晋江古言，并洗脑外国人这是高丽文化”抢汉服就算了（汉服那么久历史了对他们韩服影响甚大），但是武侠和仙侠跟他们有半毛钱关系啊，武侠韩国直接把招数名字改了搬过去，仙侠才诞生多少年对韩国有p的影响，韩国把仙侠漫画照搬过去再配上韩国字就大言不惭那是韩国元素，连江南百景图游戏都是直接把人物改了抄袭过去游戏中所用清明上河图的出处也被模糊，当年韩国派人来中国学笙说要学回去申遗，好在吴彤老师姐弟俩听到后抢先申遗保住了，现在企图用“伽倻琴”（其实也是山寨中国的琴而且山寨过程还是他们自己史料记载的）代替古筝古琴地位，中国结已经被改名韩国结在他们国内申遗，下一步就该世界申遗了，其野心肉眼可见。（另外每日都想问一遍:97年开始韩国官方美术协会派人从中国古墓里盗走的四大神兽壁画文物什么时候还?还好意思平昌冬奥会开幕式展示山寨得四不像的四大神兽宣示“主权”，现在还拍成了“韩国首部盗墓电影”宣传炫耀）别以为易经、风水、八卦、孔子、汉服、汉字、苏绣、泡菜、中国结、网文、漫画是小事而不以为然，韩国已经正在并且还会用这些手段抢占你们不以为然的高地，妄图吞噬中国文化，甚至已经有部分成功了。说实话这现状我都已经有些害怕了，哪有千日防贼一说只有防不胜防，川剧变脸都已经被偷走了，不知道怎么才能挽回这局面。近年韩国官方背后推动有组织的抄袭中国文化越来越严重!建筑！服饰！饮食!习俗等！培养大量画手画中国风漫画在外网把中国称作“东洋风” 只字不提中国受影响是中国文化！企图模糊文化的源头!让它们方便挪用!不要小看!这是很严重侵占文化的问题！这些将能带来巨大文化收益!希望国人和官方重视起来！想了解更多的小伙伴可以wb关注文化输出现象超话，里面有大量韩国抄袭中国的帖子 ,也可以帮忙分享转发这条评论,让更多国人和官方看到重视起来！谢了韩国在前几年由政府牵头，在晋江等文学网站上考察，从中抄袭剽窃了大量的文章、人物设定等，而后又对中国进行反向输出，并且向外传播！现在他们甚至说五四运动是受韩国一三运动的影响发动的，端午节是他们的、汉服是他们的、李白是他们的、中国结是他们的、中秋节是他们的、佛教起源于韩国、“百闻不如一见”这样的俗语是他们的、孙中山是他们的、汉字是他们的…",0.0017
大家可以去看我的动态置顶，为保护我们传统文化的两会提案投票。,2021-02-05 09:51:39,5,回复,大家可以去看我的动态置顶，为保护我们传统文化的两会提案投票。,0.9998
共青团中央公众号发了相关文章,2021-02-05 19:23:24,4,回复,共青团中央公众号发了相关文章,0.9999
不说别的，我是个圈外人士，也是看了这个评论才知道这么回事。对一些圈内人可能了如指掌的事我们就不太理解事情有多严重，广发这些评论不能告诉我们应该做什么，而是让更多的人知道这件事。只有先了解情况了，大家才能一起想办法不是么，人多力量大，多一个人才多一份力呀,2021-02-11 14:27:50,4,回复,不说别的，我是个圈外人士，也是看了这个评论才知道这么回事。对一些圈内人可能了如指掌的事我们就不太理解事情有多严重，广发这些评论不能告诉我们应该做什么，而是让更多的人知道这件事。只有先了解情况了，大家才能一起想办法不是么，人多力量大，多一个人才多一份力呀,0.0016
四月小姐姐[惊喜]，我一女的都想娶[害羞][tv_doge],2021-02-03 21:29:12,5,评论,四月小姐,0.3505
关注up主就是为了看四月滴[害羞][害羞][tv_目瞪口呆],2021-02-03 21:30:38,5,回复,关注up主就是为了看四月滴,0.9997
