评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
这个我只在动画片里见过原来现实里也有头回见，新鲜物件[惊喜],2021-02-22 13:45:14,5,评论,这个我只在动画片里见过原来现实里也有头回见，新鲜物件,0.8355
前两天出去玩见一对卖这个的，小时候没玩过，现在也没啥兴趣了。,2021-02-22 13:24:32,5,评论,前两天出去玩见一对卖这个的，小时候没玩过，现在也没啥兴趣了。,0.2955
不der不der,2021-02-22 13:24:09,5,评论,不der,0.6105
以前经常有卖的，现在市区见不到了,2021-02-22 12:20:24,6,评论,以前经常有卖的，现在市区见不到了,0.4285
琉璃喇子,2021-02-22 12:06:36,5,评论,琉璃喇子,0.6105
我玩过，快30了,2021-02-22 11:32:41,6,评论,我玩过，快30了,0.7944
片面了 我才35,2021-02-22 11:17:27,5,评论,片面了 我才35,0.2081
乍一看以为是孙笑川,2021-02-22 10:39:52,5,评论,乍一看以为是孙笑川,0.0471
感觉什么东西都是非遗了,2021-02-22 10:10:26,5,评论,感觉什么东西都是非遗了,0.2927
我晋城的，我们这叫琉璃各贝儿,2021-02-22 10:03:48,5,评论,我晋城的，我们这叫琉璃各贝儿,0.8175
完了我15，玩儿过，因为小时候我妈带我逛庙会，看见一摊子卖这个，买回来还挺好玩的，然后就不见了[大哭][大哭],2021-02-22 03:16:50,5,评论,完了我15，玩儿过，因为小时候我妈带我逛庙会，看见一摊子卖这个，买回来还挺好玩的，然后就不见了,0.8092
你喝完奶茶，一样可以拿那个空塑料杯这样玩[OK],2021-02-22 02:49:14,5,评论,你喝完奶茶，一样可以拿那个空塑料杯这样玩,0.2841
我玩过……但是还没30,2021-02-22 01:25:53,6,评论,我玩过…但是还没30,0.4794
久闻其名，就是没见过,2021-02-22 00:43:24,5,评论,久闻其名，就是没见过,0.3584
我90后也玩过，我寻思着也没四十啊,2021-02-22 00:20:17,5,评论,我90后也玩过，我寻思着也没四十啊,0.2364
4：53有个口语“惹～”…这个口语大概就是只有方圆几公里的人说的。,2021-02-21 23:49:42,6,评论,4：53有个口语“惹～”…这个口语大概就是只有方圆几公里的人说的。,0.746
原来长这样，终于找到了,2021-02-21 23:45:59,5,评论,原来长这样，终于找到了,0.8902
22玩过…这边叫补登,2021-02-21 23:40:23,6,评论,2玩过…这边叫补登,0.5607
小心偷国人,2021-02-21 23:22:08,4,评论,小心偷国人,0.0952
我玩过   没四十[笑哭],2021-02-21 22:38:05,5,评论,我玩过 没四十,0.2288
里面是什么东西？还有怎么一根能烧难么多，因为机密没有播放添加过程吗？[热词系列_知识增加],2021-02-21 22:14:35,6,评论,里面是什么东西？还有怎么一根能烧难么多，因为机密没有播放添加过程吗？,0.0222
就是这样呀，没得多的东西了。,2021-02-21 22:32:28,5,回复,就是这样呀，没得多的东西了。,0.3093
卟嘚,2021-02-21 21:31:25,5,评论,卟嘚,0.6105
小心韩国人。,2021-02-21 20:39:41,5,评论,小心韩国人。,0.0857
你这个东西挺好，我们含国申遗了，这以后是我们含国玩具了,2021-02-21 20:37:55,4,评论,你这个东西挺好，我们含国申遗了，这以后是我们含国玩具了,0.887
