评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
终于能分清了，感觉珐琅描述的是一种制作工艺，即金属加釉料高温烧制，而现在的冷珐琅滴胶都是模拟珐琅工艺品视觉效果的一种手段，跟珐琅本质上是不同的东西,2022-01-22 16:50:15,6,评论,终于能分清了，感觉珐琅描述的是一种制作工艺，即金属加釉料高温烧制，而现在的冷珐琅滴胶都是模拟珐琅工艺品视觉效果的一种手段，跟珐琅本质上是不同的东西,0.9999
[保卫萝卜_哇],2022-01-22 17:53:58,4,回复,,0.5688
课代表，你上去！,2022-02-26 00:13:20,5,回复,课代表，你上去！,0.9994
何止工艺品，中国太多人几千年来就是利用知识普及极慢忽悠赚钱[大哭]每次看到虚假宣传都为认真的工匠农人设计师不值,2022-01-21 14:20:46,5,评论,何止工艺品，中国太多人几千年来就是利用知识普及极慢忽悠赚钱每次看到虚假宣传都为认真的工匠农人设计师不值,0.0016
现在大家确实很需要知识普及，现在很多产业都是拿着恶心的文案骗东骗西，然后行业烂了就换个行业继续忽悠。[灵魂出窍],2022-01-21 16:29:34,4,回复,现在大家确实很需要知识普及，现在很多产业都是拿着恶心的文案骗东骗西，然后行业烂了就换个行业继续忽悠。,0.9998
回复 @银河铁匠 :个人观点是行业需要一个规范来界定某一事物，而非口口相传、约定俗成的东西。事物本身有多面性，有的人认为上釉就是珐琅，有的人认为上釉烧制并且是铜胎才算珐琅。前者拿冷珐琅去卖给后者，会被后者认定是欺诈。但当某一概念确定后，大家有明确的指导规范，这种乱像就会逐渐消失。,2022-01-23 10:35:01,5,回复,回复 @银河铁匠 :个人观点是行业需要一个规范来界定某一事物，而非口相传、约定俗成的东西。事物本身有多面性，有的人认为上釉就是珐琅，有的人认为上釉烧制并且是铜胎才算珐琅。前者拿冷珐琅去卖给后者，会被后者认定是欺诈。但当某一概念确定后，大家有明确的指导规范，这种乱像就会逐渐消失。,0.0019
我一直以为珐琅就是搪瓷[妙啊],2022-01-20 12:17:15,6,评论,我一直以为珐琅就是搪瓷,0.9919
[doge]应该说搪瓷是珐琅，它们的包含关系是珐琅包含搪瓷。,2022-01-20 12:44:24,4,回复,应该说搪瓷是珐琅，它们的包含关系是珐琅包含搪瓷。,0.0242
高级搪瓷,2022-01-21 20:15:44,5,回复,高级搪瓷,0.9235
回复 @布瑞克帕皮特 :听君一席话？,2022-01-21 22:52:20,4,回复,回复 @布瑞克帕皮特 :听君一席话？,0.0268
烧制，对于珐琅来说算不算渡劫，成功的烧出来效果就很理想，失败的就有裂纹颜色不好？[难过],2022-01-17 17:25:34,6,评论,烧制，对于珐琅来说算不算渡劫，成功的烧出来效果就很理想，失败的就有裂纹颜色不好？,0.9998
[OK]你这么说完全没啥问题,2022-01-17 19:07:43,4,回复,你这么说完全没啥问题,0.0101
底子清洁干净，珐琅清洁干净，温度时间ok没那么容易出问题…气泡都是小问题，金刚砂钻头打掉填补再烧制就好了。裂就比较复杂，一般是应力问题，珐琅厚了，底子薄了或者没有底釉啥的…,2022-01-23 18:27:14,5,回复,底子清洁干净，珐琅清洁干净，温度时间ok没那么容易出问题…气泡都是小问题，金刚砂钻头打掉填补再烧制就好了。裂就比较复杂，一般是应力问题，珐琅厚了，底子薄了或者没有底釉啥的…,0.9999
景泰蓝学名应该是铜胎掐丝珐琅，景泰蓝是因为景泰年间蓝色特别突出而得名，珐琅是外来的工艺，有一说是蒙古时期蒙古远征带回来的，外国的工匠来到中国与中国的文化和习惯等等结合诞生的,2022-01-21 15:15:01,5,评论,景泰蓝学名应该是铜胎掐丝珐琅，景泰蓝是因为景泰年间蓝色特别突出而得名，珐琅是外来的工艺，有一说是蒙古时期蒙古远征带回来的，外国的工匠来到中国与中国的文化和习惯等结合诞生的,0.9998
可是明明也有银胎的呀 云南的非遗就有 我还去参加过活动,2022-01-21 22:29:06,5,回复,可是明也有银胎的呀 云南的非遗就有 我还去参加过活动,0.998
