评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
非遗是真的很难传承和找继承人。我表哥学灰塑（广东非遗）也学了10多年，工作顶着太阳。每次过年串门都看到他晒得跟包公一样[喜极而泣]但是看到他修缮完成的作品是真的很好看,2022-01-09 18:39:47,5,评论,非遗是真的很难传承和找继承人。我表哥学灰塑（广东非遗）也学了10多年，工作顶着太阳。每次过年串门都看到他晒得跟包公一样但是看到他修缮完成的作品是真的很好看,0.9938
致敬所有的非遗传承人,2022-01-09 19:08:30,5,回复,致敬所有的非遗传承人,0.9903
凭我200斤的体重这要是我上去瞬间塌下去[原神_欸嘿][妙啊][原神_哼][原神_哇][辣眼睛][原神_喝茶][热词系列_知识增加],2022-01-09 17:30:37,6,评论,凭我20斤的体重这要是我上去瞬间塌下去,0.2954
你需要粗一点的竹子[doge],2022-01-09 17:50:28,6,回复,你需要粗一点的竹子,0.2221
这说明你身上脂肪比一般人多，掉水里，你密度更小，所受浮力更大，所以，不要怕，勇敢的上[doge],2022-01-09 17:58:58,4,回复,这说明你身上脂肪比一般人多，掉水里，你密度更小，所受浮力更大，所以，不要怕，勇敢的上,0.8416
回复 @huangjincao1 :但是那就没竹子事了,2022-01-13 13:54:33,5,回复,回复 @huangjincao1 :但是那就没竹子事了,0.1088
韩国：独竹漂源于我们[妙啊],2022-01-09 17:28:40,5,评论,韩国：独竹漂源于我们,0.9202
这个不怕，让他们表演一下[doge],2022-01-09 17:37:19,6,回复,这个不怕，让他们表演一下,0.8808
回复 @刘庸又净干卫生 :一竹渡汉江,2022-01-09 18:14:36,6,回复,回复 @刘庸又净干卫生 :一竹渡汉江,0.1028
印度：达摩，一苇渡江，源于我们啦,2022-01-09 18:22:32,5,回复,印度：达摩，一苇渡江，源于我们啦,0.9477
她的平衡掌握的不知道有多高，,2022-01-09 17:41:02,5,评论,她的平衡掌握的不知道有多高，,0.7487
那会不会很适合体操项目or花滑啥的[吃瓜],2022-01-09 19:54:56,5,回复,那会不会很适合体操项目or花滑啥的,0.7251
回复 @leeleehb :年纪太大了[吃瓜]在体操界，20岁以上就是老将了，丘索维金娜30+的时候已经被称为“奶奶”了,2022-01-09 20:16:18,6,回复,回复 @lehb :年纪太大了在体操界，20岁以上就是老将了，丘索维金娜30+的时候已经被称为“奶”了,0.0992
三四层楼那么高啦[大笑],2022-01-10 08:17:54,4,回复,三四层楼那么高啦,0.7499
当年因为这姑娘为了让老外相信中国人不是都会轻功的战忽局弟兄们没少加班[doge],2022-01-09 20:35:33,5,评论,当年因为这姑娘为了让老外相信中国人不是都会轻功的战忽局弟兄们没少加班,0.613
我老家有个类似的，叫独木冲浪……,2022-01-11 23:52:25,6,评论,我老家有个类似的，叫独木冲浪…,0.3383
之前听过，杨柳细腰，不知道是不是真的[doge],2022-01-10 09:33:04,5,评论,之前听过，杨柳细腰，不知道是不是真的,0.5827
美的很呢,2022-01-09 17:11:24,4,评论,美的很呢,0.9634
我在广西划竹筏倒是划过三根的，至于为什么这么小，问就是散了懒得修。踩在一根竹子上跳舞是真的牛，难以想象！,2022-01-24 21:45:29,3,评论,我在广西划竹筏倒是划过三根的，至于为什么这么小，问就是散了懒得修。踩在一根竹子上跳舞是真的牛，难以想象！,0.0691
━━━∑(ﾟ□ﾟ*川━会划竹筏窝（旱鸭子的我）都觉得好厉害了,2022-01-25 22:21:03,6,回复,━∑(ﾟ□ﾟ*川━会划竹筏窝（旱鸭子的我）都觉得好厉害了,0.4901
人家是水上漂，咱们是键盘敲[捂脸],2022-01-09 17:49:33,5,评论,人家是水上漂，咱们是键盘敲,0.3898
这[doge],2022-01-09 23:15:15,5,回复,这,0.4196
[热词系列_破防了],2022-01-11 18:51:47,4,回复,,0.5678
真的很感谢这些把非遗文化当作爱好和职业的人们，他们的努力使我们的文化熠熠生辉,2022-01-26 20:35:55,4,评论,真的很感谢这些把非遗文化当作爱好和职业的人们，他们的努力使我们的文化熠生辉,0.9776
一个村80多个达摩，两百多个段誉。,2022-01-10 18:02:19,6,评论,一个村80多个达摩，两百多个段誉。,0.5605
明明是两根～,2022-01-09 17:12:51,5,评论,明是两根～,0.7076
独竹主要是说水里有一根漂浮，手里的是保持平衡用但人确实是在一根竹子上面站立漂浮，非要说是两根，害！这也随你喜欢[吃瓜],2022-01-09 18:01:38,6,回复,独竹主要是说水里有一根漂浮，手里的是保持平衡用但人确实是在一根竹子上面站立漂浮，非要说是两根，害！这也随你喜欢,0.8641
回复 @白・前・辈 :视频开头水里是个交叉的十字，两根吧,2022-01-10 21:26:59,5,回复,回复 @白・前・辈 :视频开头水里是个交叉的十字，两根吧,0.2762
又不是多难的事，专业训练训练就行了,2022-01-14 23:32:28,4,评论,又不是多难的事，专业训练就行了,0.2646
来了，键盘侠来了[藏狐],2022-01-17 22:46:56,5,回复,来了，键盘侠来了,0.188
只会使键盘的🐒[偷笑],2022-01-18 08:55:02,4,回复,只会使键盘的🐒,0.2005
口嗨怪来了,2022-01-18 23:51:14,6,回复,口嗨怪来了,0.6299
轻功水上漂[呲牙],2022-01-25 17:50:13,5,评论,轻功水上漂,0.5064
一苇渡江,2022-01-23 13:57:30,5,评论,一苇渡江,0.598
《一根竹竿》,2022-01-21 00:25:41,5,评论,《一根竹竿》,0.6626
会不会是裘千丈的把戏啊[嗑瓜子],2022-01-20 23:24:35,4,评论,会不会是裘千丈的把戏啊,0.1097
一苇渡江,2022-01-20 13:20:55,5,评论,一苇渡江,0.598
