评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
其实我都好像要这样的花  真的好浪漫,2022-02-27 13:16:40,5,评论,其实我都好像要这样的花 真的好浪漫,0.9296
原来是非遗啊！,2022-02-12 15:50:22,4,评论,原来是非遗啊！,0.6722
真不错,2022-02-26 15:05:51,4,评论,真不错,0.9839
韩国：很好，现在是我的了,2022-02-12 00:07:39,6,评论,韩国：很好，现在是我的了,0.9036
很好看，想买一些放家里,2022-02-12 14:31:09,5,评论,很好看，想买一些放家里,0.9709
國`家要好好保護自己的傳統文化! 申遺的要趕快! 不然西八 韓國又來偷了..他們最愛偷中國非遺傳統文化,2022-02-19 23:57:19,5,评论,國`家要好保護自己的傳統文化! 申遺的要趕快! 不然西八 韓國又來偷了.他們最愛偷中國非遺傳統文化,0.6773
真的想不到。应该大力宣传才对啊！,2022-02-22 17:19:34,5,评论,真的想不到。应该大力宣传才对啊！,0.299
真好,2022-02-22 11:43:20,5,评论,真好,0.9908
电视上其实宣传过，不过现在年轻人可能不太看电视[笑哭],2022-02-22 14:38:35,5,评论,电视上其实宣传过，不过现在年轻人可能不太看电视,0.5287
外婆去世以后我家就没一个会,2022-02-21 17:08:05,4,评论,外婆去世以后我家就没一个会,0.2804
没有运动员晒这些漂亮的花，好可惜啊,2022-02-18 18:39:35,4,评论,没有运动员晒这些漂亮的花，好可惜啊,0.869
真好,2022-02-15 23:01:55,6,评论,真好,0.9908
我现在就想大棒子别给我们辛辛苦苦编的花给扔了，毕竟多恶心的事他们也干得出来……,2022-02-14 14:28:37,3,评论,我现在就想大棒子别给我们辛苦编的花给扔了，毕竟多恶心的事他们也干得出来…,0.0056
牡丹、月季、荷花、菊花、兰花、芙蓉、,2022-02-14 13:42:41,5,评论,牡丹、月季、荷花、菊花、兰花、芙蓉、,0.9502
遇见王沥川的背景音乐,2022-02-14 00:51:48,4,评论,遇见王沥川的背景音乐,0.9632
必须加大宣传啊,2022-02-14 01:41:46,3,评论,必须加大宣传啊,0.1548
非遗，哈哈！至少偷国人偷不走了！,2022-02-12 14:11:16,5,评论,非遗，哈！至少偷国人偷不走了！,0.0778
为啥我有些心慌[辣眼睛][辣眼睛][辣眼睛]好担心偷国,2022-02-13 21:11:50,5,评论,为啥我有些心慌好担心偷国,0.2169
太美了！,2022-02-12 22:59:44,3,评论,太美了！,0.8842
！我要我妈教我了，然后⋯现在哪有毛线卖⋯,2022-02-13 00:25:58,4,评论,！我要我妈教我了，然后⋯现在哪有毛线卖⋯,0.0254
淘宝多的是,2022-02-17 13:01:07,4,回复,淘宝多的是,0.6871
好棒的花啊，一看就爱上了，好珍贵,2022-02-13 01:12:44,4,评论,好棒的花啊，一看就爱上了，好珍贵,0.9959
他们不会转头扔了吧[尴尬],2022-02-12 20:30:10,5,评论,他们不会转头扔了吧,0.083
