评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
那棵树真的是绝绝子，那个人物……蜡黄的皮肤配上白色的长发……我真的觉得很有……千年树妖的感觉。开头单看头发很漂亮的，感觉特别神仙，但身体一僵硬的话就像行将就木的老人，闭着眼睛更像驾鹤西去了。阿婆主加油啊。[热词系列_三连],2021-06-12 22:24:28,5,评论,那棵树真的是绝子，那个人物…蜡黄的皮肤配上白色的长发…我真的觉得很有…千年树妖的感觉。开头单看头发很漂亮的，感觉特别神仙，但身体一僵硬的话就像行将就木的老人，闭着眼睛更像驾鹤西去了。阿婆主加油啊。,0.9999
[笑哭]我也是这样认为的,2021-06-12 22:36:28,5,回复,我也是这样认为的,0.0487
[笑哭]但是吧，第一个做的头发像个疯子。第二个石膏的身体，手指部分特别容易断。这是唯一一个没断手的。这个脸的颜色吧，我也知道一言难尽，脸上有一部分印到胶了，所以没有办法用水彩上色使用的丙烯颜料。,2021-06-12 22:40:19,5,回复,但是吧，第一个做的头发像个疯子。第二个石膏的身体，手指部分特别容易断。这是唯一个没断手的。这个脸的颜色吧，我也知道一言难尽，脸上有一部分印到胶了，所以没有办法用水彩上色使用的丙烯颜料。,0.9999
回复 @厨房杀手要减肥 :啊啊啊啊啊!我被翻牌了!终于有阿婆主会回复我了。荣幸啊。,2021-06-13 12:43:35,5,回复,回复 @厨房杀手要减肥 :啊!我被翻牌了!终于有阿婆主会回复我了。荣幸啊。,0.0014
虽然已经很好了，但是胳膊和手那边看着莫名像那个会跳的[doge],2021-06-12 11:02:50,5,评论,虽然已经很好了，但是胳膊和手那边看着莫名像那个会跳的,0.9998
[笑哭]僵尸,2021-06-12 13:22:07,5,回复,僵尸,0.1067
回复 @厨房杀手要减肥 :但是头发是真的厉害！！！！看的我人都傻了！！！,2021-06-12 22:02:40,4,回复,回复 @厨房杀手要减肥 :但是头发是真的厉害！看的我人都傻了！,0.0016
哈哈哈哈 比较硬挺的样子,2021-06-14 10:26:07,6,回复,哈 比较硬挺的样子,0.9999
人物动作有点硬，加油！！！,2021-06-09 09:43:59,5,评论,人物动作有点硬，加油！,0.0035
谢谢我会努力的[给心心],2021-06-09 10:27:16,5,回复,谢我会努力的,0.9863
up可以多看看B站的化妆教程还有其他娃娃的化妆教程参考参考，加油鸭！[脱单doge][打call],2021-06-12 08:17:12,5,评论,up可以多看B站的化妆教程还有其他娃的化妆教程参考，加油鸭！,0.9999
[OK],2021-06-12 08:18:32,5,回复,,0.5696
还有这位大佬的https://b23.tv/BV1Qw411Z7hq,2021-06-13 20:19:33,5,回复,还有这位大佬的htps:/b23.tv/BV1Qw41Z7hq,0.4341
回复 @椛逝DE气息 :糖王超厉害的，我还要多练习,2021-06-13 20:27:53,5,回复,回复 @椛逝DE气息 :糖王超厉害的，我还要多练习,0.0067
摸摸凉凉的up，其他的都挺好的，就感觉头，头发和头饰加一起看起来挺有重量的[笑哭]继续加油吖！[打call][打call][打call],2021-06-09 05:52:00,5,评论,摸凉的up，其他的都挺好的，就感觉头，头发和头饰加一起看起来挺有重量的,0.4826
我还要多练习,2021-06-09 05:53:23,5,回复,我还要多练习,0.9392
第一眼看成“摸摸up凉凉的头皮”[笑哭]，我还想着挺对，毕竟做这么厉害是需要头发祭天，第二眼才发现不对[笑哭],2021-06-12 20:58:59,5,回复,第一眼看成“摸up凉的头皮”,0.9999
回复 @一只山鬼呀 :被你发现我头秃了[惊讶],2021-06-12 21:06:23,5,回复,回复 @一只山鬼呀 :被你发现我头秃了,0.0031
手的位置，要做幅度，像自然放在腿上，就更好了。,2021-06-12 19:59:15,5,评论,手的位置，要做幅度，像自然放在腿上，就更好了。,0.998
[OK]好的，继续练习！,2021-06-12 20:13:14,5,回复,好的，继续练习！,0.9999
她躺那的时候我总感觉下一秒要起尸了[捂脸][捂脸],2021-06-24 21:56:43,5,评论,她躺那的时候我总感觉下一秒要起尸了,0.9998
不过那棵树是真漂亮[星星眼][星星眼][星星眼],2021-06-24 21:57:55,5,回复,不过那棵树是真漂亮,0.9992
[笑哭]不敢把这个石膏的手压在腿上，因为容易断。所以就让它翘起来了，就有点像僵尸。,2021-06-25 08:37:11,5,回复,不敢把这个石膏的手压在腿上，因为容易断。所以就让它翘起来了，就有点像僵尸。,0.0013
我本来是想做一个手伸着一个手在腿上的，但是后来那个衣服不太好做，所以我就两个都放在腿上了。,2021-06-25 08:37:47,5,回复,我本来是想做一个手伸着一个手在腿上的，但是后来那个衣服不太好做，所以我就两个都放在腿上了。,0.7411
成品在结尾,2021-06-08 16:26:29,5,评论,成品在结尾,0.6487
脸部化妆还没有学会[跪了],2021-06-08 16:27:08,5,回复,脸部化妆还没有学会,0.6515
就自己一个人评论啊,2021-06-08 19:47:04,6,回复,就自己一个人评论啊,0.1432
回复 @海德³√ :对吖，自己是前排,2021-06-08 19:47:54,5,回复,回复 @海德³√ :对吖，自己是前排,0.0086
[妙啊]只有我一个人看up肉肉的手手觉得好可爱吗,2021-06-21 19:08:42,6,评论,只有我一个人看up肉的手觉得好可爱吗,0.001
(｀・ω・´),2021-06-21 19:24:19,5,回复,(｀・ω・´),0.5833
+1,2021-06-30 00:24:20,4,回复,+1,0.8936
＋1,2021-07-02 11:50:32,4,回复,＋1,0.7751
我觉得如果动作改改头发改改会更好看,2021-06-11 12:27:33,4,评论,我觉得如果动作改头发改会更好看,0.9822
好的，等我好消息[给心心],2021-06-11 18:15:44,5,回复,好的，等我好消息,0.9999
好可爱好厉害,2021-06-12 21:46:50,4,评论,好可爱好厉害,0.9997
[给心心]谢谢,2021-06-12 21:56:36,5,回复,谢,0.5111
漂亮啊！,2021-06-12 14:48:56,5,评论,漂亮啊！,0.9988
谢谢[给心心],2021-06-12 15:07:24,5,回复,谢,0.5111
[给心心][给心心]小胖手太可爱了,2021-06-28 19:39:37,5,评论,小胖手太可爱了,0.9825
(⁄ ⁄•⁄ω⁄•⁄ ⁄),2021-06-28 19:40:29,5,回复,(⁄ ⁄•⁄ω⁄•⁄ ⁄),0.0853
回复 @厨房杀手要减肥 :[脱单doge],2021-06-28 23:41:12,5,回复,回复 @厨房杀手要减肥 :,0.014
伸懒腰伸不起来的你[OK][doge],2021-06-19 00:34:36,3,评论,伸懒腰伸不起来的你,0.0082
好可爱的手手，[给心心],2021-06-18 10:09:31,6,评论,好可爱的手，,0.9999
谢谢ε=ε=(ノ≧∇≦)ノ,2021-06-18 12:04:13,5,回复,谢ε=(ノ≧∇≦)ノ,0.9997
