评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
最近卖通草花的簪娘挺多的啊，属于挑花了眼那么多，虽然大多不是师从名师，不过民间工艺品嘛，好看就行，没标准答案也不错。视频里的小姐姐应该就是微博账号“做通草的蕴玉”，也是传统爱好者中小有名气的，不知道有没有带徒弟。汉服一火真的是带动了好多工艺，什么绒花缠花烫花料器花，什么苏罗杭罗湖绫云锦，打籽绣盘金绣，草木染绞缬夹缬，印金织金，绦子络子，折扇团扇，仿点翠花丝炸珠辑珠，绛纱灯鱼灯无骨花灯竹丝行灯，虽然有的大火有的小火，至少能多做一点是一点。,2022-01-19 07:30:59,5,评论,最近卖通草花的簪娘挺多的啊，属于挑花了眼那么多，虽然大多不是师从名师，不过民间工艺品嘛，好看就行，没标准答案也不错。视频里的小姐应该就是微博账号“做通草的蕴玉”，也是传统爱好者中小有名气的，不知道有没有带徒弟。汉服一火真的是带动了好多工艺，什么绒花缠花烫花料器花，什么苏罗杭罗湖绫云锦，打籽绣盘金绣，草木染绞缬夹缬，印金织金，绦子络子，折扇团扇，仿点翠花丝炸珠辑珠，绛纱灯鱼灯无骨花灯竹丝行灯，虽然有的大火有的小火，至少能多做一点是一点。,0.9865
啊好像蕴玉之前的事我也刷到过，给忘了，都忘了是什么了,2022-01-19 07:33:54,5,回复,啊好像蕴玉之前的事我也刷到过，给忘了，都忘了是什么了,0.6715
我搜了一下，蕴玉在B站也有号,2022-01-27 20:30:31,3,回复,我搜了一下，蕴玉在B站也有号,0.8134
有需要才有传承，之前那么多传统工艺的濒临失传就是因为传统服饰的没落，现在汉服在回归，相关的传统技艺自然也就回来了[打call],2022-01-29 16:17:31,6,回复,有需要才有传承，之前那么多传统工艺的濒临失传就是因为传统服饰的没落，现在汉服在回归，相关的传统技艺自然也就回来了,0.9382
别说这些老物件老手没有创新，都还没有继承好，何来的创新，对吧,2022-01-14 20:50:04,5,评论,别说这些老物件老手没有创新，都还没有继承好，何来的创新，对吧,0.0166
对的。我觉得以前学的温故而知新，可以为师矣。说的就是创新。旧的东西都继承不好还来创新？,2022-01-17 13:50:44,3,回复,对的。我觉得以前学的温故而知新，可以为师矣。说的就是创新。旧的东西都继承不好还来创新？,0.0156
好想入这个坑啊，就是材料太贵了，我手又残[大哭][大哭],2022-01-14 12:10:16,5,评论,好想入这个坑啊，就是材料太贵了，我手又残,0.2983
@清云手工花 这个up用卫生纸做花也挺好看的，可以练练手,2022-01-14 22:03:25,5,回复,@清云手工花 这个up用卫生纸做花也挺好看的，可以练手,0.9687
回复 @喝芝麻糊不吐芝麻 :我也关注了这个up，卫生纸也很逼真,2022-01-14 23:46:20,5,回复,回复 @喝芝麻糊不吐芝麻 :我也关注了这个up，卫生纸也很逼真,0.9832
回复 @喝芝麻糊不吐芝麻 :巧了！我也想推荐她！,2022-01-16 00:12:20,5,回复,回复 @喝芝麻糊不吐芝麻 :巧了！我也想推荐她！,0.9832
其实簪娘会的很多非遗的技艺都只能算基础，我和我的另外一个姐妹我俩都是手工娘，但是说实话我们会的那些都不过是些基础的里面真正的门道还是掌握在那些师傅的手里，我们虽然让们变的普遍，但是会的真的都只是基础，这些东西成为非遗不止是很多材料难得，同时还有技艺不然也不会失传，说实话不要再说什么簪娘拯救，这些还是要继承的，真正的继承是去拜真正的宗门，学习期中真正的技艺，我们会的只是基础。这些技艺不应该只停留在这些基础。,2022-01-21 12:36:15,3,评论,其实簪娘会的很多非遗的技艺都只能算基础，我和我的另外一个姐妹我俩都是手工娘，但是说实话我们会的那些都不过是些基础的里面真正的门道还是掌握在那些师傅的手里，我们虽然让们变的普遍，但是会的真的都只是基础，这些东西成为非遗不止是很多材料难得，同时还有技艺不然也不会失传，说实话不要再说什么簪娘拯救，这些还是要继承的，真正的继承是去拜真正的宗门，学习期中真正的技艺，我们会的只是基础。这些技艺不应该只停留在这些基础。,0.849
我倒是想学，就是不知道从哪儿学[笑哭][笑哭]要不哪位老师开个班吧[大哭][大哭][大哭],2022-01-14 12:41:05,6,评论,我倒是想学，就是不知道从哪儿学,0.2448
来BV15M4y1u7Lk,2022-01-14 20:27:22,6,回复,来BV15M4y1u7Lk,0.7
来扬州吧，我们有开体验课的,2022-01-16 16:32:41,5,回复,来扬州吧，我们有开体验课的,0.8273
就看教程啊，这个姐姐也有的，抖音也有很多的,2022-01-19 21:24:10,5,回复,就看教程啊，这个姐也有的，抖音也有很多的,0.5111
@做通草的蕴玉 居然没人圈一下本人吗[笑哭],2022-01-18 08:38:31,5,评论,@做通草的蕴玉 居然没人圈一下本人吗,0.1154
谢了[doge],2022-01-21 17:25:47,4,回复,谢了,0.5118
已经是一个缠花娘了，等条件允许就开始学绒花，加过很多个簪娘群，有见过通草花簪娘，很多非遗真的在慢慢复兴,2022-01-16 11:26:12,5,评论,已经是一个缠花娘了，等条件允许就开始学绒花，加过很多个簪娘群，有见过通草花簪娘，很多非遗真的在慢复兴,0.6073
几年前看到通草花传承人仅余2位80余岁的老人，二老为传承废尽心力宣传，免费收徒。然而这项技艺真的需要沉下心钻研，没个十几年功夫不成，很多人来了又走了，待的最长时间的一个女孩学了四年终究还是放弃了。那时通草花的来路真的不知在何方，每每想起就心痛。现在看到这个视频，好像又有了希望，但希望视频中所说的95后不要又是……唉。,2022-01-14 20:12:10,2,评论,几年前看到通草花传承人仅余2位80余岁的老人，二老为传承废尽心力宣传，免费收徒。然而这项技艺真的需要沉下心钻研，没个十几年功夫不成，很多人来了又走了，待的最长时间的一个女孩学了四年终究还是放弃了。那时通草花的来路真的不知在何方，每想起就心痛。现在看到这个视频，好像又有了希望，但希望视频中所说的95后不要又是…唉。,0.0831
b站教程,2022-01-14 23:19:03,5,回复,b站教程,0.5392
就不要给别人泄气了,2022-01-15 11:32:38,5,回复,就不要给别人泄气了,0.0622
回复 @爱の花酱 :我不是给别人泄气，是真的很难。非遗现在面临的尴尬处境就是大部分都不具备很强的商业性和盈利性，从事这个不光心底里得有那份热爱，还得做好甘坐一辈子冷板凳的打算，没有十几年的刻苦钻研也根本不能成。其间要付出的说是呕心沥血都不为过。抛开这些，人家老师傅最多能做到的也就是免费教，十几年的时间，这个又没很大盈利，你的吃穿用度从哪来？所以那个学了四年又放弃的女孩真的可以理解。视频中说的95后，我不太相信他是完全掌握了成熟技艺的，这么年轻，十有八九也还是学徒。只能说我们希望有人能坚持下去，挑起传承的担子，但也只是希望，毕竟我们不是当事人。,2022-01-15 16:43:00,2,回复,回复 @爱の花酱 :我不是给别人泄气，是真的很难。非遗现在面临的尴尬处境就是大部分都不具备很强的商业性和盈利性，从事这个不光心底里得有那份热爱，还得做好甘坐一辈子冷板凳的打算，没有十几年的刻苦钻研也根本不能成。其间要付出的说是呕心沥血都不为过。抛开这些，人家老师傅最多能做到的也就是免费教，十几年的时间，这个又没很大盈利，你的吃穿用度从哪来？所以那个学了四年又放弃的女孩真的可以理解。视频中说的95后，我不太相信他是完全掌握了成熟技艺的，这么年轻，十有八九也还是学徒。只能说我们希望有人能坚持下去，挑起传承的担子，但也只是希望，毕竟我们不是当事人。,0.1273
一个艺术如果把自己高高挂起，不允许别人从门槛开始学习、推广，看不起只因兴趣去学习的人，那就不要怪自己失传，毕竟曲高和寡，就算别人只是为了市场去学，只是自学，没有学精又怎么样呢，至少人家推广了，让更多人知道，扩大了市场，总比在嘴上支持的那些人好，那个说不过就拉黑的月某某就是逊啦,2022-01-18 12:18:18,5,评论,一个艺术如果把自己高挂起，不允许别人从门槛开始学习、推广，看不起只因兴趣去学习的人，那就不要怪自己失传，毕竟曲高和寡，就算别人只是为了市场去学，只是自学，没有学精又怎么样呢，至少人家推广了，让更多人知道，扩大了市场，总比在嘴上支持的那些人好，那个说不过就拉黑的月某就是逊啦,0.6442
有互联网开放学习资源以后就大家开始内卷了，哈哈哈哈,2022-01-18 16:44:31,5,回复,有互联网开放学习资源以后就大家开始内卷了，哈,0.5914
希望能传承下来,2022-01-14 12:32:16,4,评论,希望能传承下来,0.7059
这些绝活要丢了就太可惜了,2022-01-14 14:21:33,5,评论,这些绝活要丢了就太可惜了,0.3363
