评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
一般的200-500，更高档的千元左右也是有的。颜色较重，新穿似胶，越穿越软适，起源于明朝早期。也是因为地域性没被日本窃取的工艺。,2022-01-07 21:21:38,3,评论,一般的20-50，更高档的千元左右也是有的。颜色较重，新穿似胶，越穿越软适，起源于明朝早期。也是因为地域性没被日本窃取的工艺。,0.0173
日本偷？布上涂辐射河泥吗[滑稽],2022-01-10 21:01:59,5,回复,日本偷？布上涂辐射河泥吗,0.0091
回复 @洗胃没用建议换脑 :哈哈哈哈他们还说要出口核废料，原来如此[doge],2022-01-11 15:23:41,6,回复,回复 @洗胃没用建议换脑 :哈他们还说要出口核废料，原来如此,0.0669
哇靠！这么便宜的吗？,2022-01-14 21:09:13,3,回复,哇靠！这么便宜的吗？,0.0412
香云纱供旗袍的比较多，颜色比较沉，重，花纹也是，所以一般年轻人不太压得住。新款花纹样式的应该可以。就是价格偏高点。,2022-01-08 22:46:45,5,评论,香云纱供旗袍的比较多，颜色比较沉，重，花纹也是，所以一般年轻人不太压得住。新款花纹样式的应该可以。就是价格偏高点。,0.2518
应该供汉服的，这样才能展示它被风吹风沙沙作响而闻名的面料风采,2022-01-10 07:10:27,6,回复,应该供汉服的，这样才能展示它被风吹风沙作响而闻名的面料风采,0.6519
回复 @返景入深林复照青苔上 :倒是有布料卖，单价大概在20+，0.1米，当然还有更高的。,2022-01-10 14:25:43,5,回复,回复 @返景入深林复照青苔上 :倒是有布料卖，单价大概在20+，0.1米，当然还有更高的。,0.3602
回复 @返景入深林复照青苔上 :汉服用布太多了[笑哭]做一件得多贵啊,2022-01-10 17:43:37,4,回复,回复 @返景入深林复照青苔上 :汉服用布太多了做一件得多贵啊,0.3897
我的旗袍和中式衣服香雲紗偏多。非常舒服，夏天穿很涼快，輕飄飄的，像穿了朵雲在身上。,2022-01-10 21:20:42,3,评论,我的旗袍和中式衣服香雲紗偏多。非常舒服，夏天穿很涼快，輕飄的，像穿了朵雲在身上。,0.9286
富婆本人了,2022-01-11 20:45:23,3,回复,富婆本人了,0.3903
大良华盖路那里有家 香云纱酒店，顺德第一医院附近也有一个香云纱，不知道有没有关联,2022-02-01 13:49:14,5,回复,大良华盖路那里有家 香云纱酒店，顺德第一医院附近也有一个香云纱，不知道有没有关联,0.1526
[doge]偶遇一个富婆,2022-02-01 14:38:21,4,回复,偶遇一个富婆,0.8366
中国的奢饰品那真是做梦都难梦的东西[笑哭]有文化有韵味有工艺,2022-01-11 18:48:24,5,评论,中国的奢饰品那真是做梦都难梦的东西有文化有韵味有工艺,0.8115
中国奢侈品少是因为功力太深一气给做成了艺术品[doge],2022-01-18 15:49:53,5,回复,中国奢侈品少是因为功力太深一气给做成了艺术品,0.856
罗马那会儿丝绸跟黄金等价,2022-01-25 18:11:27,5,回复,罗马那会儿丝绸跟黄金等价,0.5222
至今我都不知道香奈儿迪奥除了品牌名头外，有啥奢侈点。,2022-01-10 08:36:18,5,评论,至今我都不知道香奈儿迪奥除了品牌名头外，有啥奢侈点。,0.7081
香奈儿的有个布料是很多材质纺在一起，不能洗，缩水率不同。还有就是这两的剪裁和版型,2022-01-10 21:04:54,5,回复,香奈儿的有个布料是很多材质纺在一起，不能洗，缩水率不同。还有就是这两的剪裁和版型,0.8088
设计贵，创新贵，一般人都看不出来但很多日常衣服的款式都是抄这几个外国大牌的，初中感兴趣看了看这些品牌设计，猛得发现在日常生活里都能对上号，这件抄的是这个牌子，那抄的是那个牌子，这种感觉很神奇[tv_鬼脸][tv_鬼脸],2022-01-14 15:35:25,4,回复,设计贵，创新贵，一般人都看不出来但很多日常衣服的款式都是抄这几个外国大牌的，初中感兴趣看了看这些品牌设计，猛得发现在日常生活里都能对上号，这件抄的是这个牌子，那抄的是那个牌子，这种感觉很神奇,0.6278
回复 @Shachar_久久 :但有些款式其实抄不太了。我去十六铺，看到有家店的风衣款式很好看，我闺蜜学服装设计的说这是巴宝莉家的，但是其实还是有差距。后来我买了那件，她又借去画版了,2022-01-14 20:45:21,5,回复,回复 @Shachar_久 :但有些款式其实抄不太了。我去十六铺，看到有家店的风衣款式很好看，我闺蜜学服装设计的说这是巴宝莉家的，但是其实还是有差距。后来我买了那件，她又借去画版了,0.8542
这个没有那么贵，但网上买的少，好看的款更少,2022-01-07 21:12:12,5,评论,这个没有那么贵，但网上买的少，好看的款更少,0.6247
价格低的不可能是真的  这个我之前没听说过 但是我知道云锦  这个绝对和云锦有一拼 云锦素的一尺价格都过千 这种东西 就不要想价格的事 想了就证明不适合买这玩意,2022-01-09 02:04:14,5,回复,价格低的不可能是真的 这个我之前没听说过 但是我知道云锦 这个绝对和云锦有一拼 云锦素的一尺价格都过千 这种东西 就不要想价格的事 想了就证明不适合买这玩意,0.0112
回复 @小相公是个好男人 :不算太贵，有不同价位的，便宜的三五百，贵的几千,2022-01-09 09:52:11,5,回复,回复 @小相公是个好男人 :不算太贵，有不同价位的，便宜的三五百，贵的几千,0.7396
香云纱舒服是舒服，透光不透肉，夏天凉快，就是大多数不太好看，土色太重，花样显不出来，纯黑蓝色还好，但网上卖的款式大都偏向中老年，不太适合年轻人,2022-01-11 07:43:55,5,评论,香云纱舒服是舒服，透光不透肉，夏天凉快，就是大多数不太好看，土色太重，花样显不出来，纯黑蓝色还好，但网上卖的款式大都偏向中老年，不太适合年轻人,0.3733
是的，年轻的纹样太少了，樟绒锻也是老年人配色，也是布料中的奢侈品,2022-01-16 22:41:29,5,回复,是的，年轻的纹样太少了，樟绒锻也是老年人配色，也是布料中的奢侈品,0.8809
年轻人还不一定压得住,2022-01-31 14:30:52,2,回复,年轻人还不一定压得住,0.3787
确实贵，但真的好！我给我妈妈买了一套，真的超漂亮，很显身材，连我妈妈这么节省的人都忍不住要了,2022-01-09 14:39:08,5,评论,确实贵，但真的好！我给我妈买了一套，真的超漂亮，很显身材，连我妈这么节省的人都忍不住要了,0.596
问问哪里有！,2022-01-12 23:11:18,5,回复,问哪里有！,0.216
回复 @Lunceer :我在线下韦小宝店里有买香云纱旗袍，他家有的款和颜色年轻人还可以，然后淘宝好像也有店，不如店里新款，你可以看一下,2022-01-16 11:33:21,5,回复,回复 @Luncer :我在线下韦小宝店里有买香云纱旗袍，他家有的款和颜色年轻人还可以，然后淘宝好像也有店，不如店里新款，你可以看一下,0.86
回复 @Lunceer :顺德伦教有,2022-01-19 22:40:09,4,回复,回复 @Luncer :顺德伦教有,0.6717
这才是真正的奢侈品，有工艺、有历史、有传承,2022-01-08 22:54:03,5,评论,这才是真正的奢侈品，有工艺、有历史、有传承,0.9786
其实也并不贵,2022-02-01 01:18:33,6,回复,其实也并不贵,0.5158
这是在告诉我又一种我消费不起的物品……？,2022-01-07 18:36:12,6,评论,这是在告诉我又一种我消费不起的物品…？,0.0947
这个不贵，一套千吧块，网上的都不好看，,2022-01-08 07:59:03,5,回复,这个不贵，一套千吧块，网上的都不好看，,0.2114
回复 @纵横电脑 :不一样的，就和蜀锦一样，效果是完全不同的……这是其中的精品，两个概念。,2022-01-08 08:34:23,6,回复,回复 @纵横电脑 :不一样的，就和蜀锦一样，效果是完全不同的…这是其中的精品，两个概念。,0.7142
告诉我们这个世界不是只有欧美走秀可以做出清透柔嫩的细纱，我们中国比他们早多了,2022-01-08 21:26:08,5,回复,告诉我们这个世界不是只有欧美走秀可以做出清透柔嫩的细纱，我们中国比他们早多了,0.7004
我第一次知道香云纱是在某道高考地理题上，也可能是模拟题，永远记得[脱单doge],2022-01-09 12:11:23,2,评论,我第一次知道香云纱是在某道高考地理题上，也可能是模拟题，永远记得,0.8586
一样一样[笑哭],2022-01-11 16:37:51,3,回复,一样,0.4704
真的好多东西都是从地理卷上了解来的哈哈哈哈,2022-01-27 01:12:07,5,回复,真的好多东西都是从地理卷上了解来的哈,0.8658
回复 @请问_你有事吗 :对对对，还有很多各地的风景和美食[笑哭][笑哭],2022-01-27 10:13:14,2,回复,回复 @请问_你有事吗 :对，还有很多各地的风景和美食,0.6045
皇室专供不算什么 柴米油盐酱醋茶笔墨纸砚都可以 问题是除非极度稀少 不然原产地的百姓也能用上,2022-01-08 16:53:36,5,评论,皇室专供不算什么 柴米油盐酱醋茶笔墨纸砚都可以 问题是除非极度稀少 不然原产地的百姓也能用上,0.0148
这才是最该被称之为奢侈品的我们老祖宗留下的宝贝文化遗产,2022-01-13 03:01:03,4,评论,这才是最该被称之为奢侈品的我们老祖宗留下的宝贝文化遗产,0.7977
希望各行各业。不要教日本人和韩国人。对这两个国家真是非常厌恶。,2022-01-08 20:46:12,5,评论,希望各行各业。不要教日本人和韩国人。对这两个国家真是非常厌恶。,0.007
说得对！顺便借楼说一下，我们有一本古籍，是记载古法做红印泥的古籍，被日本借走“弄丢了”就没再还给我们,2022-01-09 01:58:22,4,回复,说得对！顺便借楼说一下，我们有一本古籍，是记载古法做红印泥的古籍，被日本借走“弄丢了”就没再还给我们,0.5649
回复 @霸道总裁之铡总 :！真离谱，就怕再过个十几年，说是自己收藏的，然后放进博物馆,2022-01-09 07:43:26,3,回复,回复 @霸道总裁之铡总 :！真离谱，就怕再过个十几年，说是自己收藏的，然后放进博物馆,0.2101
还有越南,2022-01-10 07:07:58,6,回复,还有越南,0.253
香云纱，还有一个非常有趣的特点，你穿着它去吃火锅，不会沾上火锅的味道。这个我自己还有其他穿香云纱的姐姐们都试过，确实如此。感觉真的很神奇。几百块钱的香云纱，以绢纺和花萝居多。1000以上的多是6A级桑蚕丝做成的重缎面料，光泽度华丽感更加的强。重缎当中又以老料贴身穿着的舒适感更强，反面的光泽度也更加油亮。贴身穿着有养肤的功效。据说香云纱夏天穿不容易招蚊子。,2022-01-14 10:41:32,6,评论,香云纱，还有一个非常有趣的特点，你穿着它去吃火锅，不会沾上火锅的味道。这个我自己还有其他穿香云纱的姐们都试过，确实如此。感觉真的很神奇。几百块钱的香云纱，以绢纺和花萝居多。10以上的多是6A级桑蚕丝做成的重缎面料，光泽度华丽感更加的强。重缎当中又以老料贴身穿着的舒适感更强，反面的光泽度也更加油亮。贴身穿着有养肤的功效。据说香云纱夏天穿不容易招蚊子。,0.989
还有就是。真正的香云纱的衣服往往都会有透莨一类的小的问题。不可机洗，可手洗。用沐浴露一类的不含碱性漂白剂的洗涤剂。不要浸泡，轻微漂洗。不要拧干，要直接带水反面朝外晾晒。晾晒的时候最好不要暴晒，可以选择阴干或者是晚上晾晒。因为是纯天然植物染色，所以会有轻微的掉色。有条件的姐妹最好选择干洗。它的颜色越穿的久，越沉淀越有味道。可以穿好多年。,2022-01-14 10:49:02,6,评论,还有就是。真正的香云纱的衣服往都会有透莨一类的小的问题。不可机洗，可手洗。用沐浴露一类的不含碱性漂白剂的洗涤剂。不要浸泡，轻微漂洗。不要拧干，要直接带水反面朝外晾晒。晾晒的时候最好不要暴晒，可以选择阴干或者是晚上晾晒。因为是纯天然植物染色，所以会有轻微的掉色。有条件的姐妹最好选择干洗。它的颜色越穿的久，越沉淀越有味道。可以穿好多年。,0.9264
姐妹，请问怎么买呢，其实有的时候看了这些科普视频也不知道去哪里买，也是很苦恼。,2022-01-17 11:30:56,6,回复,姐妹，请问怎么买呢，其实有的时候看了这些科普视频也不知道去哪里买，也是很苦恼。,0.2644
回复 @骨山青 :他家现在开的有两个直播间，正在直播，一个是胖哥优选香云纱，另一个是胖哥的真丝馆，都是一家的。现在正是年终大清仓的时候。重缎才800花萝更便宜，她家的宋锦是全t宝花色最多，价格最低的，尤其是预售的时候。感兴趣你就关注一下。,2022-01-17 11:36:37,6,回复,回复 @骨山青 :他家现在开的有两个直播间，正在直播，一个是胖哥优选香云纱，另一个是胖哥的真丝馆，都是一家的。现在正是年终大清仓的时候。重缎才80花萝更便宜，她家的宋锦是全t宝花色最多，价格最低的，尤其是预售的时候。感兴趣你就关注一下。,0.9728
想拥有,2022-01-07 18:28:38,4,评论,想拥有,0.9055
中国奢侈品，贵在每一种是历史的沉淀，是自然的馈赠，是万人的匠心，是五千年的传承,2022-01-15 23:58:45,5,评论,中国奢侈品，贵在每一种是历史的沉淀，是自然的馈赠，是万人的匠心，是五千年的传承,0.9948
一定要保护好，不能再让别人偷了，我们的艺术品可比别人的所谓奢侈品高贵多了,2022-01-15 17:52:01,4,评论,一定要保护好，不能再让别人偷了，我们的艺术品可比别人的所谓奢侈品高贵多了,0.6597
这个偷不了，讲究地理环境,2022-02-06 13:15:59,5,回复,这个偷不了，讲究地理环境,0.061
这个面料的衣服，真的不叫奢侈品，因为舒适度秒杀一切其他的面料，尤其是在夏天超级热的时候，真是穿了这个面料的衣服，其他都不想穿了。这个面料的眼罩，还有枕套也是一级棒的，越穿越软，软黄金。有人说老气，要看款式，反正我足够年轻，衣服压不住我。[妙啊],2022-01-26 19:19:51,5,评论,这个面料的衣服，真的不叫奢侈品，因为舒适度秒杀一切其他的面料，尤其是在夏天超级热的时候，真是穿了这个面料的衣服，其他都不想穿了。这个面料的眼罩，还有枕套也是一级棒的，越穿越软，软黄金。有人说老气，要看款式，反正我足够年轻，衣服压不住我。,0.9693
好想学,2022-01-07 19:31:08,5,评论,好想学,0.9562
很难，据说需要特定河流的泥涂抹透，上哪里找一样的泥啊,2022-01-08 22:48:47,5,回复,很难，据说需要特定河流的泥涂抹透，上哪里找一样的泥啊,0.3887
打水印啊 中国水印啊 ！！！,2022-01-12 00:04:12,4,评论,打水印啊 中国水印啊 ！,0.7602
自带空调,2022-01-07 19:16:41,5,评论,自带空调,0.5646
好飘逸,2022-01-07 22:27:05,4,评论,好飘逸,0.8819
我靠，我昨天作的地理试卷中有这一个题目，问的就是这件事，为啥要在顺德做呢？,2022-01-26 20:06:58,3,评论,我靠，我昨天作的地理试卷中有这一个题目，问的就是这件事，为啥要在顺德做呢？,0.0391
韩国人：好东西，可以去文化交流一波,2022-01-15 00:06:50,6,评论,韩国人：好东西，可以去文化交流一波,0.8466
那什么，有软黄金之称的不是山羊绒吗[藏狐],2022-01-14 18:18:22,5,评论,那什么，有软黄金之称的不是山羊绒吗,0.0672
棒子：我这就申遗,2022-01-13 23:35:29,4,评论,棒子：我这就申遗,0.0935
一寸缂丝一寸金,2022-01-08 16:34:57,5,评论,一寸缂丝一寸金,0.758
香云纱还比不上缂丝的,2022-01-08 22:48:08,5,回复,香云纱还比不上缂丝的,0.123
看完好想要,2022-01-07 22:26:59,4,评论,看完好想要,0.8964
