评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
最近因为学校的作业选择拍摄剪纸纪录片，up这个短片给了我很多灵感，我拍摄的地点在郑州市惠济区金洼小学，这里的小学生从四年级开始就在老师的带领下学习剪纸，他们的剪纸有四种，最常用的是在蜡版上用刀刻，本以为是叫做刻纸，但是老师说其实都属于剪纸，他们也会用剪刀剪，现在因为学校翻新重建的问题他们现在只在一个有很多间简易房搭建的学校里面，非常小，但是还是匀出一间房间作为剪纸教室，这个学校剪纸课开创人是一位已经过世的老校长，他走之后其它老师继续接任，大部分活动都是自费，郑州前段时间的民运会还专门有组织请他们刻纸，在中国现在的教育，在郑州小升初这么大压力的环境下，这个学校还一周几次剪纸课的频率着实让我感动，老师学生积极配合我们拍摄和采访，看到片头老人说自己这个没人传承的时候真的很难受，想发段文字让大家看看，在某一个小学里面，有一群小学生用另一种方式在学习剪纸传承剪纸，父母会把小孩辛辛苦苦剪的纸裱起来，挂在屋子里，不会因为觉得这个耽误孩子学习，我觉得真的很棒，我也不会表达只是看到了up新更新的顶置，觉得可能说出来也许会被老人感知到。,2019-12-13 12:08:49,5,评论,最近因为学校的作业选择拍摄剪纸纪录片，up这个短片给了我很多灵感，我拍摄的地点在郑州市惠济区金洼小学，这里的小学生从四年级开始就在老师的带领下学习剪纸，他们的剪纸有四种，最常用的是在蜡版上用刀刻，本以为是叫做刻纸，但是老师说其实都属于剪纸，他们也会用剪刀剪，现在因为学校翻新重建的问题他们现在只在一个有很多间简易房搭建的学校里面，非常小，但是还是匀出一间房间作为剪纸教室，这个学校剪纸课开创人是一位已经过世的老校长，他走之后其它老师继续接任，大部分活动都是自费，郑州前段时间的民运会还专门有组织请他们刻纸，在中国现在的教育，在郑州小升初这么大压力的环境下，这个学校还一周几次剪纸课的频率着实让我感动，老师学生积极配合我们拍摄和采访，看到片头老人说自己这个没人传承的时候真的很难受，想发段文字让大家看，在某一个小学里面，有一群小学生用另一种方式在学习剪纸传承剪纸，父母会把小孩辛苦剪的纸裱起来，挂在屋子里，不会因为觉得这个耽误孩子学习，我觉得真的很棒，我也不会表达只是看到了up新更新的顶置，觉得可能说出来也许会被老人感知到。,0.9998
特别好，我们能做的太少，也仅能是用拙劣的镜头记录下来，希望看到你的作品。,2020-10-06 23:01:59,5,回复,特别好，我们能做的太少，也仅能是用拙劣的镜头记录下来，希望看到你的作品。,0.9999
阿婆主，既然已经到古交了，顺便去孝义记录一下皮影吧。两种文化大同小异，都快后继无人了……(>_>)(´；ω；`),2016-07-18 03:13:30,5,评论,阿婆主，既然已经到古交了，顺便去孝义记录一下皮影吧。两种文化大同小异，都快后继无人了…(>_>)(´；ω；`),0.0019
孝义有很多非遗文化，剪纸也很有名，只是我当时做了剪纸的选题，以后有时间可以做个系列，谢谢支持~,2016-07-18 22:50:10,5,回复,孝义有很多非遗文化，剪纸也很有名，只是我当时做了剪纸的选题，以后有时间可以做个系列，谢支持~,0.9999
_(:3」∠)_ 不用谢~能看出来你们做得很用心！赞！会继续关注的~,2016-07-19 23:57:55,5,回复,_(:3」∠)_ 不用谢~能看出来你们做得很用心！赞！会继续关注的~,0.0558
回复 @悬崖上的山老姨 :作者好棒呀！加油哦！,2019-12-13 19:16:07,3,回复,回复 @悬崖上的山老姨 :作者好棒呀！加油哦！,0.0074
阿婆主，这个能给一个下载地址吗？我想拿去做一个课件里面的视频讲解，不是拿来商用，给学生看看那种。,2016-09-20 17:43:12,4,评论,阿婆主，这个能给一个下载地址吗？我想拿去做一个课件里面的视频讲解，不是拿来商用，给学生看那种。,0.9999
看完了，有点震撼。剪辑加上配音很有深度，太有感染力了，看到最后有点感动。面对民间美术的逐渐消失，其实那些民间艺术家们一直在行动，在改变。我们青年人也应该对了解民间艺术的美和他承载的意义，这样代代相传。其实，剪纸艺术就是一种匠心精神，只有精心雕琢去创造才会有那么多的好作品。正如郭沫若先生所说：美在民间永不朽。,2020-09-03 17:27:08,2,评论,看完了，有点震撼。剪辑加上配音很有深度，太有感染力了，看到最后有点感动。面对民间美术的逐渐消失，其实那些民间艺术家们一直在行动，在改变。我们青年人也应该对了解民间艺术的美和他承载的意义，这样代相传。其实，剪纸艺术就是一种匠心精神，只有精心雕琢去创造才会有那么多的好作品。正如郭沫若先生所说：美在民间永不朽。,0.9998
这个是真的好，可是不好推广啊（叹气）那些老年人们所说的话，UP主你不加字幕，我都听不懂（苦笑）,2016-09-12 02:04:01,5,评论,这个是真的好，可是不好推广啊（叹气）那些老年人们所说的话，UP主你不加字幕，我都听不懂（苦笑）,0.9998
对的，所以必须有字幕。地道的方言，如果农村的老人们说的是标准普通话也就没有味道了吧,2016-09-15 00:06:51,5,回复,对的，所以必须有字幕。地道的方言，如果农村的老人们说的是标准普通话也就没有味道了吧,0.9998
请问是up主自己拍，自己做旁白，自己做的字幕么？好厉害呀！我们非遗课上小组想讲关于剪纸的介绍，可以用你的视频么？期待你的回复,2018-05-07 20:53:10,5,评论,请问是up主自己拍，自己做旁白，自己做的字幕么？好厉害呀！我们非遗课上小组想讲关于剪纸的介绍，可以用你的视频么？期待你的回复,0.9997
所有都是自己原创，两年前的毕业作品，现在看来还是显得稚嫩许多,2018-05-14 11:03:27,5,回复,所有都是自己原创，两年前的毕业作品，现在看来还是显得稚嫩许多,0.9998
回复 @悬崖上的山老姨 :哪个学校,2021-10-20 19:35:40,3,回复,回复 @悬崖上的山老姨 :哪个学校,0.0036
视频很棒[tv_微笑]最近在学做手工做立体书，忽然想起来剪纸，就找到这里来了，记得小时候在家里翻抽屉，发现了好多剪纸和纸样，是妈妈以前做的，有很大很复杂华丽的龙凤，也有简单的囍字，小动物，胖娃娃，后来搬家遗失了，妈妈很多年没做，已经忘了怎么做剪纸了。,2021-03-20 11:22:05,3,评论,视频很棒最近在学做手工做立体书，忽然想起来剪纸，就找到这里来了，记得小时候在家里翻抽屉，发现了好多剪纸和纸样，是妈以前做的，有很大很复杂华丽的龙凤，也有简单的囍字，小动物，胖娃，后来搬家遗失了，妈很多年没做，已经忘了怎么做剪纸了。,0.9998
开头镜头  调色  都很有感觉,2018-12-04 01:14:40,6,评论,开头镜头 调色 都很有感觉,0.999
做的真好 我参加微课比赛想制作剪纸题材的 才发现真的无论是视频还是图片素材都太少了  希望越来越多的人重视中国剪纸 发扬光大！加油！,2021-11-19 01:03:03,2,评论,做的真好 我参加微课比赛想制作剪纸题材的 才发现真的无论是视频还是图片素材都太少了 希望越来越多的人重视中国剪纸 发扬光大！加油！,0.9999
感觉自己还可以坚持一个这个非物质文化遗产的爱好    挺自豪的吧,2021-01-25 11:35:10,4,评论,感觉自己还可以坚持一个这个非物质文化遗产的爱好 挺自豪的吧,0.9999
现在我身为学校剪纸社的一员为自己还能接触到剪纸而庆幸，一纸一剪作为朴实的文化载体，感觉很震撼,2021-04-24 14:07:07,3,评论,现在我身为学校剪纸社的一员为自己还能接触到剪纸而庆幸，一纸一剪作为朴实的文化载体，感觉很震撼,0.9999
我最近也在拍本地剪纸非遗，想借鉴一下分镜和转场，望up主同意,2020-08-08 01:29:41,5,评论,我最近也在拍本地剪纸非遗，想借鉴一下分镜和转场，望up主同意,0.9999
我是来看网课的[OK],2020-02-25 09:05:35,5,评论,我是来看网课的,0.8106
一键三连,2020-02-25 09:05:50,5,回复,一键三连,0.6745
阿婆主拍的很好呀，我们现在也正在制作一个非遗的视频是关于扎染的，真的在过程中会学到很多，领悟很多。,2021-04-25 12:22:50,2,评论,阿婆主拍的很好呀，我们现在也正在制作一个非遗的视频是关于扎染的，真的在过程中会学到很多，领悟很多。,0.9998
up好棒，16年就能拍出这么好看的作品了，我来学习学习[热词系列_新年快乐][热词系列_新年快乐][热词系列_新年快乐],2021-02-12 23:40:59,5,评论,up好棒，16年就能拍出这么好看的作品了，我来学习,0.9999
给了我灵感！！！自觉投币！,2021-01-19 09:31:56,5,评论,给了我灵感！自觉投币！,0.9999
奶奶好厉害，像这种。我即使是去刻也会刻疯掉,2017-07-23 23:27:07,5,评论,奶好厉害，像这种。我即使是去刻也会刻疯掉,0.9998
大大，我是湖南工业大学科技学院的学生，能借用一下你的视频宣传传统文化吗？公共关系的作业创建的公众号宣传，放在公众号里面不做商业用途。,2019-04-21 00:39:43,6,评论,大，我是湖南工业大学科技学院的学生，能借用一下你的视频宣传统文化吗？公共关系的作业创建的公众号宣传，放在公众号里面不做商业用途。,0.9999
好厉害,2018-01-16 18:58:51,5,评论,好厉害,0.8834
谢谢,2018-05-14 10:55:47,5,回复,谢,0.5111
