评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
字小，看着有点累,2021-03-25 11:55:00,6,回复,字小，看着有点累,0.4472
其实下次可以试试把旁白打在下面噢，像对话一样大一点，我看不清。😂,2021-03-24 19:26:57,4,评论,其实下次可以试把旁白打在下面噢，像对话一样大一点，我看不清。😂,0.3314
up主的非遗是申请的国家级的么？感觉好厉害的样子,2021-03-26 17:42:38,5,评论,up主的非遗是申请的国家级的么？感觉好厉害的样子,0.5582
是市级的,2021-03-26 17:55:09,5,回复,是市级的,0.5988
回复 @_顾小思_ :那也厉害啦,2021-03-26 17:59:40,5,回复,回复 @_顾小思_ :那也厉害啦,0.4215
回复 @_顾小思_ :杭州市？！[微笑][OK],2021-03-26 22:05:45,2,回复,回复 @_顾小思_ :杭州市？！,0.1116
真 “灵魂有香气的女子”,2021-03-25 15:06:39,5,评论,真 “灵魂有香气的女子”,0.8551
冒昧问一句，阿婆主封面的蓝衫子是谁家的呀？,2021-03-25 03:22:33,6,评论,冒昧问一句，阿婆主封面的蓝衫子是谁家的呀？,0.1408
同蹲,2021-04-02 12:33:07,5,回复,同蹲,0.7787
撷秀的吧,2021-04-03 04:37:11,5,回复,撷秀的吧,0.4337
有了踢我一下！！,2021-04-14 17:47:59,5,回复,有了踢我一下！,0.432
风雅文艺感觉[打call][打call][打call],2021-03-24 16:37:19,5,评论,风雅文艺感觉,0.8708
太美了！！这就是中华文化之美啊！！,2021-03-24 20:18:51,5,评论,太美了！这就是中华文化之美啊！,0.9823
腰上的小香囊好好看！！！！,2021-03-24 23:16:49,5,评论,腰上的小香囊好看！,0.9603
长知识了[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加],2021-03-24 16:37:33,5,评论,长知识了,0.8285
阿婆主的裙子好好看！！！能问下谁家的嘛,2021-03-25 12:38:56,5,评论,阿婆主的裙子好看！能问下谁家的嘛,0.9058
这件橘色自己染哒,2021-03-25 15:50:20,5,回复,这件橘色自己染哒,0.987
你买D数低一些的真丝，用栀子染,2021-03-25 15:50:47,5,回复,你买D数低一些的真丝，用栀子染,0.5101
回复 @_顾小思_ :好厉害！！！谢谢！,2021-03-25 23:26:38,5,回复,回复 @_顾小思_ :好厉害！谢！,0.5896
求银香囊链接啊啊啊啊啊啊啊啊啊太好看了,2021-03-28 00:24:33,5,评论,求银香囊链接啊太好看了,0.8826
同求！！金色那个手镯我也想问！！,2021-04-11 11:47:31,5,回复,同求！金色那个手镯我也想问！,0.5683
