评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
看太太画画心里总很宁静，尤其是一遍遍叠色，缓慢地将颜料在纸上绽放的时候，总让我有一种“岁月仍在”的感觉。,2021-07-15 22:39:58,4,评论,看太画心里总很宁静，尤其是一遍叠色，缓慢地将颜料在纸上绽放的时候，总让我有一种“岁月仍在”的感觉。,0.9472
%q8,2021-10-12 21:44:58,4,回复,%q8,0.6053
打磨之后肌理的质感确实清晰很多,2021-07-15 21:58:47,6,评论,打磨之后肌理的质感确实清晰很多,0.9733
而且只能看视频才能看出来，照片里是混沌的一团,2021-07-15 22:01:38,6,回复,而且只能看视频才能看出来，照片里是混沌的一团,0.1168
太棒了！！书已购买，好好学习,2021-07-15 22:01:31,5,评论,太棒了！书已购买，好学习,0.9684
回复 @圆圆的西瓜yin :画集《岩语》，教材《岩彩初心》，网课的话站酷高高手官网搜莲羊即可,2021-07-15 22:25:29,6,回复,回复 @圆的西瓜yin :画集《岩语》，教材《岩彩初心》，网课的话站酷高手官网搜莲羊即可,0.9184
回复 @莲羊的岩彩学堂 :嗯！等材料买齐了，尝试画一画，非常喜欢岩彩。越来越喜欢传统国画。,2021-07-15 23:55:44,5,回复,回复 @莲羊的岩彩学堂 :嗯！等材料买齐了，尝试画一画，非常喜欢岩彩。越来越喜欢传统国画。,0.9934
回复 @莲羊的岩彩学堂 :谢谢老师,2021-07-15 22:47:17,4,回复,回复 @莲羊的岩彩学堂 :谢老师,0.9112
好喜欢，好可爱，有上世纪动画感,2021-07-15 22:35:17,5,评论,好喜欢，好可爱，有上世纪动画感,0.9973
从up这里感受到了岩彩的魅力。,2021-07-25 18:05:38,5,评论,从up这里感受到了岩彩的魅力。,0.9479
睡觉前看，今晚做梦的素材又有了[doge],2021-07-17 00:20:57,4,评论,睡觉前看，今晚做梦的素材又有了,0.5584
啊我跟你一样想法[原神_哼],2021-08-09 19:55:14,3,回复,啊我跟你一样想法,0.2294
之前只知道有敦煌壁画，结果看到现在大大从无到有的创作出的画感觉破壁了，岩语已买，可惜照片还是没有视频中的实物震撼，实物才是岩语，会说话的岩石,2021-10-12 22:32:39,4,评论,之前只知道有敦煌壁画，结果看到现在大从无到有的创作出的画感觉破壁了，岩语已买，可惜照片还是没有视频中的实物震撼，实物才是岩语，会说话的岩石,0.9608
太太求bgm,2021-07-16 09:08:47,5,评论,太求bgm,0.2544
落霞 西皮士,2021-07-19 02:42:28,5,回复,落霞 西皮士,0.405
回复 @Kinghong008 :感谢太太,2021-07-19 10:11:26,5,回复,回复 @Kinghong08 :感谢太,0.7237
第一！,2021-07-15 21:55:23,5,评论,第一！,0.7264
好复杂啊,2021-07-15 22:00:57,5,评论,好复杂啊,0.6603
很炼心,2021-07-15 22:50:17,6,回复,很炼心,0.8234
绝了,2021-07-15 21:59:27,5,评论,绝了,0.7822
为什么这么好的作品没上热门？为什么？为什么？这届网友不行啊[doge],2021-10-13 09:43:16,2,评论,为什么这么好的作品没上热门？为什么？这届网友不行啊,0.0117
求BGM,2021-07-18 19:14:26,5,评论,求BGM,0.6618
好厉害啊,2021-07-15 22:28:50,5,评论,好厉害啊,0.8356
好美啊，向您学习[打call],2021-07-15 22:19:49,5,评论,好美啊，向您学习,0.9557
老师太厉害了！！！！,2021-07-15 21:55:20,5,评论,老师太厉害了！,0.5251
这副画、真好看。,2021-12-07 16:16:15,6,评论,这副画、真好看。,0.9434
所以粉丝群怎么加啊啊啊啊,2021-10-23 17:04:26,5,评论,所以粉丝群怎么加啊,0.3033
好贵(=・ω・=),2021-10-13 13:57:42,3,评论,好贵(=・ω・=),0.5554
牛哇牛哇,2021-10-13 13:02:19,6,评论,牛哇,0.8974
宛如仙境！,2021-10-11 19:12:37,5,评论,宛如仙境！,0.9536
好奇羊羊在央美读是什么专业啊！央美有岩彩专业嘛[星星眼],2021-08-29 02:11:43,5,评论,好奇羊在央美读是什么专业啊！央美有岩彩专业嘛,0.8383
希望多来几期鉴赏的也行，帮助像我这种想学习如何欣赏的,2021-08-16 16:55:54,5,评论,希望多来几期鉴赏的也行，帮助像我这种想学习如何欣赏的,0.7362
不然我只晓得。。好看。。有点肤浅了 哈哈,2021-08-16 16:56:20,5,回复,不然我只晓得。好看。有点肤浅了 哈,0.4126
妈呀 感觉给儿子找到了老师,2021-08-16 16:27:04,5,评论,妈呀 感觉给儿子找到了老师,0.9766
很好看啊,2021-08-15 22:41:02,5,评论,很好看啊,0.9796
哇!这么好看又舒服的视频怎么能没人喜欢呢?,2021-08-09 20:01:42,3,评论,哇!这么好看又舒服的视频怎么能没人喜欢呢?,0.9738
有没有高清图，当个壁纸[吃瓜],2021-07-29 12:25:07,5,评论,有没有高清图，当个壁纸,0.5776
🙏🙏🙏🙏🙏,2021-07-24 14:24:16,4,评论,🙏,0.6053
会不会有小精灵来看吖👀,2021-07-20 19:10:28,5,评论,会不会有小精灵来看吖👀,0.505
虎丘塔等等苏式园林能通过这种方式呈现么[笑哭]目前都是些水墨风格的。,2021-07-17 17:20:35,6,评论,虎丘塔等苏式园林能通过这种方式呈现么目前都是些水墨风格的。,0.7728
好漂亮啊！朋友们有没有相似画风的动漫推荐,2021-07-17 12:49:38,5,评论,好漂亮啊！朋友们有没有相似画风的动漫推荐,0.995
[打call][打call][打call][打call][打call],2021-07-17 08:38:43,6,评论,,0.5673
💙,2021-07-16 17:44:54,5,评论,💙,0.6053
漂亮！,2021-07-16 10:36:08,4,评论,漂亮！,0.9627
好看    太好看了超级喜欢啊,2021-07-16 03:36:48,6,评论,好看 太好看了超级喜欢啊,0.9975
很有历史感的狐狸,2021-07-16 02:08:36,3,评论,很有历史感的狐狸,0.9702
太强了！！,2021-07-16 00:55:10,6,评论,太强了！,0.4277
太舒服了,2021-07-16 00:32:23,5,评论,太舒服了,0.9277
太美了，追随[大哭],2021-07-16 00:30:01,6,评论,太美了，追随,0.9935
宁静致远❤️,2021-07-15 23:52:40,6,评论,宁静致远❤️,0.9665
