评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
爷爷亦曾是她遮风避雨的砖瓦。,2022-01-09 17:13:46,5,评论,爷亦曾是她遮风避雨的砖瓦。,0.6883
终于有人发现了！！！！,2022-01-09 17:17:00,5,回复,终于有人发现了！,0.6587
我也好想我爷爷……,2022-01-12 00:01:38,5,回复,我也好想我爷…,0.9043
致敬非遗传承人！！,2022-01-09 01:11:52,6,评论,致敬非遗传承人！,0.9919
致敬每一位仍在坚守的非遗传承人,2022-01-09 10:21:53,5,回复,致敬每一位仍在坚守的非遗传承人,0.9907
我们国家好多文化真的很需要这么匠心的人去传承的。,2022-01-09 14:46:26,4,评论,我们国家好多文化真的很需要这么匠心的人去传承的。,0.9341
真的需要一代一代用命去传承的,2022-01-09 14:51:04,5,回复,真的需要一代用命去传承的,0.4744
回复 @东芳_ICH :赞你,2022-01-09 19:11:31,4,回复,回复 @东芳_ICH :赞你,0.9879
瓦0真棒！这微电影拍的给我整泪目了[保卫萝卜_哭哭]看着国家那么多传统文化与非遗，真的希望有更多人去关注去学习，自豪生在这样一个有文化底蕴的大国，这可能就是文化自信吧！,2022-01-09 17:20:08,6,评论,瓦0真棒！这微电影拍的给我整泪目了看着国家那么多传统文化与非遗，真的希望有更多人去关注去学习，自豪生在这样一个有文化底蕴的大国，这可能就是文化自信吧！,0.9671
瓦0是什么？！,2022-01-09 17:32:37,5,回复,瓦0是什么？！,0.0602
回复 @东芳_ICH :瓦灵啦[妙啊],2022-01-09 21:10:22,5,回复,回复 @东芳_ICH :瓦灵啦,0.7707
不是瓦灵吗，这也能缩写？,2022-01-10 19:01:18,5,回复,不是瓦灵吗，这也能缩写？,0.0475
芳芳哥哥，小传承人我来啦[打call][打call],2022-01-09 14:55:12,3,评论,芳哥，小传承人我来啦,0.785
呜呜呜，送我的小传承人上去！演的太好了！不愧是和邓伦拍过戏的[脱单doge],2022-01-09 14:59:47,5,回复,呜，送我的小传承人上去！演的太好了！不愧是和邓伦拍过戏的,0.9918
回复 @东芳_ICH :哥哥夸人好好听，不愧是我觉得像邓伦一样的好哥哥,2022-01-09 15:06:12,3,回复,回复 @东芳_ICH :哥夸人好听，不愧是我觉得像邓伦一样的好哥,0.9825
是传承啊[保卫萝卜_哭哭]，真的很感谢每一位传承人的坚守，大概正是一代又一代再坚持，才让这么多的技艺和艺术得以保存到今天。,2022-01-09 20:07:46,5,评论,是传承啊，真的很感谢每一位传承人的坚守，大概正是一代又一代再坚持，才让这么多的技艺和艺术得以保存到今天。,0.9804
传承真的是个很神圣的词,2022-01-11 17:45:37,5,回复,传承真的是个很神圣的词,0.9705
帮小芳配了音,2022-01-09 15:35:39,5,评论,帮小芳配了音,0.741
搞上去！！！神秘人的配音哈哈,2022-01-09 15:43:03,5,回复,搞上去！神秘人的配音哈,0.7476
原来芳芳哥哥的音你配的[嗑瓜子],2022-01-09 21:39:53,3,回复,原来芳哥的音你配的,0.4712
哇第一次见这个up，不懂就问，这是电影吗[doge],2022-01-08 23:11:21,4,评论,哇第一次见这个up，不懂就问，这是电影吗,0.0294
这是夸奖吗？,2022-01-09 10:20:45,5,回复,这是夸奖吗？,0.0441
微电影也必须是电影呀[呲牙],2022-01-09 15:20:55,3,回复,微电影也必须是电影呀,0.739
回复 @小演员卜路远 :就好像银河也是河一样 [脱单doge][脱单doge]银河都算是河，那么微电影为什么不算电影。[滑稽][滑稽][滑稽],2022-01-09 18:25:07,4,回复,回复 @小演员卜路远 :就好像银河也是河一样 ,0.1984
它因相信而存在,2022-01-09 14:34:39,4,评论,它因相信而存在,0.2567
他们被相信着，也被传承着…,2022-01-09 15:24:38,5,回复,他们被相信着，也被传承着…,0.478
薪火相传百业兴，道路艰难有泥泞。缘得金木水火土，遮风挡雨为谁承？[抱拳],2022-01-09 12:58:46,3,评论,薪火相传百业兴，道路艰难有泥泞。缘得金木水火土，遮风挡雨为谁承？,0.5238
拍的好好！！,2022-01-09 10:17:23,6,评论,拍的好！,0.8785
你怎么会刷到这个号？[藏狐],2022-01-09 10:20:18,5,回复,你怎么会刷到这个号？,0.0771
回复 @东芳_ICH :你自己转发了 笨蛋[小电视_笑],2022-01-09 11:23:57,6,回复,回复 @东芳_ICH :你自己转发了 笨蛋,0.0284
瓦灵好帅啊啊啊啊啊！！！好高级的审美！！！视频也质量贼高！！！,2022-01-09 14:04:45,5,评论,瓦灵好帅啊！好高级的审美！视频也质量贼高！,0.9917
[doge]我这就去给你找瓦灵,2022-01-09 14:37:42,5,回复,我这就去给你找瓦灵,0.4682
瓦灵有点仙,2022-01-09 21:41:52,3,回复,瓦灵有点仙,0.6269
回复 @东芳_ICH :等……等等，瓦灵是up吗【后知后觉】丢大人[脸红],2022-02-02 17:41:25,5,回复,回复 @东芳_ICH :等…等，瓦灵是up吗【后知后觉】丢大人,0.0933
画面太好看了吧[脸红][脸红][脸红][脸红]！,2022-01-09 15:19:31,3,评论,画面太好看了吧！,0.9238
我也觉得！这画面太精美了！,2022-01-11 17:44:06,6,回复,我也觉得！这画面太精美了！,0.8464
可能是我们的编剧团队和导演团队配合的默契,2022-01-11 17:46:24,5,回复,可能是我们的编剧团队和导演团队配合的默契,0.2183
爷爷亦曾是她遮风避雨的砖瓦。,2022-01-10 12:33:58,5,评论,爷亦曾是她遮风避雨的砖瓦。,0.6883
