评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
我看不懂，但是大受震撼[藏狐],2021-09-19 16:22:23,5,评论,我看不懂，但是大受震撼,0.9161
韩国:完了，这个没办法申遗思密达[doge],2021-09-19 20:59:54,6,回复,韩国:完了，这个没办法申遗思密达,0.4121
回复 @尼酷劳德 :棒子：完了，我们的智商整不来[大哭],2021-09-20 23:40:56,5,回复,回复 @尼酷劳德 :棒子：完了，我们的智商整不来,0.0852
我还以为解九连环呢[Cat_study],2021-10-08 21:50:40,6,回复,我还以为解九连环呢,0.3398
第一眼：拿着个签子干啥啊？最后：[疑惑][疑惑][疑惑]发生了啥？,2021-09-20 09:01:29,5,评论,第一眼：拿着个签子干啥啊？最后：发生了啥？,0.1363
感觉和学高数一样，我踏马在看什么？？？？[热词系列_知识增加],2021-09-20 13:59:08,5,回复,感觉和学高数一样，我踏马在看什么？,0.3121
回复 @unsystematic :我是之前就没有发现这是个刺绣[笑哭],2021-09-21 09:08:35,5,回复,回复 @unsystematic :我是之前就没有发现这是个刺绣,0.4608
回复 @unsystematic :那奥数那岂不是,2021-10-07 20:45:53,5,回复,回复 @unsystematic :那奥数那岂不是,0.0321
对韩五原则[再见]1.不要教他们2.不要帮他们3.不要被偷4.不要让他们来5.不要和他们有关系,2021-09-20 13:59:52,4,评论,对韩五原则1.不要教他们2.不要帮他们3.不要被偷4.不要让他们来5.不要和他们有关系,0.0215
一个这个，👌,2021-09-20 22:26:36,4,回复,一个这个，👌,0.5683
别小瞧韩国的网络输出，贴吧里好多都是他们的人在发帖，b站也不少，还人人私信我给我科普韩国是发达国家，今早贴吧还有两个赞扬韩国的帖子，图片内容一模一样就连标题都懒得改，他们在网络输出这块不比日美少，而且一直以来都有,2021-09-21 08:46:41,5,回复,别小瞧韩国的网络输出，贴吧里好多都是他们的人在发帖，b站也不少，还人私信我给我科普韩国是发达国家，今早贴吧还有两个赞扬韩国的帖子，图片内容一模一样就连标题都懒得改，他们在网络输出这块不比日美少，而且一直以来都有,0.2991
