评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
在下，非物质文化遗产“王派竹板”传承人再传弟子，纯手工制作竹板，也希望能得到大家支持！,2021-06-12 13:44:51,6,评论,在下，非物质文化遗产“王派竹板”传承人再传弟子，纯手工制作竹板，也希望能得到大家支持！,0.9999
竹板这么一打呀，别的咱不誇,2021-06-12 17:55:37,5,回复,竹板这么一打呀，别的咱不誇,0.0167
回复 @从来不白嫖叻 :哈哈，介四～天津快啊！[支持],2021-06-12 20:15:52,6,回复,回复 @从来不白嫖叻 :哈，介四～天津快啊！,0.0012
加油[粽子][粽子],2021-06-13 13:22:47,5,回复,加油,0.9679
嗨，国内的奢侈品是艺术品，一般家庭还真买不起，国外的奢侈品是玩物，一般家庭省省还是能买一个的,2021-06-12 21:37:54,4,评论,嗨，国内的奢侈品是艺术品，一般家庭还真买不起，国外的奢侈品是玩物，一般家庭省还是能买一个的,0.9999
看见喜欢的外国东西咬咬牙就买下来了看见喜欢的中国物件。小小的想带回家放着。结果你会发现你就是把牙咬碎了都买不下来[OK],2021-06-13 13:35:43,5,回复,看见喜欢的外国东西咬牙就买下来了看见喜欢的中国物件。小的想带回家放着。结果你会发现你就是把牙咬碎了都买不下来,0.9999
回复 @草本复方 :牙咬碎了，料都买不下来[笑哭],2021-06-13 14:42:06,6,回复,回复 @草本复方 :牙咬碎了，料都买不下来,0.0027
以前国内的奢侈品，那是真材实料的，要么用料讲究，要么技术巧夺天工。总之一看就知道很贵，是大富人家才能拥有的。相比之下，国外的有些奢侈品，我实在想不通就这破玩意儿为什么能值这个钱。,2021-06-14 16:14:39,6,回复,以前国内的奢侈品，那是真材实料的，要么用料讲究，要么技术巧夺天工。总之一看就知道很贵，是大富人家才能拥有的。相比之下，国外的有些奢侈品，我实在想不通就这破玩意儿为什么能值这个钱。,0.9999
好像有点理解古代那些收藏之士会有收尽天下匠工宝物的心情了，这谁不想要啊[星星眼],2021-06-12 03:30:32,5,评论,好像有点理解古代那些收藏之士会有收尽天下匠工宝物的心情了，这谁不想要啊,0.0037
赞同，太美了,2021-06-13 19:13:00,5,回复,赞同，太美了,0.9977
必须的。这么美的东西谁不想收起来慢慢欣赏啊！,2021-06-14 22:35:17,5,回复,必须的。这么美的东西谁不想收起来慢欣赏啊！,0.9999
我也从这个视频体会到收藏的乐趣了,2021-06-14 23:01:19,5,回复,我也从这个视频体会到收藏的乐趣了,0.9999
我直接文化膨胀,2021-06-13 21:39:46,5,评论,我直接文化膨胀,0.12
[热词系列_好耶][热词系列_芜湖起飞],2021-06-14 19:09:10,5,回复,,0.5695
我直接给你点赞，让你让去让更多的人膨胀,2021-06-14 22:49:48,5,回复,我直接给你点赞，让你让去让更多的人膨胀,0.9999
[歪嘴],2021-06-17 19:32:04,6,回复,,0.5695
说！后面出现的我去拿一件，要判几年，让我好死心,2021-06-14 12:00:37,5,评论,说！后面出现的我去拿一件，要判几年，让我好死心,0.0021
上面的石雕，还有那个竹编买一件的价格应该是在8位数或者9位数。双面绣6位数就可以了。陶瓷7或者是8位数。梳子4位数。金银的金钗银簪子应该是6位数到7位数。开不开心？,2021-06-14 14:09:16,5,回复,上面的石雕，还有那个竹编买一件的价格应该是在8位数或者9位数。双面绣6位数就可以了。陶瓷7或者是8位数。梳子4位数。金银的金钗银簪子应该是6位数到7位数。开不开心？,0.9999
云锦的布料是8000一米，就这还不是最贵的布料。芜湖起飞。,2021-06-14 14:11:54,5,回复,云锦的布料是80一米，就这还不是最贵的布料。芜湖起飞。,0.9999
回复 @百合郎 :好家伙！你这么一报，我不仅心死了，人也差点死了[藏狐],2021-06-14 16:16:56,4,回复,回复 @百合郎 :好家伙！你这么一报，我不仅心死了，人也差点死了,0.0033
真的觉得我们国家传统文化，宣传得还是不够，视频里的我和其他认识的人都没能认出三分之二[热词系列_害]，不得不说写过的弘扬文化的作文都比我知道的文化遗产多,2021-06-13 22:29:06,4,评论,真的觉得我们国家传统文化，宣传得还是不够，视频里的我和其他认识的人都没能认出三分之二，不得不说写过的弘扬文化的作文都比我知道的文化遗产多,0.9999
