,word,count
0,学校,462
1,监控,448
2,孩子,290
3,家长,271
4,真相,259
5,真的,146
6,希望,141
7,学生,130
8,事情,124
9,成都,105
10,时间,101
11,老师,99
12,公布,97
13,父母,87
14,家属,86
15,事件,82
16,母亲,79
17,逝者,79
18,安息,77
19,视频,75
20,警方,73
21,不让,73
22,发声,73
23,通报,72
24,证据,70
25,节奏,70
26,网友,69
27,小时,66
28,调查,65
29,自杀,64
30,社会,63
31,关注,59
32,妈妈,59
33,人民日报,58
34,舆论,57
35,国家,57
36,确认,55
37,中国,54
38,质疑,54
39,教育局,53
40,道歉,51
41,新闻,49
42,第一,49
43,微博,48
44,评论,47
45,有人,46
46,事实,44
47,身份,44
48,回应,44
49,殡仪馆,43
50,生命,43
51,媒体,42
52,坠楼,42
53,通知,42
54,发生,41
55,官方,41
56,班主任,40
57,火化,40
58,原因,39
59,正义,39
60,警察,39
61,转发,38
62,出事,38
63,跳楼,37
64,网络,36
65,校方,34
66,终于,33
67,尸体,33
68,教育,32
69,情况,32
70,对不起,31
71,同学,30
72,心理,30
73,为啥,30
74,责任,30
75,儿子,29
76,热度,29
77,公开,29
78,发布,28
79,造谣,28
80,确实,28
81,一点,28
82,事发,28
83,这是,28
84,无异议,28
85,等待,27
86,政府,27
87,感觉,27
88,肯定,27
89,救护车,26
90,不信,26
91,这件,26
92,信息,26
93,关心,26
94,一分,26
95,死亡,25
96,理智,25
97,权利,25
98,母亲节,25
99,越来越,24
100,谣言,24
101,还原,24
102,势力,24
103,现场,24
104,校长,24
105,公众,24
106,网上,23
107,保护,23
108,官媒,23
109,死者,23
110,通告,23
111,法律,22
112,真相大白,22
113,高考,22
114,手机,22
115,交代,22
116,相关,22
117,利用,22
118,案件,22
119,好好,21
120,一段,21
121,拒绝,21
122,一条,21
123,方式,21
124,认同,21
125,遗体,20
126,隐瞒,20
127,公道,20
128,群众,20
129,发酵,20
130,四十九中,19
131,接受,19
132,提供,19
133,家人,19
134,公信力,19
135,简单,19
136,回复,19
137,领导,18
138,几个,18
139,几天,18
140,掩盖,18
141,一句,18
142,同意,18
143,部门,18
144,疑点,18
145,不想,18
146,公安,18
147,情绪,18
148,坠亡,18
149,传谣,18
150,一个多,18
151,地方,17
152,心理健康,17
153,压力,17
154,公安机关,17
155,那段,17
156,缺失,17
157,化学,17
158,关键,17
159,黑暗,17
160,说法,17
161,公告,16
162,背后,16
163,每次,16
164,怀疑,16
165,选择,16
166,可怕,16
167,老百姓,16
168,持续,16
169,说话,16
170,人性,15
171,细节,15
172,舆情,15
173,反转,15
174,严查,15
175,想要,15
176,公安局,15
177,反正,15
178,内容,15
179,家庭,15
180,明白,15
181,详细,15
182,辨认,15
183,大众,14
184,全貌,14
185,贵校,14
186,键盘,14
187,心痛,14
188,影响,14
189,隐私,14
190,东西,14
191,好像,14
192,伤害,14
193,别有用心,14
194,遮遮掩掩,14
195,态度,14
196,可怜,14
197,证明,14
198,谢谢,14
199,彻查,14
200,结论,14
201,清白,14
202,营销,14
203,发现,14
204,认知,14
205,颜色,14
206,坠落,13
207,不予置评,13
208,央视,13
209,透明,13
210,校园,13
211,报道,13
212,理解,13
213,后续,13
214,调查结果,13
215,录像,13
216,人命,13
217,工作,13
218,只能,13
219,特别,13
220,未知,13
221,心疼,13
222,不好,13
223,傻子,13
224,疑点重重,13
225,境外,13
226,革命,13
227,干嘛,12
228,重视,12
229,紫光阁,12
230,中国政府,12
231,人员,12
232,解释,12
233,晚上,12
234,心情,12
235,两个,12
236,这位,12
237,尊重,12
238,受害者,12
239,过程,12
240,事实真相,12
241,期待,12
242,当事人,12
243,支持,12
244,关系,12
245,血馒头,12
246,解决,12
247,离谱,11
248,真实,11
249,查清,11
250,暴力,11
251,高中,11
252,求真,11
253,求实,11
254,抱歉,11
