中江 九江 亳州知州 仙游 保定 军工补官 凤翔府知府 刘沪 参知政事 吕梁 四川 国子监直讲 夏竦 宰相 富弼 尹洙 山东 山西 延州指挥使 开封 徐州 御史中丞 恩荫 抚州 文臣 晏殊 杜衍 枢密使 枢密副使 欧阳修 武将 江苏 江西 河北 河南 泉州 泰安 洛阳 浙江 渭州知州 滕宗谅 狄青 王拱辰 皇帝 监进奏院 知谏院 石介 石城 福建 科举 绍兴 统治者 继位 绵阳 苏州 苏舜钦 范仲淹 蔡襄 谏官 赵祯 郑戬 陈执中 静边砦主 韩琦 马步军都部署 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.38367416177432073 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.29022410581149544 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.43833894020286696 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.43833894020286696 0.43833894020286696 0.0 0.0 0.0 0.0 0.0 0.0 0.43833894020286696 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5086054043203071 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5086054043203071 0.17383101808289247 0.5086054043203071 0.0 0.0 0.0 0.0 0.0 0.0 0.40017514832997425 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.18331463634930859 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.16585152644759232 0.0 0.48525852058114005 0.48525852058114005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.48525852058114005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.17489981128811113 0.48525852058114005 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4502613524088811 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5144132800511882 0.0 0.0 0.0 0.17581603228569512 0.0 0.0 0.0 0.0 0.0 0.0 0.4502613524088811 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.18540794605173158 0.0 0.0 0.0 0.0 0.0 0.0 0.5144132800511882 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.17581603228569512 0.0 0.0 0.0 0.4502613524088811 0.0 0.0 0.0 0.0 0.0 0.0 0.5144132800511882 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4502613524088811 0.18540794605173158 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5144132800511882 0.0 
