,word,count
409,全程,16
410,之巅,15
411,出息,15
412,麻烦,15
413,魔咒,15
414,韩国队,15
415,芜湖,15
416,春季,15
417,江苏省,15
418,央视,15
419,WE,15
420,当之无愧,15
421,一套,15
422,年轻人,15
423,不太懂,15
424,幻神,15
425,断剑,15
426,生日,15
427,今夜,15
428,EDGLPL,15
429,LGD,15
430,超人,15
431,男孩,15
432,不看,15
433,之时,15
434,点名,15
435,快点,14
436,想起,14
437,一号,14
438,前来,14
439,尼玛,14
440,依旧,14
441,EDGYDS,14
442,小时,14
443,老板,14
444,佐伊,14
445,王者,14
446,队员,14
447,那种,14
448,建议,14
449,小说,14
450,明白,14
451,三年,14
452,小组赛,14
453,一辈子,14
454,第三,14
455,流弊,14
456,不许,14
457,呐喊,14
458,宿舍楼,14
459,救命,14
460,经历,14
461,借着,14
462,秩序,14
463,登顶,13
464,捧起,13
465,不住,13
466,走来,13
467,年老,13
468,打满,13
469,没人,13
470,16,13
471,你好,13
472,辅助,13
473,电宝妈,13
474,团队,13
475,漂亮,13
476,全员,13
477,老公,13
478,带来,13
479,牛蛙,13
480,中单,13
481,盛世,13
482,几天,13
483,s4,13
484,回放,13
485,打赢,13
486,为啥,13
487,肯定,13
488,打破,13
489,两把,13
490,洗头,13
491,王一博,13
492,FPX,13
493,一点多,13
494,两点,13
495,流量,12
496,18,12
497,是因为,12
498,史上,12
499,第五局,12
500,垃圾,12
501,好帅,12
502,没事,12
503,故事,12
504,瞬间,12
505,对象,12
506,这么久,12
507,排面,12
508,估计,12
509,室友,12
510,有个,12
511,选个,12
512,流泪,12
513,半价,12
514,不想,12
515,营销,12
516,厄斐,12
517,总算,12
518,太燃,12
519,太爽了,12
520,辉煌,12
521,第四,12
522,样子,12
523,男生宿舍,12
524,无语,12
525,真心,12
526,下次,12
527,BO5,12
528,第三局,12
529,近视眼,12
530,第四局,12
531,偏激,12
532,龙骑士,11
533,李炫君,11
534,迎来,11
535,赛前,11
536,选择,11
537,真实,11
538,s5,11
539,看过,11
540,疫情,11
541,教练,11
542,这句,11
543,大学,11
544,全套,11
545,质量,11
546,头像,11
547,荣誉,11
548,亚运会,11
549,EGD,11
550,退役,11
551,听说,11
552,六个,11
553,时光,11
554,起床,11
555,跟着,11
556,阻挡,11
557,年轻,11
558,不留,11
559,感染,11
560,电脑,11
561,低俗,11
562,猛犸,11
563,四年,11
564,EDGedg,11
565,质疑,11
566,必胜,11
567,夺冠军,11
568,理由,11
569,感叹号,11
570,没玩过,11
571,刺激,11
572,要说,11
573,仁川,11
574,魅力,11
575,女生,11
576,那年,11
577,寝室,11
578,不请自来,11
579,这辈子,11
580,tm,11
581,选佐伊,10
582,雷克雅未克,10
583,多久,10
584,成绩,10
585,只会,10
586,心酸,10
587,没敢,10
588,不敢相信,10
589,26,10
590,新年快乐,10
591,nice,10
592,好看,10
593,新闻,10
594,没什么,10
595,赵礼杰,10
596,一看,10
597,小伙子,10
598,结婚,10
599,上单,10
600,逆风,10
601,配图,10
