,Unnamed: 0,word,count,情感分值
12,12,喜欢,6879,0.9611
20,20,推荐,5588,0.9316
26,26,不错,5371,0.9475
50,50,好吃,3657,0.9401
68,68,生活,3147,0.9288
82,82,享受,2799,0.9452
88,88,新鲜,2717,0.9189
106,106,日落,2422,0.9551
110,110,海风,2392,0.9095
114,114,鹿回头,2340,0.9711
134,134,自由,2047,0.9351
135,135,美丽,2044,0.9716
136,136,天堂,2039,0.9354
161,161,终于,1815,0.9167
164,164,值得,1788,0.9534
172,172,美好,1719,0.9504
176,176,好看,1691,0.9803
177,177,美味,1687,0.9488
183,183,浪漫,1652,0.9371
193,193,舒服,1545,0.957
195,195,开心,1522,0.9569
200,200,最美,1511,0.9822
216,216,海浪,1462,0.9735
225,225,错过,1426,0.9856
258,258,灯塔,1297,0.9292
267,267,拥有,1273,0.9142
273,273,惬意,1256,0.9655
286,286,喜来登,1194,0.924
290,290,舒适,1190,0.9504
318,318,大片,1098,0.9148
328,328,山顶,1072,0.9475
338,338,珊瑚,1059,0.9025
358,358,安静,1025,0.9311
382,382,椰树,992,0.9122
385,385,漂亮,986,0.9658
392,392,期待,973,0.934
399,399,可爱,964,0.9784
400,400,惊喜,964,0.9785
421,421,兴隆,922,0.9477
435,435,清新,902,0.9436
437,437,正好,900,0.9198
454,454,最佳,870,0.9483
467,467,刺激,845,0.9167
468,468,快乐,842,0.9598
483,483,温暖,823,0.9774
492,492,美的,810,0.9657
496,496,哈哈哈,806,0.9536
497,497,火山,806,0.92
506,506,人生,790,0.9669
511,511,温馨,783,0.9596
517,517,划算,778,0.9418
548,548,放松,735,0.9395
551,551,细腻,732,0.9632
552,552,浮潜,732,0.9033
568,568,鲜嫩,712,0.9123
584,584,好玩,698,0.9329
589,589,幸福,696,0.9721
596,596,精致,692,0.9439
597,597,漫步,689,0.9317
610,610,正宗,680,0.9221
620,620,鲜美,674,0.9287
641,641,很快,653,0.9302
657,657,依旧,641,0.9071
658,658,贴心,639,0.9611
681,681,优质,623,0.9325
694,694,美美,610,0.9707
706,706,分享,601,0.9072
730,730,入味,577,0.9214
731,731,轻松,576,0.9632
745,745,实惠,564,0.902
751,751,经典,562,0.9788
763,763,足够,554,0.9419
776,776,身体,545,0.9313
780,780,爱情,542,0.9385
808,808,感谢,519,0.9569
811,811,向往,518,0.9605
814,814,闺蜜,517,0.9113
815,815,还会,517,0.9149
821,821,收获,515,0.9003
834,834,温柔,509,0.901
839,839,浪花,507,0.9277
844,844,齐全,501,0.9045
847,847,省心,501,0.9729
853,853,很棒,498,0.9928
866,866,鸟巢,493,0.9309
877,877,魅力,488,0.9604
898,898,十足,479,0.9414
914,914,非常适合,473,0.9646
917,917,地道,471,0.9294
918,918,婚纱照,470,0.9095
922,922,放心,469,0.9647
933,933,哥哥,463,0.9709
938,938,惊艳,461,0.9753
939,939,梦想,461,0.9754
946,946,好喝,458,0.9012
955,955,兴奋,450,0.937
958,958,顺利,450,0.9543
973,973,人文,443,0.9228
982,982,欢乐,438,0.9235
1012,1012,清爽,426,0.9206
1018,1018,嘻嘻,422,0.9605
1029,1029,时尚,417,0.9423
1035,1035,未来,415,0.9089
1036,1036,精彩,414,0.9332
1040,1040,十年,413,0.9111
1047,1047,宁静,409,0.9354
1087,1087,午后,394,0.9708
1099,1099,满意,390,0.9638
1124,1124,面朝,383,0.9097
1142,1142,奢华,377,0.9541
1149,1149,宽敞,375,0.9588
1158,1158,五星,373,0.9895
1167,1167,颜值,371,0.9583
1178,1178,首选,367,0.9671
1179,1179,开阔,367,0.9081
1182,1182,黄昏,367,0.9283
1185,1185,体力,364,0.9443
1194,1194,尽头,362,0.9551
1205,1205,长大,359,0.9362
1207,1207,过瘾,358,0.9441
1208,1208,清香,358,0.9254
1215,1215,迷人,356,0.9846
1224,1224,生长,354,0.9336
1227,1227,震撼,353,0.9884
1230,1230,阴天,352,0.929
1244,1244,源于,349,0.9343
1250,1250,兰花,347,0.9306
1263,1263,便利,344,0.9086
1270,1270,饱满,343,0.9535
1274,1274,世界级,341,0.9359
1286,1286,醒来,338,0.9295
1299,1299,居住,335,0.9223
1302,1302,香甜,334,0.962
1314,1314,绿植,332,0.9006
1323,1323,丰盛,329,0.9246
1339,1339,外观,325,0.9458
1347,1347,必备,323,0.9327
1361,1361,优雅,321,0.9644
1371,1371,萌哒,320,0.9963
1387,1387,愉快,315,0.936
1389,1389,摆渡,315,0.9357
1403,1403,绝佳,313,0.9468
1408,1408,符合,312,0.9199
1424,1424,喜爱,308,0.9679
1428,1428,深刻,307,0.9365
1447,1447,正确,303,0.9338
1451,1451,激动,303,0.9878
1471,1471,肥美,298,0.9384
1475,1475,好评,297,0.9495
1479,1479,陪伴,296,0.9794
1492,1492,哈哈哈哈,294,0.9807
1500,1500,特有,292,0.9014
