,Unnamed: 0,word,count,情感分值
12577,12577,黑灯瞎火,24,0.0729
12599,12599,客观条件,24,0.0864
12713,12713,皮薄肉,23,0.0789
12811,12811,乱七八糟,23,0.0289
12821,12821,腹泻,23,0.0529
12831,12831,怎么回事,23,0.0947
12918,12918,过高,23,0.0586
12926,12926,莫名其妙,23,0.0209
12928,12928,女司机,23,0.0969
12955,12955,最差,23,0.0098
12962,12962,可恶,23,0.0841
13013,13013,稍差,23,0.0472
13142,13142,不必要,22,0.0908
13399,13399,只能靠,22,0.0345
13435,13435,霉味,22,0.0755
13445,13445,够呛,22,0.0906
13454,13454,歧视,22,0.0756
13508,13508,迟早会,22,0.0425
13515,13515,耻辱柱,22,0.0261
13533,13533,臭油,22,0.0537
13564,13564,盐巴,21,0.0975
13690,13690,发黄,21,0.0706
13718,13718,连皮带肉,21,0.0575
13832,13832,脆弱,21,0.0922
13937,13937,闹心,21,0.0539
13946,13946,一拖再拖,21,0.0513
14001,14001,吹牛,20,0.0853
14007,14007,瞎逛,20,0.0983
14019,14019,太沉,20,0.0378
14040,14040,倒数,20,0.0719
14043,14043,可言,20,0.0843
14045,14045,萧条,20,0.0978
14046,14046,高点,20,0.0943
14178,14178,稚嫩,20,0.0832
14212,14212,防坑,20,0.0639
14351,14351,例子,20,0.0963
14367,14367,无语,20,0.0316
14397,14397,耍流氓,20,0.0399
14433,14433,晕晕,20,0.0375
14513,14513,一星,19,0.007
14574,14574,地摊,19,0.0761
14608,14608,不死心,19,0.0566
14824,14824,借口,19,0.0375
14831,14831,皮厚肉,19,0.0899
14900,14900,不坑,19,0.0634
14904,14904,倒闭,19,0.0188
14936,14936,悲剧,19,0.0646
15030,15030,不了了之,19,0.031
15057,15057,不尽相同,18,0.0845
15082,15082,玩意,18,0.0266
15110,15110,远不如,18,0.071
15209,15209,炮弹,18,0.0941
15248,15248,不信,18,0.0609
15450,15450,需谨慎,18,0.0117
15473,15473,干不了,18,0.061
15476,15476,臭味,18,0.0928
15499,15499,退掉,18,0.0622
15533,15533,鸡肋,18,0.0323
15553,15553,低端,18,0.0603
15583,15583,自醉,18,0.0287
15600,15600,无能,18,0.043
15618,15618,不讨,18,0.0885
15733,15733,老子,17,0.0427
15777,15777,笑话,17,0.0234
15864,15864,没电,17,0.07
15903,15903,很脏,17,0.0332
15911,15911,投诉,17,0.036
15925,15925,怕怕,17,0.0943
15967,15967,小坑,17,0.0554
16113,16113,当妈,17,0.0265
16188,16188,闷闷,17,0.0509
16246,16246,发热,17,0.0517
16291,16291,不尽人意,17,0.0651
16323,16323,骗人,16,0.0325
16326,16326,无耻,16,0.0225
16328,16328,蟑螂,16,0.0175
16414,16414,人生地不熟,16,0.089
16567,16567,最不缺,16,0.0445
16586,16586,闹哄哄,16,0.0914
16587,16587,不敢恭维,16,0.026
16589,16589,绝不会,16,0.051
16601,16601,响声,16,0.0247
16605,16605,呕吐,16,0.0823
16651,16651,管理人员,16,0.0918
16695,16695,欠缺,16,0.051
16705,16705,不太敢,16,0.0903
16721,16721,锋吹成,16,0.0978
16794,16794,没听说过,16,0.0966
16806,16806,不明,16,0.0728
16826,16826,实质,16,0.0537
16860,16860,假货,16,0.0788
16961,16961,反感,15,0.0622
17019,17019,厚颜无耻,15,0.0273
17028,17028,惨不忍睹,15,0.0316
17039,17039,low,15,0.0298
17218,17218,打柴,15,0.0842
17239,17239,停机坪,15,0.0655
17259,17259,威胁,15,0.0349
17337,17337,灾难,15,0.0829
17343,17343,再也不会,15,0.0893
17411,17411,巴掌,15,0.043
17426,17426,直视,15,0.085
17507,17507,太差,15,0.0217
17536,17536,黑漆漆,15,0.0853
17614,17614,刷抖,15,0.0389
17620,17620,拙劣,15,0.0532
17629,17629,地慢,15,0.0977
17646,17646,管不了,15,0.0551
17649,17649,招人烦,15,0.0439
17914,17914,证据,14,0.0751
18113,18113,堪忧,14,0.0322
18166,18166,要死,14,0.096
18228,18228,明明白白,14,0.0366
18249,18249,较差,14,0.0207
18351,18351,搞清楚,14,0.0776
18374,18374,不通,14,0.0879
18416,18416,太暗,14,0.0428
18427,18427,sb,14,0.0869
18459,18459,热屎,14,0.0199
18495,18495,吹乱,13,0.0581
18540,18540,看不懂,13,0.0215
18753,18753,敷衍,13,0.0414
18918,18918,不烂,13,0.0318
19032,19032,黏糊糊,13,0.057
19096,19096,不配,13,0.0127
19111,19111,坏掉,13,0.06
19124,19124,愚蠢,13,0.0239
19222,19222,打击,13,0.097
19223,19223,查查,13,0.0737
19311,19311,干瘪,13,0.0817
19336,19336,时当妈,13,0.0178
19388,19388,嚣张,12,0.0383
19490,19490,犊子,12,0.0233
19510,19510,破产,12,0.0508
19584,19584,丢掉,12,0.0474
19658,19658,吐血,12,0.0505
19719,19719,名声大噪,12,0.0827
19775,19775,没落,12,0.0383
19846,19846,无味,12,0.0262
20075,20075,短炮,12,0.0357
20098,20098,稍大,12,0.0602
20119,20119,业余,12,0.0671
20143,20143,孙子,12,0.0866
20154,20154,难看,12,0.0256
20220,20220,幼稚,12,0.0347
20228,20228,坑爹,12,0.0619
20275,20275,乏善可陈,12,0.0213
20308,20308,稀碎,12,0.0832
20329,20329,自黑,12,0.0596
20372,20372,丧失,11,0.0689
20401,20401,好意思,11,0.0592
20412,20412,极差,11,0.0159
20414,20414,失灵,11,0.0378
20415,20415,不符,11,0.0325
20416,20416,受限,11,0.0593
20533,20533,最坑,11,0.0418
20590,20590,发黑,11,0.06
20631,20631,不复存在,11,0.0775
20643,20643,不太大,11,0.0599
20816,20816,晕晕沉沉,11,0.0451
20964,20964,吃力,11,0.0914
20987,20987,免俗,11,0.0888
21008,21008,警惕,11,0.049
21099,21099,狗刨,11,0.0624
21134,21134,太坑,11,0.0153
21140,21140,别去了,11,0.0311
21150,21150,忍痛,11,0.0909
21193,21193,不合理,11,0.0842
21207,21207,情愿,11,0.0438
21314,21314,改道,11,0.0929
21405,21405,欠揍,11,0.0905
21431,21431,鄙视,11,0.0915
21559,21559,欺负,10,0.0532
21575,21575,慎重考虑,10,0.0352
21686,21686,腥气,10,0.093
21727,21727,奉劝,10,0.0384
21802,21802,脸色,10,0.075
21862,21862,烦人,10,0.0819
21883,21883,经验不足,10,0.055
21890,21890,别去,10,0.0294
21966,21966,兴冲冲,10,0.0856
21984,21984,大相径庭,10,0.086
22004,22004,不解,10,0.0847
22028,22028,无法形容,10,0.0641
22077,22077,倒霉,10,0.0301
22089,22089,挨宰,10,0.0342
22128,22128,根本无法,10,0.0196
22185,22185,太咸,10,0.0691
