,Unnamed: 0,word,count,情感分值
673,673,不好,311,0.0783
746,746,不算,282,0.0799
1267,1267,不太,172,0.0995
1376,1376,不行,163,0.0973
1446,1446,真是太,155,0.0389
1563,1563,失望,143,0.0445
1666,1666,不腻,134,0.0671
1959,1959,缺点,113,0.0797
1963,1963,油费,112,0.0572
2086,2086,黑猪,106,0.0525
2445,2445,怀疑,89,0.0993
2470,2470,无聊,88,0.062
2553,2553,垃圾,85,0.0543
2616,2616,太贵,82,0.0442
2665,2665,太晒,81,0.0908
2747,2747,咸蛋,78,0.0227
2792,2792,底线,77,0.0822
2863,2863,不选三非,75,0.0496
2864,2864,不选四非,75,0.0496
3415,3415,缓慢,61,0.0988
3527,3527,不失,59,0.0507
3773,3773,太小,55,0.0459
4053,4053,不论是,51,0.0685
4143,4143,不缺,50,0.0304
4206,4206,亏了,49,0.0562
4261,4261,破旧,48,0.0871
4378,4378,粗糙,46,0.0604
4632,4632,千万别,43,0.0645
4695,4695,退款,43,0.0886
4697,4697,啥意思,43,0.0976
4739,4739,避寒,42,0.0626
4896,4896,不小,40,0.0877
4917,4917,没多久,40,0.0781
4920,4920,偏贵,40,0.0902
5039,5039,太累,39,0.0493
5119,5119,难吃,38,0.09
5127,5127,发抖,38,0.0888
5134,5134,差距,38,0.0924
5356,5356,教训,36,0.0854
5399,5399,吐槽,36,0.0795
5619,5619,混乱,34,0.0597
5637,5637,缺少,34,0.0961
5747,5747,缺乏,33,0.0625
6036,6036,不像话,31,0.0411
6060,6060,无感,31,0.0979
6077,6077,太少,31,0.0305
6150,6150,被贬,30,0.0726
6233,6233,算不上,30,0.0267
6315,6315,浪费时间,29,0.0758
6508,6508,对不起,28,0.098
6556,6556,乍一看,28,0.0749
6573,6573,压根,28,0.0801
6585,6585,软烂,28,0.0119
6780,6780,模糊,27,0.0761
6832,6832,不出,26,0.0766
6865,6865,不太会,26,0.096
6955,6955,劣质,26,0.0856
6990,6990,干嘛,26,0.0844
7186,7186,没意思,25,0.0874
7204,7204,略贵,25,0.0851
7215,7215,拉低,25,0.0771
7258,7258,失败,24,0.0704
7362,7362,睁不开,24,0.0249
7441,7441,粗发,24,0.091
7552,7552,忽悠,23,0.0966
7700,7700,跟不上,23,0.0549
7715,7715,不辞,23,0.0998
7730,7730,无趣,22,0.0586
7816,7816,不冷不热,22,0.0326
7879,7879,干什么,22,0.0851
7884,7884,不一会,22,0.096
7904,7904,解决不了,22,0.0679
7907,7907,数不尽,22,0.0455
7942,7942,生气,22,0.098
7995,7995,臭油,22,0.0208
8059,8059,偏小,21,0.0879
8186,8186,崩溃,21,0.0969
8187,8187,咸咸的,21,0.0104
8261,8261,干烧,21,0.072
8303,8303,稍差,21,0.0232
8315,8315,老鸡,21,0.0827
8344,8344,没敢,20,0.0879
8365,8365,差钱,20,0.0242
8403,8403,不规则,20,0.0785
8434,8434,靠海吃海,20,0.092
8522,8522,恋旧,20,0.0638
8563,8563,太多太多,20,0.0899
8642,8642,长途汽车站,20,0.096
8659,8659,过大,20,0.0978
8702,8702,相差不多,20,0.0145
8740,8740,浪头,19,0.0981
8746,8746,上当,19,0.0536
8799,8799,一拖再拖,19,0.0558
8913,8913,短秤,19,0.0883
9002,9002,太夫人,19,0.0787
9050,9050,太低,19,0.0228
9118,9118,万变不离其宗,19,0.0971
9207,9207,赶慢,18,0.0629
9210,9210,拉肚子,18,0.0527
9307,9307,软滑,18,0.0946
9317,9317,玩意儿,18,0.0539
9342,9342,声读,18,0.0873
9365,9365,被困,18,0.0316
9376,9376,家长里短,18,0.067
