,Unnamed: 0,word,count,情感分值
11,11,喜欢,3584,0.9631
15,15,适合,3247,0.9017
20,20,推荐,2936,0.9397
28,28,不错,2476,0.9658
66,66,好吃,1561,0.9479
70,70,生活,1537,0.9441
81,81,享受,1404,0.959
93,93,新鲜,1258,0.9249
101,101,自由,1192,0.946
108,108,海风,1169,0.9304
121,121,骑楼,1118,0.9162
125,125,鹿回头,1087,0.9966
141,141,日落,974,0.9582
142,142,美丽,973,0.9768
158,158,值得,880,0.9538
159,159,美好,869,0.9662
162,162,终于,862,0.947
163,163,性价比,860,0.9024
168,168,天堂,842,0.9401
172,172,浪漫,821,0.9431
184,184,舒服,792,0.9578
185,185,好看,791,0.9727
189,189,三亚旅游,784,0.9494
198,198,美味,779,0.9513
199,199,天涯海角,778,0.9004
206,206,开心,757,0.9628
212,212,阳台,731,0.9104
219,219,错过,706,0.989
222,222,拥有,691,0.9329
234,234,珊瑚,673,0.9145
237,237,时光,670,0.912
239,239,美景,667,0.908
251,251,惬意,646,0.9716
256,256,吃住行,642,0.9757
264,264,最美,624,0.9818
280,280,舒适,596,0.9583
292,292,海浪,581,0.9761
301,301,大片,568,0.9277
310,310,宝宝,561,0.9184
320,320,香味,549,0.9037
328,328,喜来登,542,0.9338
333,333,温馨,538,0.9628
341,341,安静,530,0.9458
347,347,充满,518,0.9098
352,352,灯塔,516,0.9371
370,370,温暖,498,0.9775
382,382,优质,487,0.94
391,391,清澈,477,0.9173
399,399,期待,467,0.9477
406,406,漂亮,460,0.968
411,411,快乐,455,0.9659
419,419,可爱,449,0.9819
421,421,雨林,448,0.9146
430,430,山顶,442,0.9584
432,432,最佳,442,0.9516
434,434,划算,440,0.9476
440,440,刺激,437,0.9294
450,450,省心,431,0.9763
461,461,椰树,423,0.9216
462,462,惊喜,422,0.9789
464,464,积分,422,0.907
471,471,独特,417,0.9216
489,489,正好,404,0.9399
496,496,浓郁,399,0.9047
509,509,人生,390,0.972
520,520,眼前,385,0.9118
531,531,清新,379,0.9541
536,536,日出,376,0.9096
537,537,细腻,376,0.9613
542,542,度假区,372,0.9134
554,554,分享,366,0.919
560,560,逛逛,362,0.9051
563,563,嘻嘻,362,0.9696
567,567,浮潜,361,0.9244
573,573,团游,358,0.9256
575,575,好玩,356,0.9403
588,588,火山,349,0.9336
592,592,十年,345,0.927
595,595,放松,344,0.9574
599,599,功效,343,0.9007
605,605,哈哈哈,338,0.9981
619,619,漫步,334,0.9431
623,623,淡季,332,0.9012
626,626,观光车,331,0.9396
629,629,梦想,331,0.9771
631,631,美的,330,0.9705
636,636,源于,328,0.9436
648,648,经典,322,0.9806
652,652,下午茶,319,0.9404
653,653,精致,319,0.9447
659,659,满满的,318,0.9602
670,670,美美,314,0.9734
674,674,身体,311,0.9453
678,678,闺蜜,310,0.9231
681,681,一条龙,309,0.9132
690,690,贴心,306,0.9639
704,704,正宗,301,0.9266
717,717,依旧,294,0.9206
724,724,向往,292,0.9616
725,725,鲜嫩,291,0.9144
726,726,兴隆,291,0.9601
732,732,欢乐,288,0.9409
736,736,幸福,286,0.9755
752,752,很快,281,0.9363
759,759,收获,279,0.9105
765,765,足够,276,0.9489
767,767,植物,276,0.9091
771,771,轻松,275,0.9671
773,773,世界级,275,0.9381
782,782,鲜美,270,0.9449
795,795,实惠,267,0.9198
799,799,感谢,266,0.9684
808,808,齐全,264,0.921
809,809,入味,264,0.9361
815,815,放心,263,0.966
830,830,很棒,257,0.9976
837,837,魅力,255,0.9643
849,849,未来,251,0.9229
856,856,精彩,248,0.943
887,887,鲜甜,241,0.9004
896,896,还会,238,0.9293
925,925,十足,231,0.9484
932,932,非常适合,229,0.9566
938,938,爱情,229,0.9472
944,944,浪花,227,0.9381
945,945,成功,227,0.9086
946,946,温柔,227,0.9119
955,955,时尚,224,0.9434
962,962,人文,222,0.9268
969,969,长大,219,0.9461
980,980,顺利,217,0.9612
987,987,忍不住,216,0.9022
1007,1007,超大,212,0.9096
1016,1016,兴奋,211,0.9459
1027,1027,地道,209,0.9362
1031,1031,奢华,208,0.9555
1040,1040,首选,207,0.9716
1050,1050,必点,205,0.9685
1055,1055,心中,205,0.9019
1058,1058,神秘,205,0.9198
1060,1060,支持,204,0.9816
1072,1072,五星,202,0.9915
1077,1077,婚纱照,201,0.9238
1085,1085,好喝,199,0.9799
1104,1104,清爽,196,0.9323
1113,1113,生长,194,0.945
1134,1134,音乐,191,0.9096
1139,1139,便利,190,0.9236
1140,1140,过瘾,190,0.9493
1143,1143,开阔,190,0.9247
1174,1174,正确,184,0.945
1185,1185,繁华,183,0.9013
1196,1196,宽敞,181,0.9677
1197,1197,呼吸,181,0.905
1198,1198,陪伴,181,0.9806
1213,1213,满意,179,0.9628
1232,1232,喜爱,177,0.9748
1240,1240,哥哥,176,0.9732
1241,1241,惊艳,176,0.9771
1242,1242,颜值,176,0.9646
1247,1247,醒来,175,0.9473
1250,1250,清香,174,0.9423
1253,1253,吸收,174,0.9009
1270,1270,好评,172,0.9582
1282,1282,愉快,171,0.939
1291,1291,宁静,169,0.9492
1299,1299,香甜,168,0.9657
1305,1305,迷人,168,0.9855
1314,1314,丰盛,167,0.9399
1325,1325,摆渡,167,0.9374
1332,1332,鸟巢,166,0.9409
1342,1342,午后,165,0.9692
1354,1354,符合,164,0.9303
1363,1363,互动,164,0.9031
1381,1381,愉悦,163,0.9669
1386,1386,外观,162,0.945
1399,1399,优雅,160,0.9681
1400,1400,特色美食,160,0.9832
1407,1407,体力,159,0.9522
1427,1427,必备,157,0.9408
1430,1430,大气,156,0.9354
1431,1431,阴天,156,0.9391
1439,1439,精华,155,0.9263
1461,1461,柔软,153,0.9506
1468,1468,文艺,152,0.902
1476,1476,灵魂,152,0.9438
1482,1482,淡淡的,151,0.9489
1486,1486,很近,151,0.9432
1491,1491,杭州,151,0.9011
1493,1493,海钓,150,0.9226
1504,1504,烦恼,149,0.9127
1519,1519,震撼,148,0.9872
1520,1520,居住,148,0.9272
1532,1532,纪念,146,0.9121
1538,1538,绿植,146,0.9029
1542,1542,吃喝玩乐,145,0.9098
1546,1546,激动,145,0.9892
1551,1551,茂密,144,0.9367
1567,1567,火爆,143,0.9393
1572,1572,面朝,143,0.925
1581,1581,爱上,142,0.9902
1582,1582,治愈,142,0.9633
1590,1590,全新,141,0.9356
1600,1600,酥脆,140,0.9378
1605,1605,深刻,140,0.9438
1621,1621,徒步,138,0.9056
1629,1629,地质公园,138,0.9545
1638,1638,小院,137,0.9136
1649,1649,到位,135,0.9378
1658,1658,饱满,135,0.9622
1677,1677,绝佳,133,0.9505
1687,1687,高档,133,0.9081
1692,1692,青春,132,0.9624
1696,1696,鲜花,132,0.9646
1700,1700,亮点,132,0.9355
1709,1709,兰花,131,0.9372
1714,1714,度假胜地,131,0.9869
1715,1715,唯美,131,0.9607
1720,1720,充足,130,0.9194
1737,1737,萌哒,129,0.9997
1748,1748,特有,129,0.9005
1749,1749,早起,129,0.9091
1751,1751,动感,129,0.9544
1759,1759,好几个,128,0.931
1763,1763,哈哈哈哈,128,0.9994
1767,1767,欧舒丹,128,0.9321
1771,1771,园林,127,0.9495
1778,1778,优美,127,0.9588
1779,1779,想念,127,0.9674
1784,1784,无需,126,0.9448
1789,1789,浓浓的,126,0.9437
1793,1793,强烈推荐,125,0.9199
1803,1803,订好,125,0.9322
1812,1812,小时候,124,0.9089
1822,1822,黄昏,123,0.944
1837,1837,香辣,122,0.9876
1840,1840,超多,122,0.9396
1843,1843,尽头,121,0.9615
1846,1846,专属,121,0.9072
1860,1860,简约,120,0.9164
1868,1868,摇曳,120,0.9086
1874,1874,肥美,119,0.9481
1882,1882,尽收眼底,119,0.9216
1884,1884,始于,119,0.9314
1892,1892,精品,118,0.937
1893,1893,一遍,118,0.9492
1899,1899,外形,118,0.9532
1901,1901,茶叶店,118,0.9023
1909,1909,知识,117,0.9151
1913,1913,充裕,117,0.9167
1917,1917,心而生,117,0.9948
1958,1958,原汁原味,113,0.9896
1960,1960,各大,113,0.904
1967,1967,整洁,112,0.931
1968,1968,奔跑,112,0.9529
1970,1970,吃饱喝足,112,0.9145
1978,1978,脚步,112,0.9141
1987,1987,很漂亮,111,0.987
1991,1991,微风,111,0.9257
1993,1993,祖国,111,0.9529
1995,1995,成长,111,0.9392
1998,1998,各式各样,111,0.9063
2017,2017,停不下来,110,0.9792
2020,2020,传承,110,0.9105
2032,2032,邮轮,109,0.905
2044,2044,热带植物,108,0.9903
2058,2058,迫不及待,107,0.9539
2081,2081,足以,106,0.9015
2085,2085,极致,106,0.9062
2091,2091,初心,106,0.9711
2095,2095,开放式,105,0.9243
2101,2101,带给,105,0.9117
2107,2107,智慧,105,0.9762
2112,2112,热爱,104,0.9422
2115,2115,合影,104,0.9194
2117,2117,深度,104,0.927
2119,2119,很长,104,0.92
2137,2137,精美,103,0.9139
2148,2148,鸡尾酒,102,0.9007
2149,2149,海天一色,102,0.9352
2156,2156,美照,102,0.9708
2164,2164,阳光明媚,102,0.995
2173,2173,美妙,101,0.9891
2178,2178,风土人情,101,0.9356
2183,2183,目标,101,0.916
2185,2185,舞台,100,0.9328
2205,2205,品牌优势,100,0.9838
2209,2209,那一刻,99,0.9388
2210,2210,应有尽有,99,0.9507
2217,2217,极好,99,0.9816
2227,2227,一组,98,0.9041
2230,2230,最具,98,0.9149
2242,2242,去逛,98,0.9183
2248,2248,红枣,97,0.913
2252,2252,平静,97,0.9323
2268,2268,一流,96,0.9772
2274,2274,适宜,96,0.946
2289,2289,必吃,95,0.9956
2313,2313,归来,95,0.9473
2325,2325,一应俱全,94,0.9695
2328,2328,水上运动,94,0.9635
2334,2334,精灵,94,0.9803
2338,2338,回味,94,0.9135
2355,2355,柔和,93,0.9341
2372,2372,幸运,92,0.9745
2382,2382,最爱,92,0.9864
2399,2399,忙碌,91,0.9319
2400,2400,历史悠久,91,0.9789
2410,2410,好去处,90,0.9643
2429,2429,映入眼帘,89,0.9455
2434,2434,不二,89,0.9249
2446,2446,放飞,89,0.916
2452,2452,金黄,88,0.9219
2477,2477,极高,87,0.9442
2485,2485,甜甜的,87,0.9847
2486,2486,氧吧,87,0.9532
2487,2487,醇厚,87,0.9694
2494,2494,压力,87,0.9275
2503,2503,宽阔,86,0.9302
2513,2513,岁月,86,0.9181
2516,2516,清晰,86,0.9349
2519,2519,极具,86,0.9468
2527,2527,优秀,86,0.9745
2528,2528,交流,86,0.9166
2564,2564,云层,84,0.9066
2599,2599,心灵,83,0.9381
2625,2625,愿望,82,0.9762
2627,2627,适中,82,0.9627
2638,2638,最合适,82,0.9307
2649,2649,羡慕,81,0.9895
2655,2655,美不胜收,81,0.9521
2657,2657,明媚,81,0.9163
2658,2658,加油,81,0.9679
2686,2686,拥抱,80,0.9476
2691,2691,优点,80,0.9949
2694,2694,多样,80,0.9078
2700,2700,控以,80,0.908
2735,2735,号岛,78,0.9461
2738,2738,心动,78,0.9804
2739,2739,航站楼,78,0.9017
2745,2745,私密,78,0.9091
2756,2756,深受,78,0.9458
2804,2804,动人,76,0.9668
2812,2812,置身,76,0.9277
2819,2819,信赖,76,0.9291
2820,2820,暖心,76,0.9741
2821,2821,旅游团,76,0.9099
2827,2827,书屋,75,0.9188
2854,2854,落日余晖,75,0.9899
2870,2870,民国,74,0.9269
2872,2872,感慨,74,0.9148
2884,2884,超高,74,0.9345
2891,2891,回味无穷,74,0.9769
2911,2911,勇敢,73,0.908
2943,2943,热心,72,0.9361
2963,2963,纯净,72,0.9689
2980,2980,别致,71,0.9414
2986,2986,顶级,71,0.964
2994,2994,外表,71,0.9162
2995,2995,中有,71,0.9024
3004,3004,异地,70,0.9297
3009,3009,偶遇,70,0.9595
3014,3014,周到,70,0.9295
3015,3015,童话,70,0.9432
3021,3021,便捷,70,0.9259
3047,3047,心底,70,0.923
3055,3055,每到,69,0.9217
3063,3063,流连忘返,69,0.961
3068,3068,皇家,69,0.9052
3088,3088,心暖,69,0.9984
3105,3105,情怀,68,0.9372
3117,3117,照顾,68,0.9128
3144,3144,专注,67,0.9513
3154,3154,很赞,67,0.9908
3161,3161,上线,67,0.9352
3163,3163,平稳,67,0.977
3177,3177,订票,66,0.9347
3181,3181,稳定,66,0.9386
3191,3191,辛苦,66,0.9193
3218,3218,点赞,66,0.9967
3229,3229,带你去,65,0.9687
3239,3239,静静的,65,0.988
3241,3241,特色小吃,65,0.9322
3246,3246,细嫩,65,0.9147
3258,3258,力量,65,0.9594
3279,3279,整齐,64,0.9413
3285,3285,厚重,64,0.9317
3286,3286,华灯初上,64,0.9862
3292,3292,三大,64,0.9039
3331,3331,寓意,63,0.9014
3340,3340,落叶,63,0.9104
3344,3344,灵活,63,0.936
3360,3360,细心,62,0.9167
3374,3374,日落时分,62,0.9881
3375,3375,巧妙,62,0.955
3378,3378,爽滑,62,0.9886
3381,3381,绚烂,62,0.9575
3387,3387,一年四季,62,0.9748
3393,3393,欢快,62,0.9327
3395,3395,感动,62,0.9937
3401,3401,真诚,62,0.9493
3426,3426,珍惜,61,0.9057
3427,3427,一秒,61,0.9001
3430,3430,过冬,61,0.9047
3437,3437,一站式,61,0.9725
3442,3442,背影,61,0.9318
3455,3455,茶暖心,61,0.9503
3457,3457,新家,61,0.9417
3461,3461,自然风光,60,0.9096
3462,3462,琳琅满目,60,0.9118
3463,3463,畅快,60,0.9141
3484,3484,奢侈,60,0.9719
3490,3490,总会,60,0.9129
3497,3497,优越,60,0.9397
3503,3503,寒假,60,0.909
3511,3511,挺不错,59,0.9702
3516,3516,富裕,59,0.9107
3517,3517,发达,59,0.9203
3539,3539,纯正,59,0.9395
3555,3555,气派,59,0.9518
3570,3570,新晋,58,0.9376
3574,3574,之选,58,0.9037
3581,3581,人性化,58,0.9415
