,name,time,content,transmit,comment,praise,emotion_score
189,每日数码科技杂谈,04-09,广州疫情严重，才解封半个月又重来，涉及9个人区！当晚连夜紧急核酸，一男子排队的举动亮了！,0,0,7,0.3337
191,一条沙发虫,04-09,建议你们公开发布消息，要写“市人民政府”，而不是写“市政府”。,0,1,0,0.076
193,今日最新闻官方微博,04-09,4月9日广州市疫情防控新闻发布会广州市政府新闻办于4月9日1:0，召开广州市疫情防控新闻发布会。邀请广州市卫健委、广州市商务局、白云区、广州市疾控中心相关负责同志通报广州市新冠肺炎疫情防控相关情况。（来源：珠江权威发布 广东台记者：林雪映 摄像：谢田子）时间：4月9日上午1:0 ​,0,1,4,0.0086
194,小光小光暖暖内含光,04-09,我真的没有想到，上海会这样子。我想的是以后读完博就去上海或者武汉，最后不考虑饮食习惯，去广州。,1,2,1,0.6399
195,南方都市报,04-09,广州市召开疫情防控新闻发布会广州市人民政府新闻办公室于4月9日1:0，在广州市新闻发布厅召开广州市疫情防控新闻发布会（202年总第36场）。将邀请市卫健委、市商务局、白云区、市疾控中心相关负责同志通报广州市新冠肺炎疫情防控相关情况。,0,0,4,0.0189
196,魔西倩,04-09,求救,4908,4510,38001,0.5343
197,海口直播12345,04-09,关注海口疫情防控,0,0,0,0.7155
198,河北高速96122,04-09,京哈高速(G1):,0,0,0,0.6927
199,数码柯机,04-09,荣耀官宣Earbuds 3 Pro真无线耳机，号称“一部有「温度」的科技产品”。机头部位增加了一个测温模块，可以通贴合用户耳朵实现测温，在疫情反复的当下很适合,0,0,0,0.3498
200,南粤女声-,04-09,粤姐话你知,0,0,0,0.6004
201,达州发布,04-09,注意！,0,0,1,0.3641
202,上海地铁shmetro,04-09,地铁疫情防控交流专栏为配合疫情防控工作需要，根据市疫情防控形势和轨道交通客流实际情况：202年4月5日起至另有通知时止，上海轨道交通6号线、16号线运营时段为7:0—20:0，其他线路仍暂停运营。停运线路车站不办理进出站及换乘业务，提请市民乘客理解和支持。期间，有关于上海地铁的意见建议 ​,0,1,1,0.4715
203,京报网_北京日报官方网站,04-09,10余人奋战，丰台区鹏润家园保障封控管控区居民生活疫情就是命令，4月7日深夜，北京市丰台区太平桥街道快速响应、统筹部署鹏润家园小区疫情防控工作，连夜成立8个工作组，细化为综合协调、安全保障、核酸检测、生活服务、垃圾清运、物资保障、政策解答、人员转运等内容，抽调街道、社区干部、派出 ​,0,0,0,0.9194
205,南昌经济技术开发区发布,04-09,英雄城同心战疫,0,0,0,0.6309
206,中国移动,04-09,战疫情“移”起行,0,0,0,0.4104
207,小红花测评,04-09,夏季如何给宝防晒,0,0,0,0.8795
208,南昌新建发布,04-09,新建动态,0,0,0,0.7828
209,北京大兴,04-09,小兴播报,0,0,1,0.431
210,中天電視亞洲台FUN,04-09,大甲妈遶境起驾了！疫情中信徒热情不减 小镇宛如不夜城大甲镇澜宫（8日）深夜展开9天8夜遶境之旅，晚间庙方施放大型天灯，挂满80个祈福卡冉升空祈求国泰民安；深夜1时一到，由马英九、台中市副市长黄国荣、镇澜宫董事长颜清标扶轿，大批信徒双手合十恭送妈祖出城，大甲小镇城宛如不夜城。 ​,0,0,0,0.9872
212,广西新闻网,04-09,最新通知！,0,0,0,0.82
213,鞍山日报,04-09,辽宁好网民抗疫在行动,0,0,0,0.9738
214,宿迁之声,04-09,微广播,0,0,0,0.3869
215,中国吉林网,04-09,战疫攻坚进行时,0,0,0,0.3379
