,name,time,content,transmit,comment,praise,emotion_score
230,扬州交通广播,04-09,清美公司回应将礼包中冷鲜肉替换为午餐肉：因小区内配送时间过长，冷鲜肉不允许断冷链配送上海市消保委4月9日消息，昨日有多名消费者向上海市消保委反映清美公司团购套餐存在问题。清美公司4月9日回应称，关于部分消费者反映清美生鲜大礼包出现冷鲜肉被午餐肉替换的问题，因近期疫情原因，小区内配 ​,0,0,0,0.0077
231,邊邊staylo,04-09,将逃避扰乱疫情防控的称之为英雄？,0,0,0,0.0719
233,1034生活广播,04-09,保护自己 保卫城市-疫情防控 法库在行动：吉祥街道边门社区贴心服务送上门 居家隔离也温暖 ,0,0,0,0.9966
234,江南刘捕头,04-09,上海：已建成方舱医院10多个 床位数达16万多据上海4月9日疫情防控工作新闻发布会介绍，目前，全市已有8个定点医院，床位数80余张，今明两天还有一批定点医院可以投入使用。已建成方舱医院10多个，床位数16万多。后续将根据疫情形势，进一步做好定点医院和方舱医院的资源储备。—啧，需要多 ​,1,0,0,0.7026
235,怡然自得_andy,04-09,刚看完了,3,17,17,0.295
236,达尔文的猫和狗,04-09,上海封城一周，看疫情之下，我和宠物的物资分别还剩多少,2,21,71,0.7936
237,布吉岛优秀代表,04-09,上海新增本土确诊1015例无症状2609例,0,0,15,0.6641
238,建德发布,04-09,17抗疫,0,0,0,0.691
239,一只特立独行的狗___,04-09,已经快一年没回家看外婆了,0,0,0,0.8341
240,张晓楠,04-09,知止而后有定 定而后能静 静而后能安 安而后能虑 虑而后能得—《大学》,0,1,1,0.97
241,健康广州,04-09,周知,8,14,37,0.7635
242,王俊凯的strawberry,04-09,@hyq,0,24,15,0.8633
243,敲敲敲敲吖,04-09,居家隔离第七天啦,0,0,0,0.7339
244,扎哈克,04-09,上海疫情,1,1,2,0.632
245,法职_庞九林律师,04-09,这波新冠疫情还要持续多久,0,1,2,0.0545
247,肉包里面全是菜,04-09,广州 疫情,0,0,1,0.6557
248,香港沉默之聲,04-09,我们观察到白云区广园新村一带市况井然，请大家不信谣、不传谣，严格按照政府防控要求，不为国家添乱，广州加油！💪🏻,1,0,15,0.1964
249,观察者网,04-09,上海累计新冠感染人数前五位：浦东、闵行、徐汇、黄浦和嘉定4月9日上午10:0，上海举行新冠肺炎疫情防控工作新闻发布会。上海市副市长、市疫情防控工作领导小组副组长宗明介绍，3月1日以来，我市已持续开展了多轮次核酸筛查或抗原检测。自4月4日以来，截至4月8日24时，累计筛查约9527万人次，已完 ​,6,16,23,0.8848
253,水泊武松,04-09,最新吉林省疫情截止到4月8日24时，全省新增治愈出院确诊病例1563例，其中长春市12例、吉林市343例、四平市5例、延边州2例、白城市1例；新增解除隔离医学观察无症状感染者860例，其中长春市569例、吉林市289例、延边州1例、辽源市1例。长春市疫情是吉林省的重中之中！ ​,0,0,0,0.991
254,果然视频,04-09,4月8日济南新增本土病例情况,0,1,0,0.8094
255,河北新闻广播,04-09,关注河北疫情,0,0,1,0.5082
256,信息时报,04-09,即日起，广园客运站、三元里客运招呼站暂停营运9日上午，记者从广州市交通运输部门获悉，根据《广州市新型冠状病毒肺炎疫情防控指挥部通告》（第32号）文件要求，为配合做好疫情防控工作，自4月9日起，广园客运站、三元里客运招呼站暂时停运，具体恢复营运时间请留意客运站公众号信息。,0,0,0,0.1064
257,深圳小天,04-09,广州市民连夜排队有序做核酸,3,22,116,0.887
258,China_達西先生,04-09,上海新增本土确诊1015例无症状2609例,0,3,2,0.6641
259,山西城市频道,04-09,直击山西疫情第一线,0,1,2,0.7886
260,每日数码科技杂谈,04-09,现在疫情真的是太狡猾了，杭州、深圳、上海…广州，似乎将各大城市都搞了一个轮回，而且是一个又一个的轮回，这一点让人属实有点疑惑！,0,1,0,0.4382
261,泥滴岁王,04-09,你mua的～疫情再不结束，我朋友要把月老办事所做大做强发家致富了,0,1,18,0.2584
262,大众日报,04-09,济南市卫生健康委信息发布（202年4月8日0—24时）,0,0,0,0.3149
264,lijia2021heng,04-09,友人说：关注其他同类的命运并为之呐喊、伸出援手，这是人和动物的区别；公民自治、自觉、自发形成互助组织，这是现代文明社会的样子。面对无差别攻击的疫情，你可以质疑上海探索“躺平”，而我认为它是第一个站着迎敌的。 ​,0,0,1,0.9543
265,广州交通电台,04-09,目前，广州地铁二号线/八号线部分车站停止对外服务4月9日运营时间起，,0,0,4,0.4003
266,爱喝奶茶的桃小妖,04-09,上海新增本土确诊1015例无症状2609例,0,0,10,0.6641
267,新浪广东,04-09,广州疫情,1,10,5,0.662
268,广州白云发布,04-09,致全区广大共产党员的动员令,0,0,0,0.8422
269,是u洗不是哟西,04-09,广州疫情,0,2,10,0.662
270,水京田心,04-09,这疫情真的好严重，就不出门添乱啦，等🐼买菜回家做饭。 ​,0,3,1,0.2238
271,沈翰之,04-09,等疫情结束后去吃顿火锅吧,30,30,29,0.3108
272,中国大学生在线,04-09,共抗疫情爱国力行,0,0,1,0.6598
274,习五一,04-09,上海疫情,5,15,65,0.632
275,龙卟叕,04-09,哈，现在的生活状态就是纯搞笑：出门折返的最大原因就是忘拿口罩，和人接触最担心的是成为密接，约好去哪里玩第一个问题是两码信息是否会变，抖音里面收藏了无数个旅游胜地命名都是疫情结束了再去，想留点纪念拍合照回头翻相册都戴着口罩😷。这么好的天气休息四天，两天市内游，两天室内游,0,0,0,0.9858
276,八字比你多,04-09,上海新增本土确诊1015例无症状2609例,0,0,19,0.6641
277,鲁网潍坊,04-09,潍坊疫情,0,0,0,0.5213
278,湛泸剑,04-09,丽水疫情,0,0,0,0.4145
279,青季_长醉不愿醒,04-09,突然想起了疫情刚开始的时候去超市一篮买口罩再寄给国内朋友的事儿。当时挺怕被超市和邮局的人说什么，但也什么都没被说。两三次后觉得不能再薅人家库存了就没再买了，我自己也没提前囤。后来有段时间这边口罩跟不上，大家好几个月里都小心翼搞库存等补货。,0,0,0,0.1569
281,不知道叫啥Z,04-09,上海新增本土确诊1015例无症状2609例,0,2,3,0.6641
282,大孫旭,04-09,上海新增本土确诊1015例无症状2609例,0,0,2,0.6641
283,JK日常,04-09,无关jk请问大家起初是怎么接受和父母分别的呢？ 由于疫情影响妈换了一份工作，虽然在本地可是需要住宿，一次可能要一个半月都不能回家，回来了也只能待一个星期左右。我真的非常舍不得妈，这两天她还没有去我就已经在偷哭了。妈在决定之前其实也有问过我，但我们家是那种很含蓄的氛围 ​,0,6,2,0.1346
284,洋浦政务,04-09,三亚新增确诊病例2例、无症状感染者1例，无症状感染者转归确诊病例1例,0,0,0,0.9027
285,兔叽的奥利奥扭不开,04-09,还是我大成都厉害,0,1,3,0.6106
286,广州交通,04-09,广州交通快讯,47,3,14,0.8355
287,山西城市频道,04-09,山西新增本土6例无症状5例,0,1,5,0.6649
288,植先生,04-09,上海新增本土确诊1015例无症状2609例,7,7,50,0.6641
289,rickyaoyao,04-09,上海健康码崩了,0,0,3,0.6607
290,上海锵锵和鸣Phoenix,04-09,上海消息,0,0,0,0.6457
291,4A广告网,04-09,联名狂魔五菱，又对迪士尼下手了说起跨界营销最出圈的汽车品牌，绝对绕不开｢五菱｣。疫情初期口罩短缺，五菱马上改造生产线生产口罩、捐赠物资，获得大众拍手称赞。地摊经济蔚然成风，五菱迅速推出豪华地摊车，成为诸多年轻人追捧的摆摊神器。螺蛳粉火遍全国，五菱跨界上线螺蛳粉界，在端 ​,29,10,30,0.9874
292,元气少女平儿,04-09,人不傻X枉少年,0,1,0,0.1441
293,ba哥专用,04-09,疫情期间，上海人都在居家隔离，彭于晏所在的小区夜间开演唱会，大家都在窗前呼喊解闷。有业主大喊彭于晏，结果彭于晏还回应道：准备好了吗！,246,191,2231,0.1326
295,KomorebiLam,04-09,这个在玲姐腾哥背后的小花一闪而过的小花 都能想象到现场这一期大圣放空有多可爱了,1,0,20,0.9854
296,上海消防,04-09,疫情防控期间公共场所消毒要点公共场所人流量大，是传染病传播和交叉感染的最佳场所，因此在疫情期间，一定要注意防疫消毒工作。关于公共场所的消毒要点，戳图学习~,1,0,0,0.9457
297,三湘都市报,04-09,湖南大学即将解封,59,137,629,0.4121
298,珍珠奶绿去冰全糖,04-09,广州 疫情,0,0,1,0.6557
299,晨光粉丝团,04-09,爆笑宅家行为图鉴，晨妹为你在线揭秘！,0,1,1,0.9547
300,红网,04-09,长沙岳麓山风景名胜区麓山景区管理处发布麓山景区开放东门通告广大市民朋友们、各位游客：为进一步做好新冠肺炎疫情防控工作，切实保障人民群众生命健康，根据上级疫情防控指挥部统一部署，麓山景区有序开放，实行网上预约、柔性管理，现将有关情况通告如下：,1,0,0,0.9268
302,齐鲁晚报,04-09,4月8日济南新增本土病例情况,3,6,4,0.8094
303,正宗啥都没了,04-09,广州白云区开展全员核酸检测,0,5,0,0.5864
304,蒙大拿自在哥,04-09,武汉疫情之后，不断变异的新冠病毒似乎非常聪明，与既往的流行性呼吸类病毒不同，定期变异升版，越来越难以发现且感染力极强，延时加重病症诱发基础性病症转危，诡异的是老年人易中招。而多年前一些以合作科研名义的医卫组织提取过大国老年人的基因类医学样本（局座张召忠当年曾发出警告）。,0,0,0,0.0696
305,想到你就满腔蜜意哈哈哈,04-09,上海疫情,1,0,3,0.632
306,雷希颖,04-09,求有一些“高贵”的上海人，你们就配合一下吧,0,8,11,0.5353
307,赵鹏飞,04-09,广州 疫情,0,2,7,0.6557
308,花开自在花开,04-09,听说魔都隔离人员被拉进本市核心区某酒店隔离，周边居民极度恐慌，连门窗都不敢开。,0,0,0,0.0227
309,万花谷里的子衿花,04-09,我真的会恨上海疫情外溢和不作为,0,0,2,0.5254
310,沐月沁光,04-09,长春新增本土确诊150例,0,0,5,0.8869
311,狼狼狼狼狼狼狼七匹狼,04-09,国有五大行回应因疫情不能按时还房贷问题,0,0,0,0.095
312,卧佛东庄,04-09,上海防疫艰难时期，教师自发组织留学生日派对似乎学校就没有责任啦？留学生办公室道歉一下教师就没有事儿啦？,0,0,1,0.362
313,第一帮帮团,04-09,逾期交房后承诺一再落空,0,0,0,0.0684
314,老抛,04-09,吉林市本轮疫情的数据统计：每日新增阳性（当日确诊+当日无症状-当日无症状转确诊），累计阳性病例。 202.03.02-202.04.08（病例统计日期， 比公布日期晚一天）吉林市的社区传播从开始就很猛，野生病例统计意义不大。吉林市昨天宣布社会面清零，见到曙光了。,0,0,0,0.7248
316,石玥十,04-09,上海这次疫情丑态百出，是网络发达消息传播更加快速的原因其实每个城市这样的情况都大同小异？还是就是这座城市做的尤其的不好呢？柯基因为主人被拉去隔离了就被乱棒打死，只有本地人可以收到发放的菜，还有市民饿晕在路上，物价奇高外卖几个小时都没人接单，整个城市乱套好像末世大逃杀一样。,0,0,1,0.0103
317,盐盐是个小帅锅,04-09,上海新增本土确诊1015例无症状2609例,0,0,2,0.6641
318,克总评车,04-09,据了解：隔壁小区昨天晚上有阳性出来遛狗，结果群情激愤，警察过来装摄像头门禁。,0,0,0,0.1711
319,戟囂,04-09,有时候深入骨髓的观念外化到行为语言习惯挺下头的,0,0,1,0.7232
321,六安发布,04-09,叶露中主持召开全市疫情应急处置调度会4月8日晚，市委书记叶露中主持召开全市疫情应急处置调度会，就当前疫情防控各项重点工作进行部署。省政府副秘书长李必方出席会议。市领导王忠、李敏、刘洪洁等参加会议。会议以电视电话会议形式召开，金安区、裕安区在分会场收听收看会议。,0,1,1,0.8084
322,旅行者喵号,04-09,广州疫情,0,0,11,0.662
323,颍州晚报,04-09,安徽抗疫,0,0,0,0.7438
324,每日数码科技杂谈,04-09,上海疫情通报出来了。,0,0,0,0.4563
325,ffffflyice_,04-09,上海疫情,0,0,3,0.632
326,一个芝士分子子,04-09,广州疫情,0,0,6,0.662
327,庄志明律师,04-09,先人后己，舍己为人，公而忘私…这些字眼，很长时间以来被一些网民嘲笑，诟病，他们认为人性就是应该首先为自己考虑，先人后己是不人性的。,16,12,39,0.3078
328,奔向乌托邦的小傻妞,04-09,我们天抗原或核酸，阳性却不转走中。,2,0,0,0.1638
329,偷日落孩儿,04-09,我真的会谢 本来有解封的苗头了 今天广州又严重起来了,0,1,2,0.2684
330,半岛都市报,04-09,上海将再开展一次全员核酸检测，按风险程度分区阶梯式管理4月9日上午10:0，上海举行疫情防控工作新闻发布会。上海市副市长、市疫情防控工作领导小组副组长宗明就新冠疫情区域防控和核酸筛查情况向大家作通报。,0,0,0,0.1124
331,答案回眸,04-09,上海新增本土确诊1015例无症状2609例,0,5,6,0.6641
332,lin_zhazhazhazha,04-09,广州 疫情,0,2,9,0.6557
333,凤梨日记本,04-09,如果上海被隔离在家的孕妈刚出月子呢？吃米汤？喝稀饭？如果没有收到zf发放的物资、没有团购就这样干饿着 202真实版在这个已经基本实现全面小康时代荒野求生搞饥荒？是又回到老底子要吃树皮煮皮鞋的时代了吧,0,0,1,0.0157
334,Sleepbefore11,04-09,小区组织的各种团购我一直没有参加除了前些日子团了一次麦当劳！主要也是担心团来团去其一太麻烦志愿者其二增加风险！非到最后一刻还是不要行动比较稳妥！我就在群里看着其他居民把团购搞的如火如荼！我觉得大家为了解决民生问题也正常！可是看到有些小区居然团购可乐什么巴黎水之类的我tmd就无语了！ ​,0,0,0,0.0053
335,轻舞红袖,04-09,4月8日0—24时，吉林新增本土病例248例，其中长春市150例、吉林市87例，昨天官方宣布吉林市实现了社会面清零的目标，好消息，令人振奋，谁都想不到这波疫情会持续这么长时间，太煎熬了，就盼望着彻底解封的那一天了。 ​,0,0,0,0.7765
337,平凡人生的2013,04-09,阳光明媚，春光无限，日子却不是常态。有种温水煮青蛙的感觉…无奈、纠结、焦虑、恐慌…希望由大变小…疫情何处是尽头？盼望着正常的生活,0,1,0,0.6718
339,59yangLl嗯,04-09,陪了我十几年的人,0,0,1,0.8372
340,蓝色玩纸,04-09,202年4月9日广东省新冠肺炎疫情况,0,0,1,0.6191
341,mmmmengyun,04-09,疫情防控,7,19,56,0.3158
342,只可强求自己,04-09,南通疫情,0,0,0,0.5971
343,Anonymus_,04-09,上海疫情,2,1,5,0.632
344,大房东V,04-09,上海疫情，单日依旧两万多,0,0,3,0.4314
345,叫我28小哥哥呐,04-09,个别上海人是真的娇贵,0,4,5,0.1614
346,上海消防,04-09,上海拟再开展一次全员核酸,1,0,0,0.7178
347,Yhthql,04-09,广州 疫情,0,0,3,0.6557
348,咸鱼茄子金属喵,04-09,老家疫情刚冒头我就给家里买了一箱防疫物资寄回去，现在疫情都快结束了东西还没送到家人手上…,0,3,0,0.1907
349,福州校园,04-09,福建学子加入广场舞群聊,0,0,1,0.7915
350,九七式中战车,04-09,广州 疫情,0,0,2,0.6557
351,网信天津,04-09,你好天津,0,0,0,0.8648
352,鱼寒,04-09,上海：拟再开展一次全员核酸检测，将依据风险程度大小，按照“三区划分”原则，进行阶梯式管理。,0,0,0,0.2888
353,洋浦政务,04-09,儋州市那大镇主城区核酸检测温馨提醒,0,0,0,0.8138
354,橘香乌龙,04-09,广州 疫情,0,1,4,0.6557
355,新浪辽宁,04-09,喜迎二十大 辽宁在行动,1,0,0,0.8562
356,StanZeng,04-09,一早起来喜提14+7,0,0,0,0.6524
358,这片海的蓝天,04-09,疫情扰乱了人们工作生活的步伐和节奏，不少网友出现了情绪和思想上的波动。怎么办？,0,0,0,0.1613
359,人民公安报,04-09,疫情当前 警察不退,0,0,0,0.0838
360,LSDN的闺蜜粉,04-09,现在我特别期待疫情过去以后赶紧买个大冰箱，装满山姆店买的羊肉牛肉排骨鳕鱼虾仁鸡米花大桶冰激凌猪肉玉米馅饺子花生馅黑芝麻馅汤圆…,0,0,0,0.5022
361,秘密小熊基地,04-09,南师大疫情,0,0,5,0.5548
362,圓咚咚的刺,04-09,距离上一次发wb十多天了,0,1,2,0.5404
363,历史课课代表,04-09,“学校为留学生过生日？”上海普陀，某高校内发生了令人气愤的一幕，现在疫情这么严重，大家都在居家隔离，万没想到，该校住校教师竟让大家聚集在一起，给留学生过生日。,1,1,1,0.0283
364,爬墙超A,04-09,想还是生气，做人还是要留点口德，疫情当前自顾不暇，我本来也不觉得在我们这个封控区当志愿者是一件高尚的事，也没有想得到回报，如此艰难的环境下，只是想帮忙，搞得谁心里不害怕一样，爬着充满消毒液味道的楼道，我真的是大写的一个服字 ​,0,0,0,0.0447
365,印象张家口,04-09,张家口生活,0,0,0,0.8733
366,皮青正,04-09,健康时报,0,0,1,0.6105
367,九界刀铺-,04-09,那个六人团帮扶老外的事儿，现在推一个小孩出来就很离谱。这件事说白了，老百姓为什么生气，就是因为不患寡而患不均。一个外国成年男性，有稳定收入不被疫情影响的工作，无基础疾病，哪怕语言不通（甚至他还会用汉语发朋友圈）他都没资格让六个志愿者给他成立单独帮扶小组。如果拍的照片是志愿者给外国 ​,0,1,1,0.0098
368,牛骑士,04-09,清早醒来，看到两则重磅消息或对下周A股带来变化影响，给大家一个提醒：,0,0,61,0.1999
369,啊我超困,04-09,上海新增本土确诊1015例无症状2609例,1,1,6,0.6641
370,应如是R,04-09,上海新增本土确诊1015例无症状2609例,0,0,3,0.6641
371,馮凡妃凤飞,04-09,中国的防疫政策，虽然严格，但是从整体上保障了所有平民百姓的生活稳定，那便是疫情会很快得到控制，不会因为收入低而染疫得不到救治面临生命危险，富人与平民的待遇是一样的，大家的生命都会得到尊重。,0,0,0,0.9756
372,不洗澡的鱼,04-09,250w人每天睁开眼就要吃饭 家里还有老人、小孩、病人、动物的等特殊情况的 一旦各种物资供应不上 造成严重次生灾害,0,0,10,0.0638
373,深扒王,04-09,当海外粉丝在肖战专访听到了自己,0,13,177,0.3908
374,Reds_In_Shanghai_寒羽,04-09,现在这个问题确实很现实，哪怕这次疫情过了之后，怎么办？,2,11,0,0.072
375,财经女侠云疏,04-09,202年第一季度IPO,0,0,246,0.1678
376,秦州城区交警,04-09,秦州城区交警紧急救助病人入院治疗,0,0,0,0.2939
377,社会日常生活,04-09,花影摇曳的春日故宫,3,11,510,0.9914
379,寻味长春,04-09,疫情宅家减脂餐分享,2,1,1,0.9249
380,丨李皮皮很皮丨,04-09,因为疫情不能去学校，现在天气热了，在家里没什么衣服穿，两三天一洗（仅有的几套衣服轮着穿），但我自认为穿的还是干净、得体的，就是比较休闲（黑色运动裤、浅蓝色衬衫、灰色外套）。但是我爸一直在dis我的穿着，特别是浅蓝色衬衫，说丑、老气，他们那个年纪都不会穿，只有我爷奶那个年纪的才会 ​,0,0,0,0.349
381,泉州台商投资区,04-09,人民网评论丨有力度、有温度，泉州战“疫”现曙光眼下的福建泉州，“轻舟已过万重山”。,0,0,0,0.7413
382,广州天气,04-09,假如→假如突然接到通知要被隔离，那应该带那些物品？,21,15,30,0.1893
383,老抛,04-09,长春本轮疫情的数据统计：每日新增阳性（当日确诊+当日无症状-当日无症状转确诊），累计阳性病例。 202.03.04-202.04.08（病例统计日期， 比公布日期晚一天） ​3月12日开始，长春统计野生病例已经没有意义，所以不统计长春的野生病例。长春市公告的累计病例数和逐日数据经常对不上。从国家公告上看 ​,0,0,0,0.3277
384,吕阿仓,04-09,今早又有人进楼了，开门后是发抗原测试的，这次发了四个，说是一天之内要测两次，上午一次，下午一次。,0,0,2,0.6477
385,浙江之声,04-09,“挡刀女孩”崔译文又当起了防疫志愿者今天上午，宁波市鄞州区对重点区域开展核酸检测。在鄞州区东柳街道月季社区，全国道德模范、“挡刀女孩”崔译文身披志愿者红马甲，为前来采样的市民答疑解惑、维护排队秩序。她说：“早上我下楼做核酸，看到志愿者人比较少，比较缺人，我说那我来，就来当志愿 ​,0,0,1,0.3569
386,海南交通广播,04-09,即日起，三亚12345增设生活必需品保供服务专线根据三亚市新型冠状病毒肺炎疫情防控工作指挥部关于做好新冠肺炎疫情防控生活必需品应急调配工作的通知，即日起，三亚市12345政府服务热线在加大力量确保5号键疫情防控专线接线服务的基础上，增设24小时保供服务专席（8695035），受理群众反映的生活 ​,0,0,0,0.9885
387,确实是个俗人,04-09,南昌疫情,1,0,5,0.5843
388,南栀叶,04-09,广州 疫情,0,1,2,0.6557
389,盐田发布,04-09,“战疫”平常心 发现一起就扑灭一起！| 速观察“动态清零”，不追求绝对零感染，而是快速、精准，立足抓早、抓小、抓基础，发现一起就扑灭一起，守住不出现疫情规模性反弹的底线。,0,1,0,0.5217
390,我也叫李墨染啊,04-09,这个时候基本上都能吃上饭了，别讲好歹能吃饱就行。现在最大的问题还是医疗这块，普通药品也还好，就是看病太麻烦，120太忙叫不来，自己出去不方便，好不容易送到医院，回去又是个问题。疫情赶紧结束，让我姐赶紧回郑州，郑州医院也没限制，医疗水平也比咱这好太多。连续值班的第19天，之所以不请假就 ​,0,0,0,0.0566
391,娱乐每日专用,04-09,黄渤梅婷新剧组致歉,20,20,20,0.9147
392,绿色蒲江,04-09,蒲江新闻,0,0,0,0.1034
393,老河口市融媒体中心,04-09,襄阳市新型冠状病毒肺炎疫情通报（809),0,0,0,0.1656
394,IbaraMayaka_,04-09,广州 疫情,1,3,5,0.6557
395,宁津公安,04-09,湖北已经“鄂”住疫情，安徽已经“皖”美收官,0,0,2,0.7506
396,午夜沉入海底,04-09,每天打开微博首页都会哭，哭民生疾苦，哭吃不上饭的人，哭去上海看病疫情封控流落街头的步履蹒跚的老人，哭在医院门口无法让自己的家人进去看病无力瘫坐的中年男人，哭在酒店发病没有及时救助导致一个女儿失去爸，哭那个打赏外卖员20块被网暴跳楼的女士，哭那些看着无助的人民满脸冷漠奉行官宦性条 ​,0,0,1,0.1685
397,鲍迪克,04-09,上海真这么差吗？上海疫情数据创了记录，舆情也创了两个记录；,1,19,11,0.0179
399,林林总总子,04-09,广州疫情,0,4,3,0.662
400,骨科袁锋,04-09,上海新增本土确诊1015例无症状2609例,0,0,5,0.6641
401,麒麟神侯,04-09,上海新增本土确诊1015例无症状2609例,10,45,731,0.6641
402,贤韵奉浦,04-09,深夜“花式”秀床大赛，其实，他们只想睡个好觉,0,0,1,0.7573
403,海口锦鲤,04-09,海口抗疫公益在行动,0,0,0,0.9932
404,AprilYL_04,04-09,疫情下的暖与善，真的很感动了，感谢所有人的帮助和付出，感谢河南,0,0,0,0.9969
405,健康资阳官微,04-09,202年4月8日资阳市新型冠状病毒肺炎疫情况：,0,0,0,0.2077
406,海南国际旅游岛之声,04-09,1038在播报,0,0,0,0.2869
407,江西发布,04-09,央视《新闻联播》报道：抗原检测试剂在南昌投入使用 对重点人群快检初筛,0,0,1,0.5657
408,E子--,04-09,疫情下各行各业都很难，实体不用说，冲击最大，我们深圳小区楼下的海底捞算生意好的了，但是都永久性关闭了，前段时间给姐报了一个思科英语9元6节体验课，上了一次就没有动静了，老师说教育局因为疫情要求停课，现在所有线下机构都是停课状态，问题是珠海这边现在并没有疫情啊，姐还报了一个体智+ ​,0,0,0,0.1216
409,剧贫道,04-09,4月8日，深圳，网传黄渤梅婷在深圳一小区拍戏，因剧组人多，小区内部分业主因担心疫情风险，驱赶摄制组。物业称，4月7日剧组在小区拍摄了半天时间，已确认不会再到小区拍摄。,65,0,12,0.1177
410,直播海南,04-09,关于继续关停海口市部分经营性密闭场所的通告鉴于当前我市疫情防控工作需要，为有效控制和降低疫情传播风险，保障人民群众身体健康和生命安全，根据《关于暂时关停海口市经营性密闭场所的通告》，我市决定继续关停KTV、棋牌室、电影院、剧院、网吧、书吧、歌厅、酒吧、剧本杀、密室逃脱、室内图书 ​,0,0,0,0.8686
412,淮南公安在线,04-09,皖警战疫,0,0,1,0.4114
413,寻笳吟喜欢碎碎念,04-09,以后不再嫌弃人山人海，因为那样才是国泰民安。 这次疫情让我看到了人生百态。每个人做好力所能及的事情，与前方的战士并肩而行。,0,0,2,0.9394
414,月球上信号不好,04-09,一刀切nmlgb走流程走nmlgb,0,0,1,0.6105
416,心平气和不发脾气,04-09,跟我们小区一样的。阳性的直接只通知到本人，全靠别人自觉了。阳性封控楼没人看管，随意进出，还一起下楼做核酸。看来上海从上层别有用心开始，到下层没文化的大爷大妈治理各个街道，都快把上海整完蛋了。外省市只能靠自己查严点，严防上海出来投毒的，自求多福吧,0,0,2,0.0272
417,hellooootime,04-09,其实现在挺庆幸家人都生活在三四线城市的，没有小到基础设施不完善，身边围绕的都是可以鼎力相助的亲戚朋友。,0,3,6,0.9408
420,打地基的小鲨鱼,04-09,上海将进行三区阶梯式管理,0,0,15,0.6265
421,镇江发布,04-09,镇江召开疫情防控专题会议4月8日上午，我市召开疫情防控专题会议，分析研判当前疫情防控形势，落实好驻镇高校疫情防控措施保障，筑牢校园疫情防控安全屏障。副市长殷敏出席会议并讲话。 ​,0,0,1,0.9301
422,南海发布,04-09,抗击新冠疫情 南海在行动,0,0,0,0.915
423,雨后的小蚯蚓,04-09,论区块链技术在疫情中的新作用,0,0,0,0.8159
424,无人知道我在这里,04-09,上海新增本土确诊1015例无症状2609例,0,1,9,0.6641
425,硬气小狗,04-09,自疫情开始以来真的有点对我们学校改观，有牛奶有蛋有菜有肉有开到宿舍里的移动超市有发的自嗨锅当夜宵，怕学生无聊举办了数不清的线上活动，怕学生憋得慌还会包车送去学校放风两个小时，甚至真的会关注到少数群体的需求，在这个学校对精神病避之不及的时代提出可以帮忙买药…感觉已经赢过了所有学校。 ​,1,0,0,0.8347
426,三亚发布,04-09,三亚发布 私信我留电话,3,4,5,0.9555
428,赣州文文利,04-09,战争、疫情、通胀、制裁、冻结、没收等一系列事件交织一起，似乎还没完没了，确实让人深感焦虑和慌恐，对资本市场的影响是肯定的，还不是一般的小，加上一大批公司高企的估值和外资内资的持续流出，似乎也看不到能推动市场持续性涨势的突破口。白酒吸金，巨额的资金仍醉在其中不舍离去，其实吧，除了茅 ​,0,0,0,0.0144
429,不吃鱼yyyyyyyy,04-09,广州 疫情,2,0,8,0.6557
430,翻转东京在日本,04-09,v光计划,23,11,20,0.7958
431,讲逻辑做投资,04-09,政策举措要靠前发力、适时加力，已出台的要尽快落实到位，明确拟推出的尽量提前，同时研究准备新的预案,1,0,2,0.3103
432,小鹿不能呼吸,04-09,信息被封锁，限流，求助贴被封号，但他们没有食物啊，生病的人在家奄一息，我真的不知道还有什么办法能帮到这些人，这些鲜活的生命！就算我人微言轻，但如果我有能力，我绝对不会放任不管别人死活，如果我有能力，我一定会去尽力让大家吃得到东西，可是，我却只是一个学生，我没有能力，我没有钱，没 ​,0,2,0,0.0076
433,广州交通电台,04-09,广州市发布第32号通告 白云区和越秀区部分区域设立封控管控区广州市新型冠状病毒肺炎疫情防控指挥部发布第32号通告。根据疫情防控工作需要，决定自202年4月9日起，对全市部分区域实施分级分类防控措施。现将具体事项通告如下：,2,0,8,0.4088
434,辣评娱乐圈,04-09,黄渤梅婷新剧组致歉,369,363,693,0.9147
435,有无限热情,04-09,某些上海人 能不能别乱跑了 我管你是收钱没收钱 是不是间谍 其他城市前几年疫情小爆发的时候也没有到处乱跑祸害全国吧 不知道哪个sb把广州九个区跑遍了,0,4,8,0.2363
436,ZJY金,04-09,广州 疫情,0,1,3,0.6557
437,新都资讯,04-09,太有才！,0,0,0,0.6515
439,孔祥東XiangdongKong,04-09,第五次自我抗原檢測,0,0,2,0.9095
441,N视频,04-09,广州 疫情,36,93,1310,0.6557
442,小莉帮忙,04-09,大象热线,0,0,0,0.9218
443,毛丹青,04-09,日推上的这图亮了。,3,5,26,0.2004
444,勤奋哥,04-09,4月7日，上海宝山区月浦镇通过某公司为居民购买蔬菜“抗疫大礼包”，居民收到后却发现，蔬菜上贴有“抗疫捐赠物资”之类的标签！居民和网友严重质疑—有人将外地捐赠给上海的蔬菜等物资，暗地里拿来出售牟利？,9,4,25,0.0322
