title,time,country,type,comment,quote,number
谍影重重2,2004, 美国 德国 , 动作 悬疑 惊悚                        ,309607人评价,谁说王家卫镜头很晃？,8.7
海洋,2009, 法国 瑞士 西班牙 美国 阿联酋 摩纳哥 , 纪录片                        ,144662人评价,大海啊，不全是水。,9.1
阿飞正传,1990, 中国香港 , 犯罪 剧情 爱情                        ,437546人评价,王家卫是一种风格，张国荣是一个代表。,8.5
穿越时空的少女,2006, 日本 , 剧情 爱情 科幻 动画                        ,339995人评价,爱上未来的你。 ,8.6
谍影重重,2002, 美国 德国 捷克 , 动作 悬疑 惊悚                        ,371190人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.6
地球上的星星,2007, 印度 , 剧情 儿童 家庭                        ,181615人评价,天使保护事件始末。,8.9
香水,2006, 德国 法国 西班牙 美国 比利时 , 剧情 犯罪 奇幻                        ,486765人评价,一个单凭体香达到高潮的男人。,8.5
再次出发之纽约遇见你,2013, 美国 , 喜剧 爱情 音乐                        ,372371人评价,爱我就给我看你的播放列表。,8.6
完美陌生人,2016, 意大利 , 剧情 喜剧                        ,470488人评价,来啊，互相伤害啊！,8.5
我爱你,2011, 韩国 , 剧情 爱情                        ,144487人评价,你要相信，这世上真的有爱存在，不管在什么年纪 ,9.1
朗读者,2008, 美国 德国 , 剧情 爱情                        ,411381人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,8.6
聚焦,2015, 美国 , 剧情 传记                        ,244560人评价,新闻人的理性求真。,8.8
小萝莉的猴神大叔,2015, 印度 , 剧情 喜剧 动作                        ,434290人评价,宝莱坞的萝莉与大叔。,8.4
驴得水,2016, 中国大陆 , 剧情 喜剧                        ,807694人评价,过去的如果就让它过去了，未来只会越来越糟！,8.3
浪潮,2008, 德国 , 剧情 惊悚                        ,239837人评价,世界离独裁只有五天。,8.7
猜火车,1996, 英国 , 剧情 犯罪                        ,376239人评价,不可猜的青春迷笛。 ,8.6
千年女优,2001, 日本 , 动画 剧情 爱情                        ,207908人评价,爱情是一场没有尽头的虚幻追逐。,8.8
