title,time,country,type,comment,quote,number
何以为家,2018, 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 , 剧情                        ,893953人评价,凝视卑弱生命，用电影改变命运。,9.1
我不是药神,2018, 中国大陆 , 剧情 喜剧                        ,1831183人评价,对我们国家而言，这样的电影多一部是一部。,9.0
十二怒汉,1957, 美国 , 剧情                        ,407621人评价,1957年的理想主义。 ,9.4
哈尔的移动城堡,2004, 日本 , 动画 奇幻 冒险                        ,872598人评价,带着心爱的人在天空飞翔。,9.1
少年派的奇幻漂流,2012, 美国 中国台湾 英国 加拿大 , 剧情 奇幻 冒险                        ,1199529人评价,瑰丽壮观、无人能及的冒险之旅。,9.1
鬼子来了,2000, 中国大陆 , 剧情 喜剧                        ,538304人评价,对敌人的仁慈，就是对自己残忍。,9.3
大话西游之月光宝盒,1995, 中国香港 中国大陆 , 喜剧 爱情 奇幻 古装                        ,1070290人评价,旷古烁今。,9.0
天空之城,1986, 日本 , 动画 奇幻 冒险                        ,723532人评价,对天空的追逐，永不停止。 ,9.1
天堂电影院,1988, 意大利 法国 , 剧情 爱情                        ,599317人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.2
猫鼠游戏,2002, 美国 加拿大 , 传记 犯罪 剧情                        ,813468人评价,骗子大师和执著警探的你追我跑故事。 ,9.1
闻香识女人,1992, 美国 , 剧情                        ,752615人评价,史上最美的探戈。,9.1
指环王2：双塔奇兵,2002, 美国 新西兰 , 剧情 动作 奇幻 冒险                        ,648960人评价,承前启后的史诗篇章。,9.2
罗马假日,1953, 美国 , 喜剧 剧情 爱情                        ,842257人评价,爱情哪怕只有一天。,9.1
钢琴家,2002, 英国 法国 波兰 德国 , 剧情 传记 战争 音乐                        ,502711人评价,音乐能化解仇恨。,9.2
让子弹飞,2010, 中国大陆 中国香港 , 剧情 喜剧 动作 西部                        ,1440773人评价,你给我翻译翻译，神马叫做TMD的惊喜。,8.9
指环王1：护戒使者,2001, 新西兰 美国 , 剧情 动作 奇幻 冒险                        ,735607人评价,传说的开始。,9.1
辩护人,2013, 韩国 , 剧情                        ,522175人评价,电影的现实意义大过电影本身。,9.2
大闹天宫,1961, 1964(中国大陆) , 剧情 动画 奇幻 古装                        ,365706人评价,经典之作，历久弥新。,9.4
黑客帝国,1999, 美国 , 动作 科幻                        ,716859人评价,视觉革命。,9.1
教父2,1974, 美国 , 剧情 犯罪                        ,463653人评价,优雅的孤独。,9.2
狮子王,1994, 美国 , 动画 冒险 歌舞                        ,721892人评价,动物版《哈姆雷特》。,9.1
死亡诗社,1989, 美国 , 剧情                        ,607957人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.1
海蒂和爷爷,2015, 德国 瑞士 , 剧情 冒险 家庭                        ,435240人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,9.3
搏击俱乐部,1999, 美国 德国 意大利 , 剧情 动作 悬疑 惊悚                        ,736556人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0
绿皮书,2018, 美国 中国大陆 , 剧情 喜剧 传记 音乐                        ,1372820人评价,去除成见，需要勇气。,8.9
饮食男女,1994, 中国台湾 美国 , 剧情 家庭                        ,522391人评价,人生不能像做菜，把所有的料都准备好了才下锅。,9.1
美丽心灵,2001, 美国 , 传记 剧情                        ,663599人评价,爱是一切逻辑和原由。,9.0
窃听风暴,2006, 德国 , 剧情 悬疑                        ,487929人评价,别样人生。,9.2
本杰明·巴顿奇事,2008, 美国 , 剧情 爱情 奇幻                        ,856852人评价,在时间之河里感受溺水之苦。,9.0
情书,1995, 日本 , 剧情 爱情                        ,910064人评价,暗恋的极致。,8.9
两杆大烟枪,1998, 英国 , 剧情 喜剧 犯罪                        ,524403人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1
穿条纹睡衣的男孩,2008, 英国 美国 , 剧情 战争                        ,462673人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,9.1
西西里的美丽传说,2000, 意大利 美国 , 剧情 战争 情色                        ,849507人评价,美丽无罪。,8.9
看不见的客人,2016, 西班牙 , 剧情 犯罪 悬疑 惊悚                        ,1070755人评价,你以为你以为的就是你以为的。,8.8
飞越疯人院,1975, 美国 , 剧情                        ,491909人评价,自由万岁。,9.1
拯救大兵瑞恩,1998, 美国 , 剧情 战争                        ,562332人评价,美利坚精神输出大片No1.,9.0
音乐之声,1965, 美国 , 剧情 传记 爱情 歌舞                        ,521054人评价,用音乐化解仇恨，让歌声串起美好。,9.1
小鞋子,1997, 伊朗 , 剧情 儿童 家庭                        ,354071人评价,奔跑的孩子是天使。,9.2
阿凡达,2009, 美国 , 动作 科幻 冒险                        ,1217162人评价,绝对意义上的美轮美奂。,8.8
海豚湾,2009, 美国 , 纪录片                        ,325104人评价,海豚的微笑，是世界上最高明的伪装。,9.3
致命魔术,2006, 英国 美国 , 剧情 悬疑 惊悚                        ,746568人评价,孪生蝙蝠侠大战克隆金刚狼。,8.9
沉默的羔羊,1991, 美国 , 剧情 犯罪 惊悚                        ,753797人评价,安东尼·霍普金斯的顶级表演。,8.9
哈利·波特与死亡圣器(下),2011, 美国 英国 , 奇幻 冒险                        ,697168人评价,10年的完美句点。,8.9
美国往事,1984, 美国 意大利 , 犯罪 剧情                        ,358534人评价,往事如烟，无处祭奠。,9.2
禁闭岛,2010, 美国 , 剧情 悬疑 惊悚                        ,830920人评价,昔日翩翩少年，今日大腹便便。,8.8
蝴蝶效应,2004, 美国 加拿大 , 剧情 悬疑 科幻 惊悚                        ,811110人评价,人的命运被自己瞬间的抉择改变。,8.8
布达佩斯大饭店,2014, 美国 德国 英国 , 剧情 喜剧 冒险                        ,781140人评价,小清新的故事里注入了大历史的情怀。,8.9
心灵捕手,1997, 美国 , 剧情                        ,613941人评价,人生中应该拥有这样的一段豁然开朗。,8.9
低俗小说,1994, 美国 , 剧情 喜剧 犯罪                        ,721419人评价,故事的高级讲法。,8.9
春光乍泄,1997, 中国香港 日本 韩国 , 剧情 爱情 同性                        ,544678人评价,爱情纠缠，男女一致。,9.0
摩登时代,1936, 美国 , 剧情 喜剧 爱情                        ,254815人评价,大时代中的人生，小人物的悲喜。,9.3
七宗罪,1995, 美国 , 剧情 犯罪 悬疑 惊悚                        ,834755人评价,警察抓小偷，老鼠玩死猫。,8.8
喜剧之王,1999, 中国香港 , 喜剧 剧情 爱情                        ,835791人评价,我是一个演员。,8.8
致命ID,2003, 美国 , 剧情 悬疑 惊悚                        ,700150人评价,最不可能的那个人永远是最可能的。,8.8
被嫌弃的松子的一生,2006, 日本 , 剧情 歌舞                        ,629473人评价,以戏谑来戏谑戏谑。,8.9
杀人回忆,2003, 韩国 , 剧情 动作 犯罪 悬疑 惊悚                        ,595976人评价,关于连环杀人悬案的集体回忆。,8.9
加勒比海盗,2003, 美国 , 动作 冒险 奇幻                        ,751917人评价,约翰尼·德普的独角戏。,8.8
红辣椒,2006, 日本 , 动画 悬疑 科幻 惊悚                        ,376982人评价,梦的勾结。,9.0
狩猎,2012, 丹麦 瑞典 , 剧情                        ,328005人评价,人言可畏。,9.1
剪刀手爱德华,1990, 美国 , 剧情 奇幻 爱情                        ,936138人评价,浪漫忧郁的成人童话。,8.7
请以你的名字呼唤我,2017, 意大利 法国 巴西 美国 荷兰 德国 , 剧情 爱情 同性                        ,605108人评价,沉醉在电影的情感和视听氛围中无法自拔。,8.9
勇敢的心,1995, 美国 , 动作 传记 剧情 历史 战争                        ,509773人评价,史诗大片的典范。,8.9
7号房的礼物,2013, 韩国 , 剧情 喜剧 家庭                        ,476939人评价,《我是山姆》的《美丽人生》。,8.9
功夫,2004, 中国大陆 中国香港 , 动作 喜剧 犯罪 奇幻                        ,914841人评价,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,8.7
超脱,2011, 美国 , 剧情                        ,456617人评价,穷尽一生，我们要学会的，不过是彼此拥抱。,8.9
哈利·波特与阿兹卡班的囚徒,2004, 英国 美国 , 奇幻 冒险                        ,579761人评价,不一样的导演，不一样的哈利·波特。,8.9
断背山,2005, 美国 加拿大 , 剧情 爱情 同性 家庭                        ,628267人评价,每个人心中都有一座断背山。,8.8
天使爱美丽,2001, 法国 德国 , 剧情 喜剧 爱情                        ,878820人评价,法式小清新。 ,8.7
入殓师,2008, 日本 , 剧情                        ,568036人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.9
唐伯虎点秋香,1993, 中国香港 , 喜剧 爱情 古装                        ,922370人评价,华太师是黄霑，吴镇宇四大才子之一。,8.7
第六感,1999, 美国 , 剧情 悬疑 惊悚                        ,480125人评价,深入内心的恐怖，出人意料的结局。,8.9
幽灵公主,1997, 日本 , 动画 奇幻 冒险                        ,462665人评价,人与自然的战争史诗。,8.9
重庆森林,1994, 中国香港 , 剧情 爱情                        ,692445人评价,寂寞没有期限。,8.8
小森林 夏秋篇,2014, 日本 , 剧情                        ,369462人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,9.0
阳光灿烂的日子,1994, 中国大陆 中国香港 , 剧情 爱情                        ,538294人评价,一场华丽的意淫。,8.8
爱在黎明破晓前,1995, 美国 奥地利 瑞士 , 剧情 爱情                        ,558887人评价,缘分是个连绵词，最美不过一瞬。,8.8
一一,2000, 中国台湾 日本 , 剧情 爱情 家庭                        ,314038人评价,我们都曾经是一一。,9.1
蝙蝠侠：黑暗骑士崛起,2012, 美国 英国 , 剧情 动作 科幻 犯罪 惊悚                        ,621628人评价,诺兰就是保证。,8.8
菊次郎的夏天,1999, 日本 , 剧情 喜剧                        ,507183人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.9
哈利·波特与密室,2002, 英国 美国 , 奇幻 冒险                        ,606144人评价,魔法的密室之门已打开...,8.8
消失的爱人,2014, 美国 , 剧情 犯罪 悬疑 惊悚                        ,795010人评价,年度最佳date movie。,8.7
超能陆战队,2014, 美国 , 喜剧 动作 科幻 动画 冒险                        ,877432人评价,Balalala~~~,8.7
无人知晓,2004, 日本 , 剧情                        ,264950人评价,我的平常生活就是他人的幸福。,9.1
小森林 冬春篇,2015, 日本 , 剧情                        ,330354人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0
完美的世界,1993, 美国 , 剧情 犯罪                        ,258201人评价,坏人的好总是比好人的好来得更感人。,9.1
倩女幽魂,1987, 中国香港 , 爱情 奇幻 武侠 古装                        ,640362人评价,两张绝世的脸。 ,8.8
爱在日落黄昏时,2004, 美国 法国 , 剧情 爱情                        ,461288人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.9
侧耳倾听,1995, 日本 , 剧情 爱情 动画                        ,400759人评价,少女情怀总是诗。,8.9
借东西的小人阿莉埃蒂,2010, 日本 , 动画 奇幻 冒险                        ,475010人评价,曾经的那段美好会沉淀为一辈子的记忆。,8.9
甜蜜蜜,1996, 中国香港 , 剧情 爱情                        ,452577人评价,相逢只要一瞬间，等待却像是一辈子。,8.9
萤火之森,2011, 日本 , 剧情 爱情 动画 奇幻                        ,453915人评价,触不到的恋人。,8.9
驯龙高手,2010, 美国 , 动画 奇幻 冒险                        ,661583人评价,和谐的生活离不开摸头与被摸头。,8.7
幸福终点站,2004, 美国 , 喜剧 剧情 爱情                        ,479664人评价,有时候幸福需要等一等。 ,8.8
玛丽和马克思,2009, 澳大利亚 美国 , 剧情 喜剧 动画                        ,382841人评价,你是我最好的朋友，你是我唯一的朋友 。,8.9
时空恋旅人,2013, 英国 , 喜剧 爱情 奇幻                        ,537576人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.8
大鱼,2003, 美国 , 剧情 家庭 奇幻 冒险                        ,499958人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8
怪兽电力公司,2001, 美国 , 儿童 喜剧 动画 奇幻 冒险                        ,572624人评价,不要给它起名字，起了名字就有感情了。,8.7
告白,2010, 日本 , 剧情 悬疑                        ,605306人评价,没有一人完全善，也没有一人完全恶。,8.8
阳光姐妹淘,2011, 韩国 , 剧情 喜剧                        ,536665人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8
射雕英雄传之东成西就,1993, 中国香港 , 喜剧 奇幻 武侠 古装                        ,559229人评价,百看不厌。 ,8.7
神偷奶爸,2010, 美国 法国 , 喜剧 动画 冒险                        ,837825人评价,Mr. I Don't Care其实也有Care的时候。,8.6
教父3,1990, 美国 , 剧情 犯罪                        ,311803人评价,任何信念的力量，都无法改变命运。,9.0
