Source	Target	Type	Weight
酒店	枕头	Undirected	15
酒店	江景	Undirected	14
酒店	楼	Undirected	10
酒店	小朋友	Undirected	18
酒店	店员	Undirected	14
酒店	马路	Undirected	10
酒店	人员	Undirected	18
酒店	美景	Undirected	12
酒店	下午茶	Undirected	14
酒店	市区	Undirected	14
酒店	市中心	Undirected	11
酒店	观景台	Undirected	55
酒店	情调	Undirected	10
酒店	饭菜	Undirected	14
酒店	观景	Undirected	17
酒店	别墅	Undirected	10
酒店	粥	Undirected	14
酒店	员工	Undirected	11
酒店	油条	Undirected	42
酒店	猫咪	Undirected	28
酒店	楼顶	Undirected	11
酒店	猫	Undirected	21
酒店	浴缸	Undirected	18
酒店	天台	Undirected	15
酒店	咖啡	Undirected	43
酒店	营养	Undirected	14
酒店	晚餐	Undirected	27
酒店	路	Undirected	11
酒店	餐食	Undirected	17
酒店	龙脊	Undirected	36
酒店	梯田	Undirected	49
酒店	山路	Undirected	12
酒店	陌野	Undirected	10
酒店	辣子鸡	Undirected	13
酒店	米酒	Undirected	16
地理位置	景点	Undirected	13
地理位置	热情	Undirected	20
地理位置	房间	Undirected	56
地理位置	民宿	Undirected	27
地理位置	房子	Undirected	12
地理位置	房东	Undirected	17
地理位置	设施	Undirected	20
地理位置	朋友	Undirected	12
地理位置	交通	Undirected	16
地理位置	感觉	Undirected	16
地理位置	服务态度	Undirected	10
地理位置	环境	Undirected	20
地理位置	性价比	Undirected	10
地理位置	景区	Undirected	10
地理位置	老板	Undirected	13
地理位置	体验	Undirected	16
地理位置	特色	Undirected	10
地理位置	早餐	Undirected	19
地理位置	观景台	Undirected	11
景点	热情	Undirected	38
景点	地方	Undirected	13
景点	时间	Undirected	11
景点	房间	Undirected	68
景点	民宿	Undirected	50
景点	行程	Undirected	16
景点	美食	Undirected	11
景点	房子	Undirected	16
景点	房东	Undirected	36
景点	设施	Undirected	24
景点	朋友	Undirected	15
景点	交通	Undirected	16
景点	感觉	Undirected	20
景点	环境	Undirected	19
景点	用心	Undirected	11
景点	游玩	Undirected	13
景点	孩子	Undirected	13
景点	步行	Undirected	17
景点	老板	Undirected	30
景点	体验	Undirected	16
