Unnamed: 0,region,rank,happiness,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choise,corruption_perceptions,generosity,year
132,Cameroon,133,4.252,0.4225,0.23402,0.49309,0.05786,0.20618000000000006,2015
133,Bulgaria,134,4.218,1.01216,0.76649,0.30587,0.00872,0.11921,2015
134,Egypt,135,4.194,0.8818,0.61712,0.17288,0.06324,0.11291,2015
135,Yemen,136,4.077,0.5464899999999999,0.40064,0.35571,0.07854,0.09131,2015
136,Angola,137,4.033,0.75778,0.16683,0.10384000000000003,0.07122,0.12344,2015
137,Mali,138,3.995,0.26074,0.20583,0.38857,0.12352,0.18798,2015
138,Congo (Brazzaville),139,3.989,0.67866,0.31051,0.41466,0.11686,0.12388,2015
139,Comoros,140,3.956,0.23906,0.36315,0.22917,0.199,0.17440999999999998,2015
140,Uganda,141,3.931,0.21102,0.33861,0.45727,0.07267,0.29066,2015
141,Senegal,142,3.904,0.36498,0.4354,0.36772,0.10713,0.20843000000000006,2015
142,Gabon,143,3.896,1.06024,0.43372,0.31914000000000003,0.11091,0.06822,2015
143,Niger,144,3.845,0.0694,0.29707,0.47692,0.15639,0.19387,2015
144,Cambodia,145,3.819,0.46038,0.61114,0.66246,0.07247,0.40359,2015
145,Tanzania,146,3.781,0.2852,0.38215,0.32878,0.057470000000000014,0.34377,2015
146,Madagascar,147,3.681,0.20824,0.46721,0.19184,0.08123999999999999,0.21333,2015
147,Central African Republic,148,3.678,0.0785,0.06699,0.48879,0.08288999999999999,0.23835,2015
148,Chad,149,3.667,0.34193,0.1501,0.23501,0.05269,0.18386,2015
149,Guinea,150,3.656,0.17417,0.24009,0.37725,0.12139,0.28657,2015
150,Ivory Coast,151,3.655,0.46534,0.15185,0.46866,0.17922000000000002,0.20165,2015
151,Burkina Faso,152,3.587,0.25812,0.27125,0.39493,0.12832000000000002,0.21747,2015
152,Afghanistan,153,3.575,0.31982,0.30335,0.23414,0.09719,0.3651,2015
153,Rwanda,154,3.465,0.22208000000000006,0.42864,0.59201,0.55191,0.22628,2015
154,Benin,155,3.34,0.28665,0.3191,0.4845,0.0801,0.1826,2015
155,Syria,156,3.006,0.6632,0.7219300000000001,0.15684,0.18906,0.47179,2015
156,Burundi,157,2.905,0.0153,0.22396,0.1185,0.10062,0.19727,2015
157,Togo,158,2.839,0.20868,0.28443,0.36453,0.10731,0.16681,2015
