Unnamed: 0,region,rank,happiness,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choise,generosity,corruption_perceptions,year
0,Norway,1,7.537000179290769,1.61646318435669,0.796666502952576,0.635422587394714,0.36201223731041,0.31596383452415505,2017
1,Denmark,2,7.52199983596802,1.48238301277161,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816864,2017
2,Iceland,3,7.50400018692017,1.480633020401,0.8335521221160892,0.6271626353263849,0.475540220737457,0.15352655947208402,2017
3,Switzerland,4,7.49399995803833,1.5649795532226598,0.858131289482117,0.620070576667786,0.29054927825927696,0.3670072853565221,2017
4,Finland,5,7.468999862670901,1.44357192516327,0.80915766954422,0.6179508566856379,0.24548277258873,0.38261154294014,2017
5,Netherlands,6,7.3769998550415,1.50394463539124,0.8106961250305179,0.5853844881057739,0.470489829778671,0.282661825418472,2017
6,Canada,7,7.31599998474121,1.47920441627502,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2017
7,New Zealand,8,7.31400012969971,1.40570604801178,0.816759705543518,0.6140621304512021,0.500005125999451,0.38281670212745705,2017
8,Sweden,9,7.28399991989136,1.49438726902008,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,2017
9,Australia,10,7.28399991989136,1.4844149351120002,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2017
10,Israel,11,7.212999820709231,1.3753824234008798,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,2017
11,Costa Rica,12,7.0789999961853,1.10970628261566,0.7595092654228209,0.580131649971008,0.21461322903633104,0.100106589496136,2017
12,Austria,13,7.00600004196167,1.48709726333618,0.8153284192085269,0.567766189575195,0.316472321748734,0.22106036543846105,2017
13,United States,14,6.993000030517581,1.54625928401947,0.7742866277694699,0.505740523338318,0.392578780651093,0.135638788342476,2017
14,Ireland,15,6.977000236511231,1.5357066392898602,0.8097826242446899,0.5731103420257571,0.42785832285881,0.2983881533145901,2017
15,Germany,16,6.9510002136230495,1.48792338371277,0.798950731754303,0.562511384487152,0.33626917004585305,0.276731938123703,2017
