Unnamed: 0,region,rank,happiness,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choise,generosity,corruption_perceptions,year
16,Belgium,17,6.89099979400635,1.46378076076508,0.8180918693542479,0.5397707223892211,0.23150333762168895,0.251343131065369,2017
17,Luxembourg,18,6.86299991607666,1.74194359779358,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,2017
18,United Kingdom,19,6.71400022506714,1.44163393974304,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,2017
19,Chile,20,6.65199995040894,1.25278460979462,0.8194797039031979,0.376895278692245,0.3266624212265011,0.0822879821062088,2017
20,United Arab Emirates,21,6.6479997634887695,1.6263433694839498,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,2017
21,Brazil,22,6.63500022888184,1.10735321044922,0.6165523529052729,0.437453746795654,0.16234989464282998,0.111092761158943,2017
22,Czech Republic,23,6.60900020599365,1.35268235206604,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663,2017
23,Argentina,24,6.59899997711182,1.18529546260834,0.695137083530426,0.4945192039012911,0.109457060694695,0.059739887714385986,2017
24,Mexico,25,6.57800006866455,1.15318381786346,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,2017
25,Singapore,26,6.57200002670288,1.69227766990662,0.9494923949241642,0.549840569496155,0.345965981483459,0.46430778503418,2017
26,Malta,27,6.52699995040894,1.34327983856201,0.821944236755371,0.588767051696777,0.5747305750846861,0.153066068887711,2017
27,Uruguay,28,6.4539999961853,1.21755969524384,0.719216823577881,0.5793922543525699,0.175096929073334,0.17806187272071802,2017
28,Guatemala,29,6.4539999961853,0.872001945972443,0.540239989757538,0.5313106179237371,0.283488392829895,0.0772232785820961,2017
29,Panama,30,6.4520001411438,1.23374843597412,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,2017
30,France,31,6.44199991226196,1.43092346191406,0.8444658517837521,0.470222115516663,0.129762306809425,0.172502428293228,2017
31,Thailand,32,6.423999786376951,1.12786877155304,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,2017
32,Taiwan Province of China,33,6.42199993133545,1.4336265325546298,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,2017
33,Spain,34,6.40299987792969,1.38439786434174,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,2017
34,Qatar,35,6.375,1.87076568603516,0.7100980877876278,0.604130983352661,0.33047387003898604,0.4392992556095121,2017
35,Colombia,36,6.35699987411499,1.07062232494354,0.595027923583984,0.477487415075302,0.14901447296142598,0.0466687418520451,2017
36,Saudi Arabia,37,6.343999862670901,1.53062355518341,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126004,2017
37,Trinidad and Tobago,38,6.1680002212524405,1.36135590076447,0.5199832916259771,0.518630743026733,0.32529646158218395,0.00896481610834599,2017
38,Kuwait,39,6.10500001907349,1.63295245170593,0.6321057081222529,0.496337592601776,0.228289797902107,0.21515955030918105,2017
39,Slovakia,40,6.09800004959106,1.32539355754852,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,2017
40,Bahrain,41,6.08699989318848,1.48841226100922,0.653133034706116,0.536746919155121,0.17266848683357194,0.257042169570923,2017
41,Malaysia,42,6.08400011062622,1.29121541976929,0.618784427642822,0.4022649824619289,0.416608929634094,0.0656007081270218,2017
42,Nicaragua,43,6.07100009918213,0.737299203872681,0.6530959606170649,0.447551846504211,0.301674216985703,0.130687981843948,2017
43,Ecuador,44,6.00799989700317,1.00082039833069,0.685636222362518,0.4551981985569,0.15011246502399406,0.140134647488594,2017
44,El Salvador,45,6.0029997825622585,0.909784495830536,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,2017
45,Poland,46,5.97300004959106,1.29178786277771,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,2017
46,Uzbekistan,47,5.97100019454956,0.786441087722778,0.498272627592087,0.6582486629486078,0.415983647108078,0.246528223156929,2017
47,Italy,48,5.96400022506714,1.39506661891937,0.8531443476676941,0.256450712680817,0.17278964817523998,0.0280280914157629,2017
48,Russia,49,5.962999820709231,1.28177809715271,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,2017
49,Belize,50,5.955999851226809,0.907975316047668,0.450191766023636,0.5475093722343439,0.24001564085483604,0.0965810716152191,2017
50,Japan,51,5.92000007629395,1.41691517829895,0.9134758710861208,0.505625545978546,0.12057276815176,0.163760736584663,2017
51,Lithuania,52,5.90199995040894,1.3145823478698702,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812,2017
52,Algeria,53,5.8720002174377415,1.09186446666718,0.6175846457481379,0.233335807919502,0.0694366469979286,0.14609611034393302,2017
53,Latvia,54,5.849999904632571,1.26074862480164,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539,2017
54,South Korea,55,5.837999820709231,1.40167844295502,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,2017
55,Moldova,56,5.837999820709231,0.7288706302642819,0.5894652009010309,0.240729048848152,0.20877912640571605,0.0100912861526012,2017
56,Romania,57,5.824999809265139,1.21768391132355,0.6851583123207089,0.457003742456436,0.133519917726517,0.004387900698930029,2017
57,Bolivia,58,5.82299995422363,0.833756566047668,0.4736302495002751,0.5587329268455511,0.22556072473526,0.0604777261614799,2017
58,Turkmenistan,59,5.82200002670288,1.1307767629623402,0.437726080417633,0.41827192902565,0.24992498755455,0.2592703402042389,2017
59,Kazakhstan,60,5.8189997673034695,1.2845562696456898,0.6060415506362921,0.43745428323745705,0.20196442306041695,0.11928288638591802,2017
60,North Cyprus,61,5.80999994277954,1.3469113111496,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483,2017
61,Slovenia,62,5.75799989700317,1.3412059545517,0.7908282279968258,0.572575807571411,0.242649093270302,0.0451289787888527,2017
62,Peru,63,5.71500015258789,1.03522527217865,0.6301661133766171,0.4500028789043429,0.126819714903831,0.0470490865409374,2017
63,Mauritius,64,5.62900018692017,1.18939554691315,0.6380074620246889,0.491247326135635,0.360933750867844,0.0421815551817417,2017
64,Cyprus,65,5.62099981307983,1.35593807697296,0.84471470117569,0.35511153936386103,0.271254301071167,0.0412379764020443,2017
65,Estonia,66,5.61100006103516,1.3208793401718102,0.695168316364288,0.479131430387497,0.0988908112049103,0.18324892222881306,2017
66,Belarus,67,5.5689997673034695,1.15655755996704,0.6377142667770389,0.295400261878967,0.15513750910759,0.156313821673393,2017
67,Libya,68,5.525000095367429,1.10180306434631,0.520169019699097,0.465733230113983,0.15207366645336198,0.0926102101802826,2017
68,Turkey,69,5.5,1.1982743740081798,0.6376056075096129,0.300740599632263,0.0466930419206619,0.0996715798974037,2017
69,Paraguay,70,5.493000030517581,0.932537317276001,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,2017
70,"Hong Kong S.A.R., China",71,5.47200012207031,1.55167484283447,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914,2017
71,Philippines,72,5.42999982833862,0.85769921541214,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,2017
72,Serbia,73,5.39499998092651,1.06931757926941,0.65078467130661,0.20871552824974104,0.22012588381767295,0.0409037806093693,2017
73,Jordan,74,5.33599996566772,0.9910123944282528,0.6045900583267211,0.418421149253845,0.17217046022415194,0.11980327218771003,2017
74,Hungary,75,5.32399988174438,1.2860119342803995,0.6877634525299069,0.17586351931095098,0.0784016624093056,0.0366369374096394,2017
75,Jamaica,76,5.31099987030029,0.925579309463501,0.6410223841667181,0.474307239055634,0.23381833732128104,0.0552677810192108,2017
76,Croatia,77,5.2930002212524405,1.22255623340607,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,2017
77,Kosovo,78,5.27899980545044,0.951484382152557,0.541452050209045,0.260287940502167,0.319931447505951,0.0574716180562973,2017
78,China,79,5.2729997634887695,1.08116579055786,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,2017
79,Pakistan,80,5.26900005340576,0.7268835306167599,0.402047783136368,0.23521526157856,0.3154460191726681,0.124348066747189,2017
80,Indonesia,81,5.26200008392334,0.995538592338562,0.4923457205295561,0.443323463201523,0.611704587936401,0.0153171354904771,2017
81,Venezuela,82,5.25,1.12843120098114,0.617144227027893,0.15399712324142498,0.0650196298956871,0.0644911229610443,2017
82,Montenegro,83,5.23699998855591,1.12112903594971,0.6674646735191351,0.194989055395126,0.197911024093628,0.0881741940975189,2017
83,Morocco,84,5.2350001335144,0.8781145811080929,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,2017
84,Azerbaijan,85,5.2340002059936515,1.1536017656326298,0.5407757759094239,0.3981558382511141,0.0452693402767181,0.180987507104874,2017
85,Dominican Republic,86,5.230000019073491,1.07937383651733,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,2017
86,Greece,87,5.227000236511231,1.28948748111725,0.8101989030838009,0.0957312509417534,0.0,0.04328977689147,2017
87,Lebanon,88,5.22499990463257,1.07498753070831,0.7350810766220089,0.28851598501205394,0.26445075869560203,0.037513829767704,2017
88,Portugal,89,5.19500017166138,1.3151752948761002,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,2017
89,Bosnia and Herzegovina,90,5.18200016021729,0.982409417629242,0.705186307430267,0.204403176903725,0.328867495059967,0.0,2017
90,Honduras,91,5.1810002326965305,0.730573117733002,0.582569479942322,0.348079860210419,0.23618887364864305,0.0733454525470734,2017
91,Macedonia,92,5.1750001907348615,1.06457793712616,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,2017
92,Somalia,93,5.151000022888179,0.0226431842893362,0.113989137113094,0.602126955986023,0.291631311178207,0.28241032361984303,2017
93,Vietnam,94,5.07399988174438,0.7885475754737851,0.6521689891815191,0.571055591106415,0.234968051314354,0.0876332372426987,2017
94,Nigeria,95,5.07399988174438,0.783756256103516,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,2017
95,Tajikistan,96,5.04099988937378,0.524713635444641,0.5292351245880129,0.471566706895828,0.24899764358997306,0.14637714624404902,2017
96,Bhutan,97,5.01100015640259,0.885416388511658,0.495879292488098,0.5015376806259161,0.474054545164108,0.17338038980960802,2017
97,Kyrgyzstan,98,5.0040001869201705,0.5962200760841371,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,2017
98,Nepal,99,4.961999893188481,0.479820191860199,0.504130780696869,0.4403059482574461,0.3940961658954621,0.0729755461215973,2017
99,Mongolia,100,4.95499992370605,1.02723586559296,0.557783484458923,0.3941439688205721,0.338464230298996,0.0329022891819477,2017
100,South Africa,101,4.8289999961853,1.05469870567322,0.18708007037639604,0.479246735572815,0.13936237990856198,0.0725094974040985,2017
101,Tunisia,102,4.80499982833862,1.00726580619812,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,2017
102,Palestinian Territories,103,4.77500009536743,0.716249227523804,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,2017
103,Egypt,104,4.7350001335144,0.989701807498932,0.520187258720398,0.28211015462875394,0.128631442785263,0.114381365478039,2017
104,Bulgaria,105,4.71400022506714,1.1614590883255,0.708217680454254,0.2892317175865169,0.113177694380283,0.0110515309497714,2017
105,Sierra Leone,106,4.70900011062622,0.36842092871666,0.005564753897488121,0.318697690963745,0.293040901422501,0.0710951760411263,2017
106,Cameroon,107,4.69500017166138,0.564305365085602,0.132892116904259,0.430388748645782,0.23629845678806305,0.0513066314160824,2017
107,Iran,108,4.69199991226196,1.15687310695648,0.639333188533783,0.24932260811328896,0.387242913246155,0.048761073499918005,2017
108,Albania,109,4.64400005340576,0.996192753314972,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,2017
109,Bangladesh,110,4.60799980163574,0.586682975292206,0.533241033554077,0.478356659412384,0.17225535213947304,0.123717859387398,2017
110,Namibia,111,4.57399988174438,0.964434325695038,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,2017
111,Kenya,112,4.55299997329712,0.560479462146759,0.30998834967613204,0.452763766050339,0.444860309362411,0.0646413192152977,2017
112,Mozambique,113,4.5500001907348615,0.234305649995804,0.106654435396194,0.480791091918945,0.322228103876114,0.17943638563156106,2017
113,Myanmar,114,4.54500007629395,0.36711055040359497,0.397522568702698,0.514492034912109,0.8380751609802249,0.188816204667091,2017
114,Senegal,115,4.53499984741211,0.479309022426605,0.409362852573395,0.37792226672172496,0.183468893170357,0.115460447967052,2017
115,Zambia,116,4.513999938964839,0.6364067792892459,0.25783589482307395,0.461603492498398,0.249580144882202,0.0782135501503944,2017
116,Iraq,117,4.49700021743774,1.1027104854583702,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786,2017
117,Gabon,118,4.46500015258789,1.1982102394104,0.35657858848571794,0.31232857704162603,0.0437853783369064,0.0760467872023582,2017
118,Ethiopia,119,4.46000003814697,0.339233845472336,0.353409707546234,0.408842742443085,0.31265074014663696,0.16545571386814098,2017
119,Sri Lanka,120,4.44000005722046,1.00985014438629,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308,2017
120,Armenia,121,4.37599992752075,0.900596737861633,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,2017
121,India,122,4.31500005722046,0.7922212481498722,0.455427616834641,0.469987004995346,0.23153848946094505,0.0922268852591515,2017
122,Mauritania,123,4.29199981689453,0.6484572887420649,0.285349279642105,0.0960980430245399,0.201870024204254,0.136957004666328,2017
123,Congo (Brazzaville),124,4.29099988937378,0.8089642524719242,0.28995743393898,0.4350258708000179,0.12085212767124197,0.0796181336045265,2017
124,Georgia,125,4.28599977493286,0.950612664222717,0.649546980857849,0.309410035610199,0.0540088154375553,0.25166663527488703,2017
125,Congo (Kinshasa),126,4.280000209808351,0.0921023488044739,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425,2017
126,Mali,127,4.19000005722046,0.476180493831635,0.16936567425727805,0.306613743305206,0.183354198932648,0.10497024655342098,2017
127,Ivory Coast,128,4.17999982833862,0.6030489206314089,0.0486421696841717,0.4477061927318571,0.201237469911575,0.130061775445938,2017
128,Cambodia,129,4.1680002212524405,0.6017650961875921,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762,2017
129,Sudan,130,4.138999938964839,0.6595166921615601,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782,2017
130,Ghana,131,4.11999988555908,0.667224824428558,0.29563772678375205,0.423026293516159,0.25692394375801103,0.0253363698720932,2017
131,Ukraine,132,4.09600019454956,0.89465194940567,0.575903952121735,0.122974775731564,0.270061463117599,0.0230294708162546,2017
132,Uganda,133,4.08099985122681,0.381430715322495,0.21763260662555706,0.443185955286026,0.32576605677604703,0.057069718837738,2017
133,Burkina Faso,134,4.03200006484985,0.3502277135849001,0.21584425866603896,0.32436785101890603,0.250864684581757,0.12032810598611805,2017
134,Niger,135,4.02799987792969,0.16192533075809498,0.26850500702858,0.36365869641304,0.228673845529556,0.13857294619083402,2017
135,Malawi,136,3.97000002861023,0.233442038297653,0.315089583396912,0.466914653778076,0.28717046976089505,0.0727116540074348,2017
136,Chad,137,3.9360001087188703,0.43801298737525896,0.0411347150802612,0.16234202682972002,0.216113850474358,0.0535818822681904,2017
137,Zimbabwe,138,3.875,0.3758465349674221,0.19676375389099104,0.336384207010269,0.189143493771553,0.0953753814101219,2017
138,Lesotho,139,3.80800008773804,0.521021246910095,0.0,0.390661299228668,0.157497271895409,0.119094640016556,2017
139,Angola,140,3.79500007629395,0.8584281802177429,0.0498686656355858,0.0,0.09792649000883097,0.0697203353047371,2017
140,Afghanistan,141,3.79399991035461,0.401477217674255,0.18074677884578694,0.106179520487785,0.311870932579041,0.0611578300595284,2017
141,Botswana,142,3.7660000324249294,1.12209415435791,0.34175550937652605,0.505196332931519,0.0993484482169151,0.0985831990838051,2017
142,Benin,143,3.65700006484985,0.43108540773391707,0.20993021130561804,0.42596277594566295,0.207948461174965,0.0609290152788162,2017
143,Madagascar,144,3.64400005340576,0.305808693170547,0.375223308801651,0.18919676542282104,0.208732530474663,0.0672319754958153,2017
144,Haiti,145,3.6029999256134,0.368610262870789,0.277321130037308,0.0303698573261499,0.4892037808895109,0.0998721495270729,2017
145,Yemen,146,3.59299993515015,0.5916834473609921,0.310080915689468,0.24946372210979506,0.104125209152699,0.0567674227058887,2017
146,South Sudan,147,3.5910000801086404,0.39724862575531,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,2017
147,Liberia,148,3.532999992370609,0.119041793048382,0.229918196797371,0.33288118243217496,0.26654988527298,0.0389482490718365,2017
148,Guinea,149,3.50699996948242,0.24454993009567305,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,2017
149,Togo,150,3.4949998855590803,0.3054447174072269,0.247105568647385,0.38042613863945,0.19689615070819896,0.0956650152802467,2017
150,Rwanda,151,3.47099995613098,0.368745893239975,0.326424807310104,0.5818438529968261,0.2527560293674469,0.455220013856888,2017
151,Syria,152,3.46199989318848,0.777153134346008,0.5005333423614501,0.0815394446253777,0.493663728237152,0.15134713053703305,2017
152,Tanzania,153,3.34899997711182,0.511135876178741,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,2017
153,Burundi,154,2.90499997138977,0.091622568666935,0.151610791683197,0.0599007532000542,0.20443518459796894,0.0841479450464249,2017
154,Central African Republic,155,2.69300007820129,0.0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2017
