Unnamed: 0,region,rank,happiness,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choise,corruption_perceptions,generosity,year
0,Denmark,1,7.526,1.4417799999999998,0.79504,0.5794100000000001,0.44453,0.36171,2016
1,Switzerland,2,7.508999999999999,1.52733,0.86303,0.58557,0.41203,0.28083,2016
2,Iceland,3,7.501,1.42666,0.8673299999999999,0.56624,0.14975,0.47678,2016
3,Norway,4,7.497999999999998,1.57744,0.79579,0.59609,0.35776,0.37895,2016
4,Finland,5,7.4129999999999985,1.40598,0.81091,0.57104,0.41004,0.25492,2016
5,Canada,6,7.404,1.44015,0.8276,0.5737,0.31329,0.44834,2016
6,Netherlands,7,7.338999999999999,1.46468,0.8123100000000001,0.55211,0.29927,0.47416,2016
7,New Zealand,8,7.334,1.36066,0.83096,0.5814699999999999,0.41904,0.4940100000000001,2016
8,Australia,9,7.313,1.44443,0.8512,0.5683699999999999,0.32331,0.47407,2016
9,Sweden,10,7.291,1.45181,0.83121,0.58218,0.40867,0.38254,2016
10,Israel,11,7.267,1.33766,0.8491700000000001,0.36432,0.08728,0.32288,2016
11,Austria,12,7.119,1.45038,0.80565,0.54355,0.21348000000000006,0.32865,2016
12,United States,13,7.104,1.50796,0.779,0.48163,0.14868,0.41077,2016
13,Costa Rica,14,7.0870000000000015,1.06879,0.76146,0.55225,0.10547,0.22553,2016
14,Puerto Rico,15,7.039,1.35943,0.77758,0.46823,0.12275,0.22202,2016
15,Germany,16,6.994,1.44787,0.81487,0.53466,0.28551,0.30452,2016
16,Brazil,17,6.952000000000001,1.08754,0.61415,0.40425,0.14165999999999998,0.15775999999999998,2016
17,Belgium,18,6.9289999999999985,1.42539,0.8195899999999999,0.51354,0.26248,0.2424,2016
18,Ireland,19,6.907,1.48341,0.81455,0.54008,0.29754,0.44963,2016
19,Luxembourg,20,6.871,1.69752,0.8454200000000001,0.5487,0.35329,0.27571,2016
20,Mexico,21,6.778,1.1150799999999998,0.71143,0.37709,0.18355,0.11735,2016
21,Singapore,22,6.739,1.64555,0.94719,0.4877,0.46987,0.32706,2016
22,United Kingdom,23,6.725,1.40283,0.80991,0.50036,0.27399,0.50156,2016
23,Chile,24,6.705,1.2167,0.8188300000000001,0.37789,0.11451,0.31595,2016
24,Panama,25,6.7010000000000005,1.18306,0.70835,0.48927,0.08423,0.2418,2016
25,Argentina,26,6.65,1.15137,0.69711,0.42284,0.07296,0.10989000000000003,2016
26,Czech Republic,27,6.596,1.30915,0.76376,0.41418,0.03986,0.09929,2016
27,United Arab Emirates,28,6.573,1.57352,0.72993,0.56215,0.35561,0.26591,2016
28,Uruguay,29,6.545,1.18157,0.72183,0.54388,0.21394,0.18056,2016
29,Malta,30,6.488,1.30782,0.80315,0.54994,0.17554,0.56237,2016
30,Colombia,31,6.481,1.03032,0.59659,0.44735,0.05399,0.15625999999999998,2016
31,France,32,6.478,1.39488,0.83795,0.46562,0.17808,0.1216,2016
32,Thailand,33,6.474,1.0893,0.64915,0.49553,0.02833,0.58696,2016
33,Saudi Arabia,34,6.379,1.48953,0.59267,0.37904,0.30008,0.15457,2016
34,Taiwan,34,6.379,1.39729,0.79565,0.32377,0.0663,0.25495,2016
35,Qatar,36,6.375,1.82427,0.71723,0.56679,0.48049,0.32388,2016
36,Spain,37,6.3610000000000015,1.34253,0.8789600000000001,0.37545,0.061370000000000015,0.17665,2016
37,Algeria,38,6.355,1.05266,0.6180399999999999,0.21006,0.16157,0.07044,2016
38,Guatemala,39,6.324,0.83454,0.5403899999999999,0.50379,0.08701,0.28808,2016
39,Suriname,40,6.269,1.09686,0.5093300000000001,0.5223399999999999,0.12692,0.16665,2016
40,Kuwait,41,6.239,1.61714,0.63569,0.43166,0.23669,0.15965,2016
41,Bahrain,42,6.218,1.44024,0.65696,0.47375,0.25772,0.17147,2016
42,Trinidad and Tobago,43,6.167999999999998,1.32572,0.52608,0.48453,0.01241,0.31935,2016
43,Venezuela,44,6.084,1.1336700000000002,0.6190399999999999,0.19847,0.08304,0.0425,2016
44,Slovakia,45,6.0779999999999985,1.27973,0.70367,0.23391,0.02947,0.13837,2016
45,El Salvador,46,6.068,0.8737,0.596,0.37269,0.10613,0.08877,2016
46,Malaysia,47,6.005,1.25142,0.62366,0.39031,0.09081,0.41474,2016
47,Nicaragua,48,5.992000000000001,0.69384,0.65213,0.46582,0.16292,0.29773,2016
48,Uzbekistan,49,5.987,0.7359100000000001,0.50163,0.60848,0.28333,0.34326,2016
49,Italy,50,5.977,1.35495,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2016
50,Ecuador,51,5.976,0.97306,0.68613,0.4027,0.18037,0.10074,2016
51,Belize,52,5.956,0.87616,0.45569,0.51231,0.10771,0.23684,2016
52,Japan,53,5.921,1.38007,0.91491,0.46761,0.18985,0.10224,2016
53,Kazakhstan,54,5.919,1.22943,0.57386,0.4052,0.11132,0.15011,2016
54,Moldova,55,5.897,0.69177,0.5230899999999999,0.25202,0.01903,0.19997,2016
55,Russia,56,5.856,1.2322799999999998,0.58991,0.32682,0.03586,0.02736,2016
56,Poland,57,5.835,1.24585,0.69058,0.4519,0.055,0.14443,2016
57,South Korea,57,5.835,1.35948,0.88645,0.25168,0.07716,0.18824,2016
58,Bolivia,59,5.822,0.79422,0.4697,0.50961,0.07746,0.21698,2016
59,Lithuania,60,5.813,1.2692,0.64674,0.18929,0.0182,0.02025,2016
60,Belarus,61,5.8020000000000005,1.1306200000000002,0.6310399999999999,0.29091,0.17457,0.13942000000000002,2016
61,North Cyprus,62,5.771,1.31141,0.8414200000000001,0.43596,0.16577999999999998,0.26322,2016
62,Slovenia,63,5.768,1.29947,0.79151,0.53164,0.03635,0.25738,2016
63,Peru,64,5.7429999999999986,0.99602,0.6299399999999999,0.37502,0.05292,0.14527,2016
64,Turkmenistan,65,5.658,1.08017,0.4400600000000001,0.37408,0.28467,0.22567,2016
65,Mauritius,66,5.648,1.14372,0.66189,0.46145,0.052029999999999986,0.36951,2016
66,Libya,67,5.615,1.0668799999999998,0.52304,0.40672,0.10339,0.17087,2016
67,Latvia,68,5.56,1.21788,0.63952,0.27996,0.0889,0.17445,2016
