名次,名称,场次,人次,票价,年份,国家,类型
248,嫌疑人X的献身,23.18万,431.64万,35.4,['2017-04-01'],['中国大陆'],"['剧情', '犯罪', '悬疑']"
249,驯龙高手2,7.75万,300.57万,50.8,['102分钟'],"['动作', '动画', '冒险']",[]
250,最好的我们,38.02万,440.09万,34.4,['2019-06-06'],['中国大陆'],"['剧情', '爱情']"
名次,名称,场次,人次,票价,年份,国家,类型
251,神探夏洛克,12.65万,393.81万,38.5,['2016-01-04'],['英国'],"['剧情', '犯罪', '悬疑']"
252,寂静之地,27.07万,480.34万,31.4,[],[],[]
253,海底总动员2：多莉去哪儿,18.1万,353.04万,42.6,['2016-06-17'],['美国'],"['喜剧', '动画', '冒险', '家庭']"
254,空天猎,13.86万,456.67万,32.9,['2017-09-30'],['中国大陆'],"['剧情', '动作']"
255,蜘蛛侠：平行宇宙,19.33万,394.63万,37.8,['2018-12-21'],"['动作', '动画', '科幻']",[]
256,X战警：黑凤凰,29.49万,376.75万,39.2,['2019-06-06'],['中国大陆'],"['动作', '冒险', '科幻']"
257,私人订制,6.35万,328.89万,44.9,['2013-12-19'],['中国大陆'],"['剧情', '喜剧']"
258,找到你,23.5万,450.86万,32.7,['2018-09-30'],['中国大陆'],['剧情']
259,帕丁顿熊2,14.92万,475.3万,30.8,['2017-12-08'],"['喜剧', '动画', '家庭']",[]
260,记忆大师,17.87万,392.72万,36.8,['2017-04-28'],['中国大陆'],"['剧情', '犯罪', '悬疑']"
261,饥饿游戏3：嘲笑鸟（上）,9.33万,288.82万,49.8,['2015-02-08'],['美国'],"['动作', '冒险', '科幻']"
262,心理罪,13.5万,426.19万,33.7,['2017-08-11'],['中国大陆'],"['动作', '犯罪', '悬疑']"
263,敢死队3,9.01万,348.8万,41.1,['106分钟'],"['动作', '惊悚', '冒险']",[]
264,西游记之大闹天宫,6.32万,263.7万,54.4,['2014-01-31'],['中国大陆'],['动作']
265,二代妖精之今生有幸,11.79万,393.71万,36.4,['2017-12-29'],['中国大陆'],"['喜剧', '爱情', '奇幻']"
266,解救吾先生,11.47万,367.43万,39,['2015-09-30'],['中国大陆'],"['动作', '犯罪']"
267,分手大师,7.05万,335.02万,42.3,['120分钟'],"['剧情', '喜剧', '爱情']",[]
268,钟馗伏魔：雪妖魔灵,6.62万,290.39万,48.6,['2015-02-19'],['中国大陆'],"['动作', '奇幻', '古装']"
269,闪光少女,12.54万,434.8万,32.4,['2017-07-28'],['中国大陆'],"['剧情', '喜剧', '爱情']"
270,哆啦A梦：大雄的金银岛,16.69万,455.31万,30.9,['2018-06-01'],"['动画', '冒险', '奇幻']",[]
271,我是证人,14.61万,366.43万,38.1,['2015-10-30'],['中国大陆'],"['剧情', '犯罪', '悬疑']"
272,泰坦尼克号3D版,3.7万,242.18万,57.6,['2012-04-10'],['美国'],"['剧情', '爱情', '冒险', '灾难']"
273,起跑线,17.44万,445.36万,31.3,['2018-04-04'],"['剧情', '喜剧']",[]
274,咱们结婚吧,11.42万,356.74万,38.8,['2015-04-02'],['中国大陆'],['爱情']
275,钢铁侠3,5.53万,252.52万,54.7,['2013-05-01'],"['美国', '中国大陆']","['动作', '科幻']"
276,亚瑟王：斗兽争霸,9.45万,393.12万,35.1,['2017-05-12'],['美国'],"['剧情', '动作', '冒险', '奇幻']"
277,东方快车谋杀案,14.35万,435.19万,31.6,['2017-11-10'],"['剧情', '犯罪', '悬疑']",[]
278,王牌逗王牌,14.76万,378.36万,36.1,['2016-10-01'],['中国大陆'],"['喜剧', '动作', '冒险']"
279,有一个地方只有我们知道,9.13万,339.21万,40.2,['2015-02-10'],['中国大陆'],"['喜剧', '爱情']"
280,小萝莉的猴神大叔,15.4万,426.02万,31.6,['2018-03-02'],"['剧情', '喜剧', '动作']",[]
281,微微一笑很倾城,14.76万,351.69万,38.3,['2016-08-12'],['中国大陆'],['爱情']
282,黑衣人：全球追缉,25.36万,331.7万,40.5,['2019-06-14'],"['喜剧', '动作', '科幻']",[]
283,环太平洋,4.78万,246.3万,54.5,['2013-07-31'],['美国'],"['动作', '冒险', '科幻']"
284,最后的巫师猎人,14.12万,359.34万,37.2,['2016-01-15'],['美国'],"['动作', '冒险', '奇幻']"
285,明日边缘,6.9万,251.41万,53,['113分钟'],"['动作', '科幻']",[]
286,胖子行动队,16万,366.88万,35.6,['2018-09-30'],['中国大陆'],"['喜剧', '爱情']"
287,小时代3：刺金时代,6.6万,318.72万,41,['2014-07-17'],['中国大陆'],"['剧情', '喜剧', '爱情']"
288,原谅他77次,9.9万,424.68万,30.6,['2017-06-23'],['中国香港'],"['剧情', '爱情']"
289,卧虎藏龙2：青冥宝剑,15.76万,290.82万,44.6,['2016-02-08'],"['美国', '中国大陆']","['剧情', '动作', '冒险', '奇幻']"
290,阿拉丁,25.55万,335.77万,38.5,['2019-05-24'],['中国大陆'],"['爱情', '冒险', '奇幻']"
291,太空旅客,18.82万,337.74万,38.3,['2017-01-13'],"['美国', '中国大陆']","['爱情', '冒险', '科幻']"
292,饥饿游戏3：嘲笑鸟（下）,10.02万,280.64万,45.9,['2015-11-20'],"['美国', '中国大陆']","['动作', '冒险', '科幻']"
293,超体,7.76万,259.36万,49.5,['90分钟'],"['动作', '科幻']",[]
294,密室逃生,20.09万,383.15万,33.4,['2019-01-18'],"['惊悚', '犯罪', '悬疑']",[]
295,小王子,9.86万,291万,43.8,['2015-10-16'],['法国'],"['动画', '奇幻']"
296,机械师2：复活,25.72万,332.22万,38.2,['2016-10-21'],['美国'],"['动作', '惊悚', '犯罪']"
297,喵星人,10.74万,395.7万,31.8,['2017-07-07'],['中国大陆'],"['喜剧', '奇幻']"
298,超凡战队,8.01万,362.63万,34.5,['2017-05-12'],"['美国', '加拿大']","['动作', '冒险', '科幻']"
299,十二生肖,5.19万,240.97万,51.7,['2012-12-20'],"['中国大陆', '中国香港']","['动作', '冒险']"
300,百团大战,5.82万,332.76万,37.4,['2015-08-28'],['中国大陆'],"['战争', '历史']"
名次,名称,场次,人次,票价,年份,国家,类型
301,陆垚知马俐,12.4万,333.59万,37.2,['2016-07-15'],['中国大陆'],"['喜剧', '爱情']"
302,喜欢你,15.08万,340.05万,36.3,['2017-04-28'],['中国大陆'],"['喜剧', '爱情']"
303,王牌保镖,14.67万,407.09万,30.2,['2017-09-22'],['美国'],"['喜剧', '动作']"
304,少年派的奇幻漂流,4.26万,228.22万,53.7,['2012-11-22'],"['美国', '中国大陆']","['剧情', '冒险']"
305,熊出没之雪岭熊风,8.66万,274.75万,44,['2015-01-30'],['中国大陆'],"['喜剧', '动画']"
306,心理罪之城市之光,10.84万,358.81万,33.6,['2017-12-22'],['中国大陆'],"['犯罪', '悬疑']"
307,侠盗联盟,10.99万,378.7万,31.7,['2017-08-11'],['中国大陆'],"['动作', '冒险']"
308,诛仙Ⅰ,18.69万,306.47万,39.2,['2019-09-13'],['中国大陆'],"['爱情', '奇幻']"
309,无敌破坏王,16.04万,321.54万,37.1,['2012-11-06'],['美国'],"['喜剧', '动作', '动画', '冒险', '家庭', '奇幻']"
310,致我们终将逝去的青春,5.76万,283.13万,41.8,['2013-04-26'],['中国大陆'],"['剧情', '爱情']"
311,极品飞车,6.3万,226.71万,52,[],[],[]
312,京城81号,5.22万,237.84万,49.2,['2014-07-18'],['中国大陆'],"['剧情', '惊悚']"
313,追捕,10.41万,351.97万,33.2,['2017-11-24'],['中国大陆'],"['动作', '悬疑']"
314,亲爱的,7.62万,278.08万,41.9,['2014-09-26'],['中国大陆'],"['剧情', '家庭']"
315,飓风营救3,9.66万,242.7万,47.8,['2015-03-20'],['法国'],"['动作', '惊悚', '犯罪']"
316,失孤,11.36万,309.33万,37.4,['2015-03-20'],['中国大陆'],"['剧情', '家庭']"
317,白发魔女传之明月天国,5.4万,232.47万,49.7,['2014-07-31'],['中国大陆'],"['剧情', '动作', '武侠']"
318,霍比特人：史矛革之战,6.08万,207.35万,55.6,['2014-02-21'],['美国'],"['剧情', '冒险', '奇幻']"
319,赏金猎人,10.73万,280.2万,41.1,['2016-06-09'],['中国香港'],['动作']
320,追龙Ⅱ,23.91万,297.02万,37.9,['2019-06-06'],['中国大陆'],"['剧情', '动作', '犯罪']"
321,青禾男高,9.76万,376.73万,29.9,['2017-07-13'],['剧情'],[]
322,攻壳机动队,16.25万,284.95万,39.2,['2017-04-07'],['美国'],"['剧情', '动作', '犯罪', '科幻']"
323,赤道,8.41万,238.4万,46.8,['2015-04-30'],['中国香港'],"['剧情', '动作', '犯罪', '悬疑']"
324,游侠索罗：星球大战外传,11.18万,308.31万,36,['2018-05-25'],"['动作', '冒险', '科幻']",[]
325,怦然星动,13万,295.48万,37.4,['2015-12-03'],['中国大陆'],"['喜剧', '爱情']"
326,微爱之渐入佳境,7.74万,271.73万,40.6,['2014-12-05'],['中国大陆'],"['剧情', '爱情']"
327,第七子：降魔之战,7.65万,225.98万,48.8,['2015-01-18'],['美国'],"['冒险', '奇幻']"
328,冈仁波齐,11.52万,325.75万,33.7,['2017-06-20'],['中国大陆'],['剧情']
329,反贪风暴2,14.74万,304.11万,36.1,['2016-09-15'],['中国大陆'],"['剧情', '动作', '犯罪']"
330,精灵旅社3：疯狂假期,13.3万,305.93万,35.7,['2018-08-17'],"['喜剧', '动画', '奇幻']",[]
331,疯狂外星人,7.87万,238.28万,45.5,['2015-04-24'],['美国'],"['动画', '冒险', '奇幻', '科幻']"
332,狄仁杰之神都龙王,4.77万,197.57万,54.9,['2013-09-28'],['中国大陆'],"['动作', '悬疑', '古装']"
333,看不见的客人,14.7万,338.85万,31.9,['2017-09-15'],['西班牙'],"['惊悚', '犯罪', '悬疑']"
334,地心引力,4.83万,192.94万,56,['2013-11-20'],['美国'],"['惊悚', '悬疑', '科幻']"
335,何以为家,31.94万,333.04万,32.4,['2019-04-29'],['中国大陆'],['剧情']
336,蓝精灵：寻找神秘村,13.93万,301.97万,35.7,['2017-04-21'],['美国'],"['动画', '家庭']"
337,明月几时有,9.82万,327.03万,32.8,['2017-07-01'],['中国大陆'],"['剧情', '战争', '历史']"
338,反转人生,11.73万,360.29万,29.4,['2017-06-30'],['中国大陆'],['喜剧']
339,荡寇风云,8.47万,323.67万,32.6,['2017-05-27'],['中国大陆'],"['动作', '战争', '传记', '历史']"
340,奇迹男孩,12.87万,332.27万,31.4,['2018-01-19'],"['剧情', '家庭']",[]
341,七月与安生,13.25万,281.41万,36.8,['2016-09-14'],['中国大陆'],"['剧情', '爱情']"
342,公牛历险记,11.75万,302.52万,34.2,[],[],[]
343,马达加斯加的企鹅,6.1万,225.19万,45.9,['100分钟'],"['喜剧', '动画', '冒险']",[]
344,北京遇上西雅图,5.73万,239.4万,43.1,['2013-03-21'],['中国大陆'],"['喜剧', '爱情']"
345,中国合伙人,6.31万,243.21万,42.5,['2013-05-17'],['中国大陆'],"['剧情', '喜剧']"
346,破风,10.73万,259.9万,39.6,['2015-08-07'],['中国大陆'],"['剧情', '爱情', '运动']"
347,毒。诫,8.45万,317.3万,32.4,['2017-05-12'],['中国大陆'],"['剧情', '动作', '犯罪', '传记']"
348,新娘大作战,7.65万,241.09万,42.3,['2015-08-20'],['中国大陆'],"['喜剧', '爱情']"
349,麻烦家族,8.43万,309.95万,32.8,['2017-04-28'],['中国大陆'],"['剧情', '喜剧', '家庭']"
350,海洋奇缘,13.79万,272.68万,37,['2016-11-25'],['美国'],"['喜剧', '动作', '动画', '冒险', '奇幻']"
名次,名称,场次,人次,票价,年份,国家,类型
351,爸爸去哪儿,5.45万,244.86万,40.8,['2014-01-31'],['中国大陆'],"['剧情', '家庭']"
352,阿唐奇遇,8.35万,312.71万,31.7,['98分钟'],"['动画', '冒险', '家庭']",[]
353,沉睡魔咒,4.83万,192.1万,51.5,['135分钟'],"['剧情', '动作', '冒险']",[]
354,降魔传,8.73万,276.8万,35.4,['2017-09-30'],['中国大陆'],"['喜剧', '奇幻']"
355,精灵旅社2,9.75万,219.31万,44.6,['2015-10-27'],['美国'],"['喜剧', '动画', '家庭']"
356,阿尔法：狼伴归途,12.02万,272.25万,35.7,['2018-09-07'],"['动作', '冒险']",[]
357,圆梦巨人,15.18万,247.07万,39.4,['2016-10-14'],['美国'],"['冒险', '家庭', '奇幻']"
358,复仇者联盟,3.68万,181.12万,53.5,['2012-05-05'],['美国'],"['动作', '冒险', '奇幻', '科幻']"
359,天气之子,17.04万,279.13万,34.6,['2019-11-01'],"['爱情', '动画', '奇幻']",[]
360,解忧杂货店,8.62万,289.25万,33.4,['2017-12-24'],['中国大陆'],"['剧情', '奇幻']"
361,春娇救志明,11.57万,258.2万,37.3,['2017-04-28'],['中国大陆'],"['剧情', '喜剧', '爱情']"
362,画皮II,4.07万,188.61万,51.1,['2012-06-28'],['中国大陆'],"['爱情', '动作', '惊悚', '奇幻']"
363,夏有乔木 雅望天堂,10.16万,257.66万,37.3,['2016-08-05'],"['中国大陆', '韩国']","['剧情', '爱情']"
364,疯狂原始人,4.51万,181.18万,52.8,['2013-04-20'],['美国'],"['喜剧', '动画', '冒险', '家庭']"
365,极限挑战,9.44万,252.04万,37.8,['2016-01-15'],['中国大陆'],"['喜剧', '悬疑']"
366,玩命速递：重启之战,8.54万,213.74万,44,['2015-11-20'],"['中国大陆', '法国']","['动作', '惊悚', '犯罪']"
367,谁的青春不迷茫,12.15万,252.36万,37.2,['2016-04-29'],['中国大陆'],['爱情']
368,危城,8.76万,216.34万,42.9,['2016-08-18'],['中国大陆'],"['动作', '古装', '武侠']"
369,赛车总动员3：极速挑战,10.57万,269.46万,34.3,['2017-08-25'],['美国'],"['喜剧', '动画', '冒险']"
370,猛虫过江,12.39万,284.84万,32.4,['2018-06-15'],['中国大陆'],"['喜剧', '动作']"
371,小飞象,12.2万,243.31万,37.9,['2019-03-29'],"['动画', '家庭', '奇幻']",[]
372,地球最后的夜晚,5.2万,229.54万,40.1,['2018-12-31'],['中国大陆'],"['剧情', '悬疑']"
373,分歧者3：忠诚世界,13.31万,246.54万,37.3,['2016-05-20'],['美国'],"['爱情', '动作', '冒险', '科幻']"
374,同桌的妳,6.39万,214.36万,42.5,['100分钟'],"['剧情', '爱情']",[]
375,绝命海拔,8.13万,183.82万,49.4,['2015-11-03'],"['美国', '英国']","['剧情', '惊悚', '冒险']"
376,爸爸去哪儿2,4.95万,229.32万,39.4,['2015-02-19'],['中国大陆'],"['家庭', '儿童', '真人秀']"
377,鲛珠传,7.17万,242.39万,37.1,['2017-08-04'],['中国大陆'],"['剧情', '喜剧', '动作', '奇幻']"
378,归来,6.66万,202.81万,44.2,['2014-05-16'],['中国大陆'],"['剧情', '爱情', '历史']"
379,新大头儿子和小头爸爸3：俄罗斯奇遇记,11.48万,251.73万,35.6,['2018-07-06'],['中国大陆'],"['冒险', '家庭', '奇幻']"
380,一条狗的使命2,23.16万,276.82万,32.1,['2019-05-17'],['中国大陆'],"['剧情', '喜剧', '家庭']"
381,爱乐之城,12.68万,242.54万,36.6,['2017-02-14'],"['美国', '中国大陆']","['剧情', '喜剧', '爱情', '歌舞']"
382,云中行走,8.81万,195.55万,45.1,['2016-01-22'],['美国'],"['剧情', '冒险', '传记']"
383,憨豆特工3,14.07万,279.72万,31.5,['2018-11-23'],"['喜剧', '动作', '冒险']",[]
384,狂兽,7.32万,248.28万,35.5,['2017-09-15'],['中国大陆'],"['剧情', '动作', '犯罪']"
385,罗小黑战记,19.1万,242.69万,36.3,['2019-09-12'],['中国大陆'],"['动作', '动画', '奇幻']"
386,警察故事2013,4.33万,162.91万,53.8,['2013-12-24'],['中国大陆'],"['喜剧', '动作', '犯罪']"
387,澳门风云,5.55万,208.61万,41.9,['2014-01-31'],['中国大陆'],"['剧情', '喜剧', '动作']"
388,比得兔,9.78万,278.58万,31.3,['2018-03-02'],"['喜剧', '动画', '冒险']",[]
389,王朝的女人：杨贵妃,7.83万,224.32万,38.8,['2015-07-30'],['中国大陆'],"['历史', '古装']"
390,沉睡魔咒2,15.07万,213.71万,40.5,['2019-10-18'],"['冒险', '奇幻']",[]
391,大话西游之大圣娶亲,15.01万,293.64万,29.5,['2017-04-13'],['中国大陆'],"['喜剧', '爱情', '动作']"
392,栀子花开2015,7.38万,226.03万,38.2,['2015-07-10'],['中国大陆'],"['剧情', '爱情']"
393,里约大冒险2,4.86万,164.14万,52.4,['100分钟'],"['喜剧', '动画', '冒险']",[]
394,一吻定情,8.87万,214.54万,39.9,['2019-02-14'],['中国大陆'],"['喜剧', '爱情']"
395,撒娇女人最好命,6.68万,213.55万,40,['2014-11-28'],['中国大陆'],"['喜剧', '爱情']"
396,环太平洋：雷霆再起,8.7万,245.15万,34.7,['2018-03-23'],"['动作', '冒险', '科幻']",[]
397,世纪战元,5.86万,251.13万,33.7,['2017-05-19'],['俄罗斯'],"['动作', '科幻']"
398,大师兄,10.42万,248.38万,34,['2018-08-24'],['中国大陆'],"['喜剧', '动作']"
399,黑衣人3,3.83万,162.57万,51.7,['2012-05-25'],['美国'],"['喜剧', '动作', '科幻']"
400,窃听风云3,6.19万,192.96万,43.6,['2014-06-03'],['中国香港'],"['惊悚', '犯罪']"
名次,名称,场次,人次,票价,年份,国家,类型
401,极盗车神,10.21万,276.36万,30.4,['2017-08-25'],"['美国', '英国']","['动作', '惊悚', '犯罪']"
402,超脑48小时,9.04万,201.08万,41.7,['2016-05-13'],"['美国', '英国']","['剧情', '动作', '惊悚', '犯罪', '悬疑']"
403,头脑特工队,6.17万,176.01万,47.4,['2015-10-08'],['美国'],"['喜剧', '动画', '冒险', '家庭']"
404,超人：钢铁之躯,3.88万,151.51万,54.9,['2013-06-20'],['美国'],"['动作', '冒险', '奇幻', '科幻']"
405,像素大战,10.05万,181.18万,45.9,['2015-09-15'],['美国'],"['喜剧', '动作', '科幻']"
406,冰雪奇缘,4.76万,159.5万,52.1,['2014-02-05'],['美国'],"['喜剧', '动画', '冒险']"
407,冰川时代4,4.43万,163.64万,50.7,['2012-07-27'],"['美国', '中国大陆']","['喜剧', '动画', '冒险']"
408,欧洲攻略,7.81万,229.44万,36.2,['2018-08-17'],['中国大陆'],"['喜剧', '爱情', '动作']"
409,谜城,7.55万,217.7万,38,['2015-07-30'],['中国大陆'],"['剧情', '动作', '犯罪']"
410,小小的愿望,15.77万,236.47万,34.9,['2019-09-12'],['中国大陆'],"['剧情', '喜剧']"
411,比利·林恩的中场战事,10.7万,203.28万,40.6,['2016-11-11'],"['美国', '中国大陆', '英国']","['剧情', '战争', '历史']"
412,嗝嗝老师,13.8万,261.85万,31.5,['2018-10-12'],"['剧情', '喜剧']",[]
413,万物生长,7.5万,209.12万,38.9,['2015-04-17'],['中国大陆'],"['剧情', '爱情']"
414,巴霍巴利王2：终结,9.58万,253.03万,31.9,['2018-05-04'],"['剧情', '动作', '冒险', '奇幻', '战争']",[]
415,追凶者也,10.5万,205.35万,39.1,['2016-09-15'],['中国大陆'],"['剧情', '喜剧', '犯罪', '悬疑']"
416,金陵十三钗,2.94万,169.81万,47.1,['2011-12-15'],['中国大陆'],"['爱情', '动作', '战争', '历史']"
417,大耳朵图图之美食狂想曲,7.02万,251.9万,31.7,['2017-07-28'],['中国大陆'],['动画']
418,猎神：冬日之战,8.62万,179.43万,44.4,['2016-04-22'],['美国'],"['剧情', '动作', '冒险', '奇幻']"
419,李雷和韩梅梅,8.02万,274.55万,28.9,['2017-06-09'],['中国大陆'],"['剧情', '喜剧', '爱情']"
420,帕丁顿熊,6.17万,196.94万,40.2,['2015-03-05'],"['英国', '法国']","['喜剧', '家庭']"
421,太平轮(上),5.72万,158.5万,49.8,['2014-12-02'],['中国大陆'],"['爱情', '战争', '灾难']"
422,胡桃夹子和四个王国,10.11万,220.9万,35.6,['2018-11-02'],"['动作', '冒险', '奇幻']",[]
423,厕所英雄,10.2万,247.97万,31.5,[],[],[]
424,马戏之王,9.4万,236.87万,33,['2018-02-01'],['剧情'],[]
425,金蝉脱壳2,9.92万,245.95万,31.6,['2018-06-29'],"['动作', '惊悚']",[]
426,密战,7.91万,245.46万,31.6,['2017-11-03'],['中国大陆'],"['剧情', '动作', '战争']"
427,驴得水,22.54万,224万,34.6,['2016-10-20'],['中国大陆'],"['剧情', '喜剧']"
428,速度与激情6,3.91万,179.04万,43.1,['2013-07-26'],['美国'],"['剧情', '动作', '惊悚', '犯罪']"
429,不可思异,8.78万,181.95万,42.2,['2015-12-04'],['中国大陆'],"['剧情', '喜剧', '奇幻', '科幻']"
430,水形物语,9.46万,239.38万,31.8,['2018-03-16'],"['剧情', '爱情', '奇幻']",[]
431,欢乐好声音,12.38万,199.89万,37.9,['2017-02-17'],['美国'],"['剧情', '喜剧', '动画']"
432,小时代,4.55万,182.8万,41.1,['2013-06-27'],['中国大陆'],"['剧情', '爱情']"
433,神探蒲松龄,5.78万,168.1万,44.5,['2019-02-05'],['中国大陆'],"['喜剧', '爱情', '动作', '奇幻']"
434,玩具总动员4,15.44万,187.9万,39.8,['2019-06-21'],['中国大陆'],"['喜剧', '动画', '奇幻']"
435,烟花,8.01万,254.46万,29.3,[],[],[]
436,二十二,9.73万,235.95万,31.5,['99分钟'],['纪录片'],[]
437,龙猫,12.3万,229.79万,32.3,['2018-12-14'],"['动画', '冒险', '奇幻']",[]
438,单身男女2,5.86万,183.17万,40.1,['2014-11-11'],['中国大陆'],"['剧情', '爱情']"
439,星际迷航：暗黑无界,4.11万,134.56万,54.4,['2013-05-28'],['美国'],"['动作', '冒险', '科幻']"
440,移动迷宫,5.87万,181.26万,40.4,[],[],[]
441,神偷奶爸2,3.97万,139.34万,52.5,['2014-01-10'],['美国'],"['喜剧', '动画', '冒险']"
442,催眠大师,5.61万,171.78万,42.3,['2014-04-29'],['中国大陆'],"['剧情', '惊悚', '悬疑']"
443,小门神,4.44万,164.66万,44,['2016-01-01'],['中国大陆'],"['喜剧', '动画', '奇幻']"
444,云南虫谷,7.67万,188.47万,38.4,['2018-12-29'],['中国大陆'],"['动作', '冒险', '奇幻']"
445,哆啦A梦：新·大雄的日本诞生,9.62万,202.26万,35.7,['2016-07-22'],['日本'],['动画']
446,机械战警,5.4万,140.61万,51.1,['2014-02-06'],['美国'],"['动作', '犯罪', '科幻']"
447,百鸟朝凤,9.33万,190.92万,37.7,['2016-05-06'],['中国大陆'],"['剧情', '音乐', '历史']"
448,人间·喜剧,8.44万,195.88万,36.7,['2019-03-29'],['中国大陆'],"['剧情', '喜剧']"
449,十八洞村,3.5万,223.07万,32.2,['2017-10-13'],['中国大陆'],['剧情']
450,名侦探柯南：业火的向日葵,7.95万,190.25万,37.6,['2015-10-23'],['日本'],"['动作', '动画', '冒险', '悬疑']"
名次,名称,场次,人次,票价,年份,国家,类型
451,黄飞鸿之英雄有梦,4.91万,149.53万,47.5,['2014-11-21'],['中国大陆'],"['剧情', '动作', '古装']"
452,非凡任务,11.46万,194.35万,36.5,['2017-04-01'],['中国大陆'],"['剧情', '动作', '犯罪']"
453,北京爱情故事,5.08万,164.8万,43,['2014-02-14'],['中国大陆'],"['剧情', '爱情']"
454,冲上云霄,4.13万,165.89万,42.4,['2015-02-19'],['中国大陆'],['剧情']
455,深海越狱,8.17万,227.05万,31,['2018-06-08'],['中国大陆'],"['动作', '冒险']"
456,雷神2：黑暗世界,3.67万,129.69万,54.1,['2013-11-08'],['美国'],"['动作', '冒险', '奇幻']"
457,傲娇与偏见,12.84万,227.03万,30.8,['2017-04-21'],['中国大陆'],"['喜剧', '爱情']"
458,睡在我上铺的兄弟,10.94万,192.6万,36.3,['2016-04-01'],['中国大陆'],"['剧情', '爱情']"
459,银魂,9.5万,227.51万,30.6,['2017-09-01'],['日本'],"['剧情', '喜剧', '动作', '冒险']"
460,夏目友人帐,14.12万,218.24万,31.7,['2019-03-07'],"['剧情', '动画', '奇幻']",[]
461,赛尔号大电影6：圣者无敌,7.81万,205.43万,33.3,['2017-08-18'],['中国大陆'],"['喜剧', '动画', '冒险', '奇幻', '儿童']"
462,新乌龙院之笑闹江湖,7万,205.56万,33.3,['2018-08-17'],['中国大陆'],"['喜剧', '动作']"
463,古田军号,4.34万,186.66万,36.6,[],[],[]
464,湮灭,8.51万,216.09万,31.4,['2018-04-13'],"['剧情', '惊悚', '科幻']",[]
465,惊天破,12.78万,177.43万,37.8,['2016-10-20'],['中国大陆'],"['剧情', '动作', '犯罪', '悬疑']"
466,但丁密码,19.43万,182.33万,36.4,['2016-10-28'],"['美国', '中国大陆', '日本', '匈牙利', '土耳其']","['惊悚', '悬疑']"
467,银翼杀手2049,7.16万,188.03万,35.2,['2017-10-27'],"['惊悚', '科幻']",[]
468,侏罗纪公园(3D),3.27万,126.01万,52.5,['2013-08-20'],['美国'],"['动作', '冒险', '科幻']"
469,佩小姐的奇幻城堡,8.84万,173.82万,37.8,['2016-12-02'],"['美国', '中国大陆']","['冒险', '奇幻']"
470,名侦探柯南：绀青之拳,12.28万,190.75万,34.3,['2019-09-13'],"['动画', '悬疑']",[]
471,分歧者2：绝地反击,5.7万,135.72万,47.9,['2015-06-19'],['美国'],"['爱情', '动作', '惊悚', '冒险', '科幻']"
472,决战中途岛,9.97万,173.02万,37.4,['2019-11-08'],"['剧情', '战争', '历史']",[]
473,一生一世,5.1万,162.32万,39.8,['120分钟'],"['剧情', '爱情']",[]
474,罗曼蒂克消亡史,18.61万,181.08万,35.7,['2016-12-23'],['中国大陆'],"['剧情', '动作', '悬疑']"
475,廉政风云,5.1万,142.18万,45.3,['2019-02-05'],['中国大陆'],"['剧情', '犯罪', '悬疑']"
476,抢红,5.7万,212.95万,30.2,['2017-05-19'],['中国大陆'],"['动作', '犯罪']"
477,暴力街区,3.9万,156.28万,40.9,['120分钟'],"['剧情', '动作', '犯罪']",[]
478,龙虾刑警,8.31万,194.2万,32.9,['2018-06-22'],['中国大陆'],"['喜剧', '动作', '犯罪']"
479,一念天堂,4.98万,169.72万,37.6,['2015-12-31'],['中国大陆'],"['剧情', '喜剧']"
480,明日世界,9.57万,158.22万,40.4,['2015-05-22'],['美国'],"['冒险', '悬疑', '科幻']"
481,闺蜜,3.96万,157.36万,40.4,['2014-07-30'],['中国大陆'],"['剧情', '爱情']"
482,007：大破天幕杀机,3.88万,151.1万,42,['2013-01-21'],"['美国', '英国']","['动作', '惊悚', '恐怖', '冒险']"
483,蝙蝠侠：黑暗骑士崛起,12,1565,40150.5,['2012-08-27'],['美国'],"['剧情', '动作']"
484,航海王之黄金城,10.81万,196.64万,31.7,['2016-11-11'],['日本'],"['剧情', '动作', '动画']"
485,双子杀手,8.82万,144.71万,43,['2019-10-18'],"['剧情', '动作', '科幻']",[]
486,高跟鞋先生,6.88万,171.48万,36.3,['2016-02-12'],['中国大陆'],"['喜剧', '爱情']"
487,博人-火影忍者剧场版,9.11万,166.47万,37.4,['2016-02-18'],['日本'],"['动作', '动画', '冒险']"
488,风暴,3.23万,115.28万,54,['2013-12-12'],['中国大陆'],"['动作', '犯罪']"
489,七十七天,6.95万,185.27万,33.5,['2017-11-03'],['中国大陆'],"['剧情', '冒险']"
490,天气预爆,7.68万,169.69万,36.6,['2018-12-21'],['中国大陆'],"['喜剧', '动作', '奇幻']"
491,十万个冷笑话2,8.41万,193.91万,32,['100分钟'],"['喜剧', '动画', '奇幻']",[]
492,常在你左右,6.56万,195.51万,31.5,['2017-10-27'],['中国大陆'],"['犯罪', '悬疑']"
493,幸福马上来,7.59万,188.3万,32.7,['2018-06-08'],['中国大陆'],['喜剧']
494,痞子英雄：黎明升起,3.66万,125.12万,49.1,['2014-10-01'],['中国大陆'],"['剧情', '动作']"
495,鲨滩,6.95万,143.95万,42.6,['2016-09-09'],"['美国', '中国大陆']","['剧情', '惊悚', '恐怖']"
496,海市蜃楼,10.13万,180.94万,33.8,[],[],[]
497,重返·狼群,6.18万,191.05万,31.8,['100分钟'],['纪录片'],[]
