名次,名称,场次,人次,票价,年份,国家,类型
57,碟中谍5：神秘国度,38.55万,1265.4万,42.3,['2015-09-08'],['美国'],"['动作', '惊悚', '冒险']"
58,功夫熊猫3,44.94万,1170.99万,45.6,['2016-01-29'],"['美国', '中国大陆']","['喜剧', '动作', '动画', '冒险', '家庭']"
59,煎饼侠,28.17万,1348.46万,39.5,['2015-07-17'],['中国大陆'],"['剧情', '喜剧']"
60,西游记之大圣归来,28.98万,1196.66万,44.4,['2015-02-19'],['中国大陆'],"['喜剧', '动作', '动画', '奇幻']"
61,唐人街探案,30.18万,1343.77万,38.7,['2015-12-31'],['中国大陆'],"['喜剧', '动作', '悬疑']"
62,变形金刚4：绝迹重生,13.69万,893.29万,56.9,['130分钟'],"['动作', '冒险', '科幻']",[]
63,盗墓笔记,34.15万,1135.76万,44.5,['2016-08-05'],['中国大陆'],"['冒险', '奇幻']"
64,叶问.,31.09万,1098.66万,45.8,['2016-03-04'],['中国大陆'],"['剧情', '动作', '历史']"
65,功夫瑜伽,36.37万,1274.08万,39.5,['2017-01-28'],['中国大陆'],"['喜剧', '动作', '冒险']"
66,猩球崛起：终极之战,42.43万,1380.45万,35.9,['2017-09-15'],['美国'],"['剧情', '动作', '冒险', '科幻']"
67,烈火英雄,61.64万,1315.69万,37.6,['2019-08-01'],['中国大陆'],['剧情']
68,阿丽塔：战斗天使,51.32万,1230.39万,39.8,['2019-02-22'],"['动作', '冒险', '科幻']",[]
69,异形：契约,39.61万,1534.75万,31.8,['2017-06-16'],"['惊悚', '冒险', '科幻']",[]
70,火星救援,29.27万,976.31万,49,['2015-11-25'],['美国'],"['动作', '冒险', '科幻']"
71,绝地逃亡,34.9万,1090.05万,43.8,['2016-07-21'],"['美国', '中国大陆']","['喜剧', '动作']"
72,速度与激情：特别行动,60.85万,1183.32万,40.1,['2019-08-23'],"['动作', '犯罪']",[]
73,超时空同居,57.41万,1411.65万,33.5,['2018-05-18'],['中国大陆'],"['喜剧', '奇幻']"
74,蜘蛛侠：英雄远征,65.33万,1237.02万,38.1,['2019-06-28'],['中国大陆'],"['动作', '冒险', '科幻']"
75,少年的你,55.75万,1205.16万,38.9,['2019-10-25'],['中国大陆'],"['剧情', '爱情']"
76,蜘蛛侠：英雄归来,41.37万,1300.67万,35.7,['2017-09-08'],['美国'],"['动作', '冒险', '奇幻', '科幻']"
77,京城81号2,30.93万,1285.37万,35.8,['2017-07-06'],['中国大陆'],"['剧情', '惊悚', '悬疑']"
78,比悲伤更悲伤的故事,58.33万,1418.47万,32.3,['2019-03-14'],['中国大陆'],['爱情']
