评论内容,评论时间,评论人等级,评论类型
那个啥能定制二维码嘛٩( ๑╹ ꇴ╹)۶[脸红],2021-12-20 01:11:14,5,评论
想累死师傅是吧[脸红],2021-12-20 09:48:29,5,回复
活是好活 话也是真的有点尬,2021-12-21 23:08:55,5,评论
过敏！过敏！过敏 ！重要的事说三遍！自己尝试的小伙伴一定要注意过敏问题,2022-01-02 19:30:51,5,评论
戒指器型本身很厚重 我更喜欢用饕餮纹 回字纹修饰,2021-12-24 12:09:21,3,评论
请问漆指的是什么是什么漆？,2021-12-20 08:02:53,3,评论
生漆吧，好多人会过敏,2021-12-20 08:37:55,6,回复
漆树的汁,2021-12-20 10:09:21,5,回复
漆指的大漆，由漆树受伤分泌出的汁液，一般产自陕西四川重庆湖北这几个省，但是生漆一般有强致敏性，症状类似湿疹，皮肤起泡瘙痒，甚至溃烂，一段时间接触后可以改善缓解。,2021-12-20 12:08:41,5,回复
那个珍珠放在上面看着很不舒服，真是很不舒服,2021-12-31 09:09:11,4,评论
这个是什么手工,2021-12-20 10:39:45,4,评论
漆器,2021-12-20 11:23:51,3,回复
请问戒指是木头材质吗？,2021-12-20 10:34:26,6,评论
整得挺好的，但实在尴尬，手工视频也不需要这么多大道理，毕竟大家找个班上总比看几分钟的短视频悟得多,2022-01-11 14:44:19,5,评论
来了[捂眼][调皮][星星眼][给心心][打call][笑哭],2021-12-20 21:25:27,5,评论
有点丑,2022-01-12 12:24:43,5,评论
这一个得多少米[微笑],2021-12-20 11:22:56,5,评论
要是我做的话我会卖中百元左右,2021-12-23 19:12:08,5,回复
这个不是很费时也没有贵重材料所以价格应该不会很贵,2021-12-23 19:12:50,5,回复
回复 @我错了wQw :嗯，主要是费工,2021-12-23 23:05:38,5,回复
螺钿,2021-12-20 22:51:53,5,评论
友情提示 字幕错了好几个字 下次细心一些啦,2021-12-20 02:13:33,4,评论
人间不值得，谢谢,2021-12-26 18:39:08,5,评论
👍,2021-12-23 00:12:04,4,评论
我删评了我一般评只保留2个小时,2021-12-20 21:59:39,3,评论
有创意👍🏻,2021-12-20 12:47:38,6,评论
帅气,2021-12-19 23:55:08,4,评论
