评论内容,评论时间,评论人等级,评论类型
当时家里人看新闻，我妈突然说有头鹿在开会[笑哭],2021-03-08 13:42:14,5,评论
哈哈哈哈哈哈哈哈哈哈哈哈,2021-03-08 14:12:28,5,回复
这就对了，毕竟这种帽子是用来伪装的[doge],2021-03-08 14:24:34,5,回复
回复 @正气明凝 :哈哈哈哈哈哈哈,2021-03-08 17:41:55,5,回复
为什么说傻狍子呢，因为正常的动物你突然扔个东西打它它会被吓跑，狍子虽然也跑，但它一会儿会回来瞅瞅是谁打的它[doge],2021-03-09 00:46:02,5,评论
可以带着狍子帽拍证件照吗？,2021-03-09 10:00:02,6,回复
回复 @青铜树丶凤求凰 :戴什么帽子都不能拍证件照,2021-03-09 11:52:29,6,回复
回复 @青铜树丶凤求凰 :正式场合需要的照片都是免冠照，帽子属于“冠”的[脱单doge],2021-03-09 23:00:27,5,回复
我想起大概二十年前下着雪的一天，我坐公交车去上学，看到有一个傻狍子在主干路中间，完全不在乎周围车水马龙，低着头犹豫一会，然后欢快的在双黄线两边来回横跳，四个不大点的小蹄子把刚落地的薄雪溅起来，就像踩着水花落入尘世的小精灵[喜极而泣],2021-03-08 14:56:38,6,评论
作协发来邀请[doge][doge],2021-03-08 15:58:51,4,回复
回复 @朽_-木 :哎，你怎么骂人呐,2021-03-08 16:55:00,5,回复
狍子，这种帽子如今已经被列入非物质文化遗产。[doge][doge][doge]偷国人没机会了[OK][嗑瓜子][吃瓜],2021-03-08 13:37:14,4,评论
偷国人:胡说，我可以发明历史，把它的起源变成我们韩国不就可以了！[滑稽],2021-03-08 13:42:50,5,回复
偷国人:狍子就我生的[doge],2021-03-08 14:24:57,5,回复
回复 @云霄皋兰 :毕竟具偷国人研究，霓虹人先祖也是源于偷国的。再给他们5年，就能发展到地球人就是源于偷国的。,2021-03-08 18:02:01,6,回复
为啥知道是狍子之后觉得这个帽子除了可爱之外，又多了几分睿智[doge][doge][doge][doge],2021-03-08 13:47:13,6,评论
