评论内容,评论时间,评论人等级,评论类型
没上头不知道啥样，上了头，一个字，绝,2021-08-21 20:21:02,5,评论
绝美，还有什么是您不会的?!啊啊啊啊想看您仿三星堆风格做头饰[星星眼],2021-08-19 22:05:42,5,评论
之前有做过一个三星堆的，可以翻一下,2021-08-19 23:37:03,6,回复
做过来自三星堆青铜古树灵感的头饰,2021-08-20 01:14:11,6,回复
感谢B站让我更加清楚地认识到我的手不是手[捂脸],2021-08-19 22:11:49,3,评论
高配版：雁鸿做的低配版：用易拉罐拉环做叶片[doge],2021-08-19 22:38:14,5,评论
呜呜呜打扰了看看文化输出现象超话吧[大哭]韩国越南一直在偷汉服啊[大哭]保护好我们的文化和我国文化啊[大哭]他们一直在给外国人洗脑🙏拜托拜托,2021-08-20 15:10:48,5,评论
原来这种金步摇的树枝是可以向后弯的，上头真的太好看了,2021-08-21 11:34:57,5,评论
本来我以为是戴后面呈发散状的[笑哭]是我肤浅了,2021-09-04 14:47:15,6,回复
回复 @狐面人心 :我开始还想着得梳个多大的发髻来hold这种夸张散开的步摇[喜极而泣],2021-11-03 23:07:19,6,回复
.      您   您  您             您您您您您您您您您您您您您                 您       您您            您您  您             您       您您           您您       您   您         您您           您您您您您您,2021-08-23 22:56:30,4,评论
这是汉族步摇呀，一些路人张口就说是慕容鲜卑的，拜托去博物馆看看吧，慕容鲜卑的步摇跟汉族的不一样，慕容鲜卑是帽冠形状的，汉族的步摇是花钿形态的，up主复原的是汉族步摇，这种形状的步摇汉代就有了。而且up主简介里都说了是北燕冯氏皇族的步摇了，一些人简介都不看，张口就说是慕容鲜卑的，无语了,2021-08-22 09:28:02,5,评论
不要乱定义，鲜卑人的牛头鹿角步摇和汉地的如出一辙。而且“花钿形态”是什么形态？,2021-09-10 17:43:40,4,回复
回复 @伯尔纳德 :【作者：扬之水，中国社科院文学研究所研究员】　　两汉魏晋南北朝时期流行于中原和南方的步摇花或简称步摇，与北方地区的步摇冠虽然系缀摇叶的做法相似，却是各有发展演变的线索。步摇花依然是女子首饰，大约只是把来自异域的摇叶移植到原有的簪钗中。后世“步摇”之名则沿续它本来的发展线索成为簪钗样式之一种，即簪首或钗首饰物有“步则摇动”之意趣的一类，并且随簪钗风格的演变而不断翻新。,2021-09-10 18:51:38,5,回复
回复 @伯尔纳德 :刚看过辽宁博物馆对这个步摇的介绍，还有史书记载，除了口音以外，还真的没有关系。,2021-09-19 11:45:38,4,回复
有现代的工具都这么复杂，古代的工匠能做出来这么漂亮的饰品也太厉害了,2021-08-22 02:07:10,6,评论
花丝镶嵌是一门传统的宫廷艺术，其工艺复杂而且繁琐，花丝工艺基本技法用八个字来概括即为：掐、填、堆、垒、织、编、攒、焊。,2021-08-19 22:26:38,5,评论
加个水印吧，对自己作品的保护。我们的汉服视频和古文化作品都被越南人搬运到了油管，汉服博主的短片MV，到河南卫视出的水下敦煌舞，还有那么多抖音国风视频，全被越南人加上越南字幕包装成越南人搬运到了youtude和脸书，播放量都是几十万和上百万，b站全搬空了，从来没用英文介绍过来源，外国人看见都说越南人好棒，越南文化好美，笑死我了，这群猴子偷起来比韩国人还疯狂。,2021-09-19 12:24:26,5,评论
单独看的时候觉得好丑，直到戴到模特头上才知道古人审美比我高级很多，不是一个层次。,2021-09-18 12:43:00,5,评论
豪华版金装九筒面具[doge][doge],2021-09-17 20:54:24,5,评论
我们滴思密达~,2021-09-15 11:41:28,5,评论
中国5000千年的文化底蕴不是盖的[给心心],2021-09-14 18:29:53,5,评论
好好看！！！,2021-09-14 00:31:30,5,评论
这应该是目前唯一一个除了电镀环节其他我的蹄子能拿下的东西了[笑哭],2021-09-10 15:15:30,5,评论
蒙曼老师有说过这种花冠是男款的，出土时是竖起来的，女款不确定,2021-09-05 02:58:53,3,评论
高中毕业后完全忘了电解池啥的,2021-08-30 14:52:07,4,评论
救命，连衣服的配色都是和古代一样的。[热词系列_吹爆],2021-08-24 12:18:15,5,评论
现在的手工区太恐怖了[tv_皱眉],2021-08-22 11:31:36,4,评论
造型真的好美。,2021-08-21 10:15:40,3,评论
稀饭[打call][打call][打call],2021-08-20 19:01:44,5,评论
好棒啊，做的好漂亮[打call],2021-08-20 17:16:13,4,评论
这东西比欧洲的王冠更好看,2021-08-20 14:31:48,5,评论
来啦～,2021-08-20 00:33:41,5,评论
以前还能模仿一下，这个连模仿都模仿不了[笑哭],2021-08-19 22:25:42,5,评论
淘宝没有买的，想摆着看，哪位姐妹知道有卖类似的吗,2021-08-19 22:21:58,5,评论
拼多多有。,2021-08-19 22:24:48,4,回复
回复 @安安稳稳的我 :搜到了，谢谢亲,2021-08-20 01:13:19,5,回复
锯得好圆润，学不来💔,2021-08-19 22:04:30,6,评论
太特别了，果断[热词系列_三连],2022-01-19 20:54:32,4,评论
美女子,2022-01-17 22:13:45,5,评论
是不是和长歌行里舅舅给长歌阿娘做的步摇很像,2022-01-06 00:49:52,5,评论
是的，这种花树冠摇叶装饰品就是从西域传来的,2022-02-26 16:40:53,6,回复
上头了真好看，一片片叶子就像长在头上一样,2021-12-21 20:47:07,5,评论
戴上后好美！！！,2021-10-28 01:33:28,5,评论
@辽宁省博物馆 快来看看宝藏！,2021-10-19 23:30:38,5,评论
尿凝,2021-09-22 11:33:02,5,评论
顶[支持],2021-09-22 01:56:07,6,评论
记得打码呀你懂得,2021-09-20 09:29:24,5,评论
在古代没有这些现代的东西是怎么做的呢？,2021-09-20 07:46:08,3,评论
对于首饰重镇来说，这些都是小儿科[喜极而泣],2021-09-20 06:34:58,4,评论
不是，就一个疑问，那个没有喷枪的年代，他们（金匠们）怎么焊这玩意的？,2021-09-20 04:44:45,6,评论
这个如果是真金白银一定很沉。。。今天试秀禾的头饰已经沉的不敢动脑袋了。,2021-09-19 17:52:58,6,评论
手工分区Ⅹ 潘家园分区√,2021-09-19 12:50:25,3,评论
大哥，硬！,2021-09-19 07:51:50,6,评论
终于等到了，想仿个缠花的[doge],2021-09-19 00:49:11,4,评论
我的妈，感动了,2021-09-18 07:40:23,5,评论
太美了！,2021-09-17 13:16:58,6,评论
单看：这啥啊，奇奇怪怪的戴头上：哇哦，好好看，好想要！！！,2021-09-16 23:47:25,5,评论
这是头饰？？？[思考]好脑壳,2021-09-16 23:24:49,6,评论
这个，抄，起来太难了。请给我，和我的同胞们一点时间，拜托了思密达！,2021-09-16 19:56:44,5,评论
原来是这样戴的，我以为是散开直接戴在头顶的呢,2021-09-16 18:08:55,5,评论
思密达？思密达！,2021-09-16 11:46:45,5,评论
这个头饰太漂亮了！！！！！！！！！！,2021-09-16 10:48:57,5,评论
太美了。,2021-09-16 09:58:55,5,评论
好看啊，这个冠，应该上链接[脱单doge],2021-09-16 07:44:36,5,评论
太美啦！,2021-09-16 01:42:19,5,评论
长歌行。,2021-09-15 12:38:52,5,评论
像有部剧的卫子夫,2021-09-15 11:36:58,4,评论
长歌母亲的簪子,2021-09-15 07:23:11,6,评论
和叙利亚那个冠还是什么的有点像，也是金的吊叶子[微笑],2021-09-15 01:51:36,4,评论
当年慕容氏先祖就是沉迷这个才改姓慕容的？[囧],2021-09-14 21:46:43,6,评论
美哭了，被这些技艺和美丽感动,2021-09-14 20:58:34,5,评论
我一直以为素纱褝衣是那种衣服的,2021-09-14 18:02:56,5,评论
太厉害了啊！！！！,2021-09-13 23:47:57,6,评论
走路晃动的声音真好听,2021-09-13 22:26:54,5,评论
我以为是放在脑后张开来，随风摆动的,2021-09-13 20:00:51,5,评论
原来这个头饰是这样戴的啊！好漂亮！,2021-09-11 16:32:42,4,评论
云鬓花妍金步摇,2021-09-10 21:10:06,4,评论
古人也太强了吧,2021-09-08 16:19:07,6,评论
我一直认为先秦时期和汉朝时期的汉服是最端庄大气的,2021-09-07 16:39:36,5,评论
绝绝子,2021-09-07 12:47:21,5,评论
以为现在的古装剧造型很夸张，没想到古代的装饰更不可思议[抠鼻],2021-09-04 13:43:04,5,评论
真金枝玉叶,2021-09-04 13:22:37,4,评论
这种要怎么戴呢[热词系列_知识增加],2021-09-04 11:04:59,5,评论
up用的电镀不是置换,2021-09-04 10:43:41,6,评论
看文物图的时候我还寻思什么人才能驾驭这样的头饰，现在我能理解了，原来是配合服装发型佩戴的，突然get到了这支步摇的美[脱单doge],2021-09-04 02:14:59,5,评论
好好看啊,2021-09-03 22:16:59,5,评论
看封面有点熟悉，在辽宁博物馆见过，还有金耳坠，很好看,2021-09-03 20:31:38,4,评论
好厉害的小姐姐！[支持],2021-09-03 20:09:43,5,评论
好厉害[支持]，好漂亮[爱心]。,2021-09-03 12:24:11,4,评论
看着看着眼泪就留了下来，是一种感动和骄傲吗[tv_难过],2021-09-03 11:42:47,5,评论
单纯物品展示的时候：这有啥好看的模特上头展示的时候：卧槽好美,2021-08-30 08:32:48,5,评论
太好看了[打call],2021-08-29 12:06:39,4,评论
！！！我好喜欢这个，小时候看美人心计的时候就注意到小皇后头上的这个头饰，从小记到大,2021-08-28 15:23:47,5,评论
錾（zan四声）子,2021-08-27 03:55:14,5,评论
您可太棒了！！！,2021-08-26 22:38:42,5,评论
棒子:我大寒冥国一定……[滑稽],2021-08-26 14:42:21,6,评论
