评论内容,评论时间,评论人等级,评论类型
"昨天有个up被我拉黑了，性别女，头像是一个嘴艺人，名字也是非常的EX,叫奇人匠心皮雕大师，我一上b站她就发一些负能量视频，永远都是一副卖惨的嘴脸，你不要拿我们的手工皮雕和外国名牌对比，中国最惨的网红，无人问津，直播间人数少的可怜，这么好看的包怎么就没人喜欢呢？别人投来的眼光不是异样的，而是羡慕的，日本欧洲手艺人的条件比起来，简直是小巫见大巫,搁着天天败坏手艺人名声我就纳了闷了，现在为了生活都做这么见不得人的事吗？我希望大家擦亮眼睛不要被这种人P了",2021-03-14 14:54:23,4,评论
被吐槽区up，说实话看你视频的乐子都在评论区,2021-02-25 13:17:21,6,评论
回复 @奧阿梨梨梨 :哈哈哈哈哈,2021-03-20 14:24:01,6,回复
口区，没钱吃饭？那买nm的包？[笑],2021-02-24 12:12:02,4,评论
回复 @作业要写完啊 :看了，被这些xxs都比她编的好的文案恶心吐了,2021-02-24 12:19:19,4,回复
看他的其他视频你就懂了,2021-02-24 12:15:41,5,回复
我还真的遇到过一个我闺蜜班上的女孩，为了买衣服……不吃饭……,2021-03-08 20:34:13,5,回复
[辣眼睛]这文案给你个取关加举报再来个屏蔽，我做的对不对[doge],2021-02-26 13:50:14,3,评论
你根本就没关注过[doge],2021-03-12 19:05:52,6,回复
太对了,2021-03-05 18:31:54,4,回复
这大姐，卖一个退一个，为了不麻烦她，大家都不要买了,2021-03-15 12:49:34,4,评论
good idea,2021-03-20 22:40:35,5,回复
"啥思想啊，先不说这是不是非遗，好不好看吧,这视频就像是说买你包的人都是些冲动消费的人,意思就是说你的包都不起时间的检验呗,脑子发热的人才会买对吗？买完立马后悔对吧？宣传自己可以，但是不要把实话不小心说出来了，自己间接证明了你这包不仅丑，还没啥收藏价值，您宣传自己都不会，自以为这个视频说明你的包做的好看，实际上却是证明你的包没有什么收藏价值，也经不起时间检验，第一眼看可能会喜欢上，但是长久的话只能在柜子底积灰，说明你的这些包适合冲动消费的人群，而且人家还会退回来，搞个这样的视频弄巧成拙，宣传自己都不会，搁这做啥包啊？你包丑的要死，文案和宣传更是弄巧成拙，蠢[辣眼睛][疑惑]",2021-02-25 23:36:31,4,评论
我就想问，这个up，我看了一段时间了，怎么感觉视频里面的包，总感觉，怎么老是这个啊，都没有别的创作的嘛？,2021-03-05 13:47:03,5,评论
所有人都是这个文案？绝了,2021-03-12 00:55:29,5,评论
我屏蔽了那么多次你的视频，为什么你的视频还出现在这个上面？怕不是我手机有问题，还是说你的包很欠？,2021-03-05 19:26:13,3,评论
你他娘的能不能滚,2021-03-12 16:53:10,6,评论
其实发制作过程，多想点新图案，也是很圈粉的，没必要编故事，很败好感……如果不是编的故事，那发一两个就行，没必要都发出来，会让人觉得是在抱怨[tv_皱眉],2021-03-12 01:30:09,5,评论
我想不明白为啥你有9000多粉丝,2021-02-26 22:07:58,4,评论
