评论内容,评论时间,评论人等级,评论类型
提个建议，B站不主打短视频，视频不用加速，就正常速度就行，方便有些人学习模仿，要是能加点重难点标记就更好了,2022-01-21 22:46:59,5,评论
赞同[OK],2022-01-22 08:03:37,4,回复
甘肃人来了，小建议：不用放这么慷慨激昂的bgm，不用开倍速，b站不主打短视频,2022-01-22 09:00:27,5,评论
是挺厉害的，就是有点抖音味XD，甘肃人牛牛牛💪,2022-01-23 12:26:04,5,评论
这bgm是真难听啊。,2022-01-23 11:39:30,5,评论
这标题起的，太看得起我了，三个小时估计都不可,2022-01-23 11:31:15,3,评论
这也太强了吧,2022-01-22 23:09:47,5,评论
不用加bgm就好了,2022-01-22 22:52:49,5,评论
成品截图，打开procreate开始描图，底稿get[OK],2022-01-22 22:07:02,5,评论
可以试试把图纸也附上，发起剪纸挑战！[虎年],2022-01-22 19:18:40,3,评论
啊啊！兰州鼓子也可以发嘛，求求啦！（不是像秦腔一样的效果，很像评弹）听了一次就爱上了，希望也可以发扬发扬,2022-01-22 17:57:38,6,评论
好厉害,2022-01-22 15:55:03,3,评论
没底稿真不是很好学……如果是手工教程就不要倍速了,2022-01-22 15:45:38,6,评论
现在关注，以后就是老粉[OK],2022-01-22 14:30:34,5,评论
就是说，如果真的想做教程视频就得适当简化一下，如果只是展示就展示……这属于标题党行为了吧。不过老师的剪纸是真不戳,2022-01-22 14:13:02,3,评论
太快了 我怀疑你不想教会我[大哭],2022-01-22 13:50:47,6,评论
点进去前我还以为我能学会,2022-01-22 13:27:50,5,评论
学会了，请问视频里这双手哪里领？,2022-01-22 12:35:08,6,评论
就那个旋，给我五分钟我都剪不出来[灵魂出窍],2022-01-22 12:26:06,5,评论
眼睛和脑子：会了手：你们在说啥[doge],2022-01-22 12:04:32,5,评论
up主能不能打个线稿,2022-01-22 11:44:16,3,评论
这才叫手啊，我身上这个顶多叫爪子。,2022-01-22 11:41:34,6,评论
最好再讲解下,2022-01-22 11:21:11,4,评论
就想问剪刀是什么牌子,2022-01-22 11:20:57,4,评论
这个剪刀怎么这么轻易就插进纸里了啊,2022-01-22 11:07:03,4,评论
太高估我的手了，哈哈哈哈[笑哭],2022-01-22 09:44:57,4,评论
这✂️这么丝滑吗？用的什么牌子[辣眼睛],2022-01-22 09:24:02,5,评论
咦～一看就学不会[笑哭][笑哭],2022-01-22 09:23:21,5,评论
简单，我可以完成第一步，特别的完美的完成第一步，剩下的宿命就在垃圾桶里了,2022-01-22 07:43:00,5,评论
[大哭][大哭][大哭]真的能教会我吗,2022-01-22 07:39:19,5,评论
这个bgm出戏😂,2022-01-22 07:24:59,5,评论
这不是教，这是展示,2022-01-22 00:00:48,4,评论
你确定我三分钟可以？！[笑哭],2022-01-21 23:45:13,3,评论
好厉害,2022-01-21 23:41:27,5,评论
不懂就问，这手上是长眼睛了吗？,2022-01-21 23:27:26,6,评论
试图,2022-01-21 23:19:46,6,评论
厉害厉害,2022-01-21 22:39:28,3,评论
支持一下,2022-01-21 22:30:30,4,评论
不申请世界文化遗产，很快韩国就偷去了申遗了,2022-01-21 22:11:54,6,评论
一看就会，一剪就废,2022-01-21 22:09:45,4,评论
我那剪刀戳进去，那纸绝对哗啦整个破,2022-01-21 21:19:29,4,评论
现在粉了以后就是老粉了[偷笑][歪嘴],2022-01-21 18:53:30,4,评论
厉害,2022-01-21 10:46:45,5,评论
我当第二个,2022-01-19 14:09:57,5,评论
一个粉丝,2022-01-19 14:09:47,5,评论
不描线，30分钟我都不见的能剪出个圆鼓鼓的虎头，有线稿就好了。。,2022-02-08 09:16:04,5,评论
我缺个尖头的剪刀✂️[喜极而泣][喜极而泣][喜极而泣],2022-02-03 16:13:41,5,评论
是up 的剪刀好还是up的手巧🤔,2022-02-02 14:44:29,3,评论
剪耳蜗前我真以为是个教学视频,2022-02-01 22:38:15,5,评论
这不是我能三分钟学会的,2022-02-01 16:50:14,5,评论
要人老命了,2022-01-30 22:59:05,4,评论
你以为是教学视频，其实是炫技视频[妙啊],2022-01-29 16:17:39,5,评论
给个花样,2022-01-28 11:19:58,5,评论
