评论内容,评论时间,评论人等级,评论类型
比如多一些讲解，或者再放一点展示细节的视频，太短看不够[喜欢],2021-10-11 13:35:04,4,回复
好的，之后我们会吸取大家的意见努力做更好的视频展示民族艺术,2021-10-11 19:11:02,6,回复
回复 @不偷懒的姚建萍 :谢谢老师！！！[给心心][给心心],2021-10-11 22:50:15,4,回复
老师千万别教给偷国人,2021-10-15 17:20:50,4,评论
说的对[tv_点赞],2021-10-27 08:56:06,4,回复
晶莹剔透的感觉，老师的水平[支持][支持],2021-10-11 13:20:04,4,评论
做的好棒！[爱心][爱心]老师记得加国旗水印，免得被外国人盗了,2021-10-11 22:38:03,6,评论
这副画骗过了我的眼睛[热词系列_知识增加],2021-10-11 20:49:53,5,评论
好厉害啊，老师最好打个水印或者国旗，有专门搬视频然后去声音再配音的偷国偷盗团，什么都偷,2021-10-15 13:39:10,6,评论
我擦，还以为看着鱼缸[辣眼睛],2021-10-11 16:31:51,5,评论
太美了,2021-10-11 12:58:24,5,评论
被偷国看见可不得了,2021-10-15 17:21:05,4,评论
点进来看鱼缸的，还想说这鱼缸真特别[tv_点赞],2021-10-22 20:11:00,4,评论
牛逼[支持],2021-10-13 06:17:17,5,评论
黑色的背景好漂亮，像是游在石潭里面,2021-10-11 21:14:27,4,评论
好看到胡言乱语，这幅作品在我心中就是永远的神,2022-01-03 20:42:47,5,评论
第一眼看上去，以为真的是金鱼🐟,2021-11-08 12:40:41,5,评论
卧槽，这么立体，这是非物资文化遗产了吧。,2021-11-04 20:50:08,5,评论
这一个得多少钱 我王多鱼想入手一个[墨镜],2021-10-27 13:40:10,5,评论
同问,2022-01-18 11:35:26,5,回复
沃日，好霁魃酷炫,2021-10-18 22:32:27,5,评论
这个很不错，我韩国人来了,2021-10-18 08:28:29,5,评论
太美了吧,2021-10-11 14:20:13,5,评论
麻麻，这鱼会飞,2022-01-19 23:16:36,5,评论
你好老师，可以发几个我能买的起吗[给心心]真的喜欢。看了您所有作品，感觉没一个我能买的起的[撇嘴],2021-12-25 22:23:02,4,评论
“心灵手巧”这个词只适用于中国人,2021-12-06 20:43:42,5,评论
胸有成竹,2021-11-24 16:13:29,4,评论
老师用的都是什么底料啊？为什么我绣几针就全是小孔孔？,2021-11-23 19:45:30,5,评论
绝了,2021-11-07 23:43:33,6,评论
太厉害了,2021-11-07 19:41:58,5,评论
这鱼怎么悬在半空中了[脱单doge],2021-11-07 19:22:37,5,评论
我建议 抽奖送评论区[藏狐],2021-11-07 15:31:59,5,评论
BGM居然是《要一起》。。,2021-11-06 23:53:51,5,评论
唯美，灵动,2021-11-06 00:41:24,3,评论
行行出状元啊,2021-11-05 16:23:28,5,评论
这个，鬼子应该很喜欢。,2021-11-05 16:19:23,6,评论
牛哇！,2021-11-05 16:13:43,5,评论
老师，加个小国旗吧，防止被偷,2021-11-05 00:15:36,5,评论
？？？？？？？？？？？？？？？？？？？？？？？这也太透了吧，像水晶里的细纹交织成的一样,2021-11-04 22:30:46,5,评论
厉害了,2021-11-04 16:59:33,6,评论
？？？？我直接怀疑我自己的眼睛,2021-11-04 13:55:20,5,评论
水印水印水印重要的事说三遍,2021-11-04 11:04:41,5,评论
皆若空游无所依[藏狐],2021-11-04 10:32:03,6,评论
古代刺绣之类挺适合作为美术课学习的东西[藏狐]，不过得看学校了,2021-11-03 22:06:09,6,评论
看看人家的手。。。。。。也有点年纪了，那个手真的十指纤纤,2021-11-03 19:40:38,5,评论
牛逼,2021-11-02 17:43:59,5,评论
好看，想学[鼓掌],2021-11-02 03:35:59,5,评论
眼睛还好吗？,2021-10-29 19:50:47,4,评论
苏绣的针是真的细，和温婉贤淑的江南女子一样,2021-10-29 14:34:50,4,评论
别让韩国偷走了,2021-10-29 09:13:59,5,评论
强,2021-10-27 20:28:27,5,评论
这也太仙太好看了吧,2021-10-27 18:53:41,6,评论
奈何本人没文化，卧槽俩字嘴边挂[Kizuna AI_震惊][Kizuna AI_震惊],2021-10-27 18:32:23,5,评论
这也太秀了[酸了],2021-10-27 14:57:57,5,评论
我以为把活鱼绣上去一样立体,2021-10-26 22:48:26,5,评论
苏绣好好看,2021-10-26 22:46:01,4,评论
太厉害了[Cat2_CatAMail],2021-10-26 22:23:37,5,评论
小心棒子,2021-10-26 20:25:59,5,评论
我学会了,2021-10-26 16:59:53,6,评论
太强了。,2021-10-26 16:08:35,5,评论
很美啊！若是绣在我衣上，那是最好。,2021-10-26 11:05:27,5,评论
很像冷军画油画照片的那种艺术气息。特别逼真。,2021-10-26 04:35:17,5,评论
不要被外国人学去啊 要传承好,2021-10-25 13:22:40,5,评论
这个尾巴好好看！,2021-10-24 19:59:23,5,评论
好棒[给心心],2021-10-24 10:04:04,4,评论
[打call][打call][打call],2021-10-23 18:36:56,6,评论
水印水印水印！！！！小心被盗呀！,2021-10-23 15:30:23,6,评论
我还以为是活的…,2021-10-22 08:09:46,5,评论
[热词系列_燃起来了],2021-10-21 23:44:53,5,评论
喜欢啊啊啊啊不小心点到一星了，超级喜欢的,2021-10-21 22:07:30,6,评论
好牛,2021-10-21 13:49:38,5,评论
好牛哇天哪,2021-10-21 12:09:54,4,评论
真漂亮啊！这个多少钱啊，有木有猫图的想买个？,2021-10-21 11:44:48,5,评论
要不是封面说明了，我以为是什么高科技扁平设计的鱼缸[雪未来_击掌],2021-10-21 11:44:53,6,评论
我去我以为是鱼缸,2021-10-21 01:25:56,4,评论
好厉害[打call],2021-10-21 01:01:41,5,评论
大师，记得打码啊，会被偷国人偷的[笑哭][笑哭][笑哭],2021-10-20 22:40:28,4,评论
神乎其技[点赞],2021-10-20 20:14:26,5,评论
想学，哪里可以学呢,2021-10-20 10:15:17,4,评论
姚老师牛逼,2021-10-20 07:06:36,6,评论
我们的大师都是国宝级！,2021-10-19 23:15:52,3,评论
潮绣拍马也赶不上,2021-10-19 21:56:26,6,评论
