评论内容,评论时间,评论人等级,评论类型
中国也是有奢侈品的只是一般人买不起,2021-12-30 09:50:16,5,评论
感觉外国的搞定什么完全没有中国的云锦苏绣蜀绣之类的有技术含量,2021-12-31 18:36:30,6,回复
回复 @好像有什么地方不对 :那你就是根本不了解了[藏狐]溢价是有，但是好的高定是建立在精细的材料，设计师的创造力和手工工艺上的，不管哪一个方面都绝对具有所谓的技术含量，不然走下神坛倒闭消失了的品牌大把大把的,2022-01-01 14:18:00,6,回复
果然啊！外国的奢饰品适合暴发户，中国的奢饰品才是真正意义上的奢饰品！一般人想看都看不到啊！,2022-01-01 03:28:00,6,评论
但又觉得可悲唉、外国奢侈品宣传广、很多人都知道、但中国的奢侈品宣传力度真的太小了、很多工期还长、一般人可以不拥有、只希望还能看到、更多人看到[委屈],2022-01-02 03:01:05,5,回复
回复 @康乃馨小姐 :奢侈品感觉就不能工业化量化，我们国家很多失传技艺就是奢侈品级别的东西，受不起工业文化冲击，也没有意识到这些东西没了就真的没了。,2022-01-04 13:02:34,6,回复
上次看到像水墨画一样的真金鱼，又刷到像真金鱼一样的假金鱼[思考],2021-12-31 10:05:46,5,评论
水墨文鱼吧，那个真的超漂亮超好看，简直代表了古代文人的对水墨的最高审美，等我有钱有闲一定整一对来养,2022-01-01 18:55:40,3,回复
青水蓝文鱼！上次见到真的惊艳到了，我一直觉得中国画是写意，第一次觉得那个鱼是写实画的！,2022-01-06 15:12:43,5,回复
回复 @小印度西安上分时刻 :一对也花不了多少钱，现在渔场为了腾地方，鱼都便宜，快买,2022-02-27 13:03:04,4,回复
好家伙，我以为是真的，因为我一直有看金鱼的视频[笑哭],2021-12-31 12:17:53,5,评论
你喜欢金鱼啊？,2021-12-31 18:33:51,6,回复
回复 @小时候在宫里长大 :我喜欢云养动物[doge]，金鱼也还好，就有一些胖乎乎的特别可爱，还有一些配色跟水墨画一样,2021-12-31 19:15:19,5,回复
这位老师在B站有账号的：不偷懒的姚建萍[OK],2022-01-01 12:08:04,6,评论
这段还是剪辑的姚老师原视频,2022-01-06 00:10:11,5,回复
贴个原视频:BV12v411g727,2022-01-12 15:18:32,6,回复
皆若空游无所依,2021-12-28 22:50:06,6,评论
搞个后现代的名头，全息绣[doge][doge][doge],2022-01-02 16:00:06,6,评论
视频放个国旗打个码比较好，怕被偷[笑哭][笑哭],2022-01-11 19:05:48,6,评论
背景音乐快给我送走了,2022-01-01 11:09:08,6,评论
皆若空游无所依,2021-12-31 17:48:30,5,评论
漂亮,2021-12-27 20:31:22,5,评论
好家伙，皆若空游无所依,2022-01-10 12:52:12,6,评论
加水印啊,2022-01-01 13:24:50,4,评论
这是在什么面料上秀的啊，好神奇，感觉金鱼像在空中一样,2022-01-20 10:38:35,5,评论
栩栩如生[保卫萝卜_哇],2022-01-22 15:41:08,5,评论
不要去韩国交流啊…,2022-01-06 10:48:31,5,评论
被韩国剽窃注册没有,2022-01-02 09:48:42,5,评论
南棒子學不了就先申遺再來偷,2022-01-02 01:13:01,5,评论
小心韩国人,2022-01-01 20:22:32,5,评论
好看！！！！！,2022-01-11 22:41:50,3,评论
背景怎么做到看起来像没有的。就像真的在游,2022-01-06 19:50:34,6,评论
中国的奢侈品只不过是不能带在身上走出门去罢了。,2022-01-06 00:50:45,5,评论
我草封面以为是真的,2022-01-03 13:06:53,6,评论
我还以为鱼是真的[喜极而泣],2022-01-02 11:34:34,3,评论
不想了解[doge]买不起,2022-01-01 22:30:59,5,评论
我没点进来还以为这是真鱼，苏绣是一个地方，真是神了,2022-01-01 18:42:55,5,评论
姚老师在B站有账号的,2022-01-01 17:38:23,5,评论
【不偷懒的姚建萍的个人空间-哔哩哔哩】 https://b23.tv/QGS6LIH,2022-01-01 17:39:35,5,回复
太厉害了,2022-01-01 16:37:38,5,评论
这能让我们看到，真的是荣幸之至,2021-12-31 23:47:54,4,评论
厉害,2021-12-30 20:52:49,5,评论
真的好漂亮,2021-12-30 13:00:43,6,评论
太漂亮了,2022-01-24 03:40:14,5,评论
我去，封面我还以为是真的鱼,2022-01-23 20:50:48,5,评论
姚老师真厉害！！,2022-01-23 10:29:49,5,评论
外国的奢侈品挤挤就能买，中国的一辈子都不能见几次,2022-01-22 17:42:57,5,评论
只针对我们这样的普通人,2022-01-22 17:43:42,5,回复
过于离谱，我看封面以为是参照物，结果是成品,2022-01-22 17:19:12,6,评论
这是艺术，别特么自降身价说是奢侈品，你会把莫奈的睡莲说成奢侈品吗？,2022-01-22 13:31:24,6,评论
[星星眼],2022-01-22 12:42:58,2,评论
我以为是真的(´◑д◐｀),2022-01-22 12:24:35,5,评论
看封面我还以为是像苏绣的真金鱼[惊讶],2022-01-21 21:35:43,5,评论
苏州人骄傲了,2022-01-21 19:24:20,4,评论
我以为在鱼缸前[藏狐],2022-01-20 19:07:42,3,评论
这鱼好像在空气中游动我天,2022-01-19 23:40:45,5,评论
[点赞][点赞][点赞][点赞][点赞][点赞][点赞],2022-01-19 11:18:30,5,评论
不是，你给我发这个，到底哪里能买啊？有链接吗？（虽然我不一定买得起,2022-01-19 01:57:18,5,评论
给个价让我死心,2022-01-18 21:46:39,5,评论
老师，好有气质,2022-01-16 20:06:37,2,评论
苏绣，四大名绣之首,2022-01-16 11:01:56,5,评论
一开始我还在想这鱼咋还在天上飞，定睛一眼才发现是绣的,2022-01-15 10:09:26,3,评论
哇，太美了～,2022-01-14 22:56:45,5,评论
好像收藏,2022-01-14 09:11:52,5,评论
好美,2022-01-14 09:11:31,5,评论
韩国棒子秀得东西前几天还敢拿出来馅，真的没眼看他们的,2022-01-11 23:34:04,3,评论
老师带的这个镯子，好家伙[酸了],2022-01-11 18:06:08,5,评论
皆若空游无所依,2022-01-11 14:10:37,5,评论
我还说这人干嘛捏人家鱼的尾巴[笑哭],2022-01-11 10:27:21,5,评论
我趣！好好看啊[给心心],2022-01-10 23:54:59,4,评论
嘿，很抱歉打断你🤚耽误您20秒时间如果可以的话请你点进去看看这位父亲@15花开    关注一下河南南阳二中的校园恶劣事件也许你的这一眼就会让真相大白拜托了（转）,2022-01-10 15:04:41,4,评论
“潭中鱼百许头，皆若空游无所依”[原神_哇],2022-01-10 12:42:55,5,评论
可以拿去国外卖肯定卖很高,2022-01-08 13:34:12,5,评论
姚老师在b站有号，搜名字能找到,2022-01-07 21:33:27,5,评论
绣在空气上的，不接受辩驳,2022-01-07 21:30:21,3,评论
空游无所依。,2022-01-07 21:09:29,5,评论
太棒了，看着有点想学,2022-01-07 19:16:50,5,评论
我没点进来之前以为是绣在空气上，想想觉得不可能，应该是绣在玻璃上[捂脸]原来是布,2022-01-07 19:01:03,5,评论
这个好漂亮,2022-01-07 18:17:37,6,评论
妙啊，养这种鱼，不用换水，不用投食，还不担心会死掉，值得拥有。,2022-01-07 16:25:13,5,评论
金鱼在空气中游动[支持],2022-01-07 15:39:41,5,评论
卧槽！！！,2022-01-06 21:16:16,5,评论
音乐太阴间，你随便找首古琴的乐曲都行啊,2022-01-06 19:10:23,6,评论
点进来之前我以为套路是一个金鱼是真的 一个是假的  没想到啊[喜极而泣],2022-01-06 14:47:53,6,评论
用透明的布绣的吧,2022-01-06 14:24:49,5,评论
建议视频再高清一点就更好啦,2022-01-05 20:11:17,5,评论
看封面以为是真的，原来真的有这种绣的和真的一样的刺绣啊，涨见识了，以前一直以为是小说里的夸张描写来着[哦呼],2022-01-05 01:10:51,5,评论
好厉害,2022-01-04 23:04:49,5,评论
我大受震撼[支持],2022-01-04 15:37:00,6,评论
价格贵,2022-01-04 13:22:27,5,评论
姚老师b站有账号，好多作品都惊为天人,2022-01-04 06:09:13,6,评论
皆若空游无所依,2022-01-03 20:40:32,5,评论
牛,2022-01-03 18:12:31,5,评论
希望能工业化让人人都可以穿。,2022-01-03 13:47:09,6,评论
一定要传下去 老师,2022-01-02 21:51:40,6,评论
点进来我以为是活的…,2022-01-02 18:47:56,6,评论
太厉害了,2022-01-02 16:28:16,5,评论
卧槽活灵活现,2022-01-02 11:29:17,5,评论
牛啊,2022-01-02 00:30:25,5,评论
哇,2022-01-01 20:50:56,6,评论
完全超出了想象,2022-01-01 20:33:27,5,评论
看封面还以为是人站在鱼缸后面,2022-01-01 20:17:15,6,评论
老师在B站有号的@不偷懒的姚建萍 ，大家可以多多关注哦[打call],2022-01-01 18:46:15,6,评论
说个价格让我死心,2022-01-01 18:22:44,6,评论
栩栩如生,2022-01-01 17:47:23,6,评论
天，要是有一个这样的作品让我出去装逼就好了[吃瓜],2022-01-01 15:16:26,5,评论
厉害啊！！,2022-01-01 13:33:01,3,评论
皆若空游无所依,2022-01-01 13:05:29,4,评论
活灵活现啊,2022-01-01 12:25:08,5,评论
哇,2022-01-01 10:08:40,4,评论
皆若空游无所依,2022-01-01 02:29:50,6,评论
好牛好牛[打call],2022-01-01 00:02:54,5,评论
真厉害。,2021-12-31 18:34:02,6,评论
真厉害。,2021-12-31 18:34:02,6,评论
等我退休，我想去学苏绣,2021-12-31 18:24:22,6,评论
退休👀都不好使了能绣好？[请吃红小豆吧！_倒地],2021-12-31 22:19:21,5,回复
回复 @圆噔哚 :不会那么不好使吧(ﾟДﾟ≡ﾟдﾟ)!?,2022-01-02 00:54:29,6,回复
顾绣？,2022-03-10 22:23:10,3,评论
韩国人开始偷苏绣了还是我们国内去教的教的,2022-02-26 18:39:11,5,评论
