评论内容,评论时间,评论人等级,评论类型
[热词系列_三连],2021-10-13 00:33:31,3,回复
过程也可以更具体些,2021-10-13 00:32:36,3,回复
好好看 我也学过我刻过小猫，很可爱(｡･ω･｡)ﾉ♡,2021-10-12 18:43:01,5,评论
谢谢,2021-10-12 14:55:11,4,评论
希望大家可以互相宣传～不要有事联合宣传无事禁止同性恋爱,2021-10-30 00:04:25,5,评论
……？？？,2021-10-13 01:56:47,5,评论
火龙果们快看！！,2022-01-18 15:15:53,2,评论
民间艺术，好配[喜欢][喜欢][喜欢],2021-12-24 18:46:10,4,评论
好厉害,2021-12-10 18:52:59,4,评论
这个有教程吗,2021-11-28 17:03:28,5,评论
[给心心],2021-11-26 23:48:48,4,评论
[打call][打call],2021-11-24 15:31:36,5,评论
👍,2021-11-24 15:31:42,5,评论
好看,2021-11-24 07:41:04,5,评论
我不后悔，我学过剪纸,2021-11-20 19:45:30,2,评论
卧槽 好厉害 好棒,2021-11-14 13:45:22,6,评论
好耶！双厨狂喜！,2021-11-08 21:51:04,4,评论
双厨狂喜[哈哈],2021-11-07 12:39:26,4,评论
记得第一次剪纸是在小学的时候。那时候每周末我们一些学生都回去老师家学画画，每次画完一幅画如果还有剩余的时间，她就会带我们做些小手工或者其他的，第一次剪纸也是老师教的，剪了一个大公鸡，剪纸真的很考验耐心和细心，但是真的好好玩。看到剪纸就是满满的回忆，因为现在老师不教画画了,2021-11-07 08:41:19,2,评论
好厉害[天官赐福_彩虹屁],2021-11-06 23:46:22,5,评论
成品呢？成品呢？？？看到最后就是想看看成品，你居然不放？！[生气][难过],2021-11-06 20:54:54,3,评论
哇，爱了,2021-11-06 15:38:52,5,评论
双厨狂喜了😭,2021-11-06 13:55:24,3,评论
冲冲冲太棒啦！双厨狂喜！,2021-11-06 13:41:20,4,评论
哇,2021-11-06 12:45:26,4,评论
啊啊啊啊啊啊！！！天官,2021-11-06 11:12:44,4,评论
好漂亮呀,2021-11-06 02:49:33,3,评论
哪里能买呢[给心心],2021-11-06 01:15:52,4,评论
