标题,时长,up粉丝数,分类,点赞,投币,收藏,转发,播放量,弹幕量,评论数
假如世界禁止熬夜,1:18,77.3万,B站小剧场 搞笑 情感 娱乐 生活记录 熬夜 生活 搞笑,15.3万,2415,8991,3464,1720251,603,911
试吃康师傅老坛酸菜面，就是这个味儿【懂点儿啥】,8:94,125.5万,知识分享官 懂点儿啥 黑心酸菜 酸菜 康师傅 315 老坛酸菜 董佳宁 知识 社科·法律·心理,24.0万,16.1万,2.4万,5764,2459709,34929,11398
夜店式自习,2:09,5.7万,校园整活大王 蹦迪 学习 高能 校园 呆瓜哥 生活 日常,16.6万,2.3万,3.8万,3.3万,1678295,1058,1595
怪起来了,12:09,806.4万,万物皆可游戏 独立游戏 搞笑 中国BOY 游戏视频 单机 游戏 单机游戏,7.9万,1.9万,1.3万,3288,687656,9160,3112
无人机最强光绘,0:29,4.5万,摄影 无人机光绘 光绘摄影 知识 野生技能协会,10.0万,2651,2.6万,3835,965012,208,566
激战画面！车臣部队在与亚速营高楼枪战中 救援出被困乌克兰儿童,0:89,66.1万,关注俄乌局势最新进展 环球 环球网 资讯 环球,9.5万,2038,8313,7010,1362145,1812,4644
百大游戏UP跟他的四个破绽兄弟,7:35,,电子竞技 游戏视频 娱乐 开黑 王者荣耀UP主激励计划 第五期 游戏 电子竞技,10.7万,1.4万,4557,1555,892568,2097,1507
“当你撑不住时，看看星爷是怎么坚持的！加油啊，年轻人！”,3:82,7444,UP影剧综指南·剧好看 吴孟达 周星驰 影视剪辑 UP影剧综指南 星爷 励志 奋斗 人生 梦想 正能量 影视 影视剪辑,6.2万,2.2万,2.6万,4296,996526,1250,1730
赌两个币，这40分钟能抵上你看1000个装修视频！,42:11,4.5万,居家生活小妙招 装修 家居 瓷砖 空调 装修设计 水电 门窗 硬装 泥工 生活改造计划·第二期 生活 家居房产,3.9万,4.1万,8.5万,6091,470018,1817,644
【那些令人难忘的BOSS战】第42集·艾尔登法环·篇01,21:46,101.1万,奋起吧褪色者们 单机游戏 主机游戏 娱乐 黑魂 steam 艾尔登法环 奋起吧褪色者 ps5 寻找艾尔登法环 游戏 单机游戏,5.8万,3.7万,1.4万,2980,706765,7270,2637
当你为自己取得的一点点成绩而沾沾自喜时,0:45,59.1万,搞笑研究所 搞笑研究所2.0 生活 搞笑,11.1万,3317,3690,910,1318951,187,615
【王老菊】环王立后传 | 艾尔登法环EP.12,167:48,246.8万,艾尔登法环攻略 新人 老头环 寻找艾尔登法环 游戏 单机游戏,4.7万,5.4万,1.5万,1241,578576,30225,4359
男朋友因为找不到工作开始深夜emo，我直接头笑掉哈哈哈哈哈哈哈哈！！,2:26,4968,吐槽那些迷惑行为 西安找工作 找工作 打卡挑战 深夜emo 跟着UP主创作吧（第三期） 生活 日常,7.3万,9257,1.3万,3.0万,1972921,4816,5222
【搞笑】这一波叫过河拆桥,1:03,23.5万,B站小剧场 短片 短剧 生活 搞笑,11.4万,218,4949,153,825644,126,91
吃了十年老坛酸菜牛肉面，我竟被恶心到干呕！,5:99,122.8万,美食UP主真是什么都有呢 泡面 开箱 美食 方便面 美食vlog 白象 速食 美食测评 老坛酸菜 我在B站做UP主 美食 美食测评,9.2万,9137,4202,1388,1243021,5205,4213
就凭白象，也想打败老坛酸菜？酸菜杀不死统一康师傅，野性消费也救不了白象【商战】,11:04,41.4万,社会观察局 财经 社会 方便面 速食 商业 康师傅 酸菜 315 老坛酸菜 知识 社科·法律·心理,8.3万,8375,5592,1228,1125240,12865,8389
不同学生春游,2:37,174.4万,搞笑研究所 搞笑 幽默 学校 生活 反转 学生 春天在哪里 春游 沙雕 搞笑研究所2.0 生活 搞笑,20.3万,1672,8407,1231,2828711,2586,1208
蠢萌4足机器人,3:88,10.1万,科技猎手 黑科技 野生技术协会 技术宅 DIY 3D打印 极客 发明创造 科技 极客DIY,8.3万,2.9万,2.0万,2403,1410274,1776,1398
心🔪如🔪刀🔪割,1:69,260.6万,鬼畜星探企划 原创歌曲 鬼畜 原创曲 自制 东百往事 虎哥 二次元刀哥 沈阳大街 鬼畜 鬼畜调教,7.6万,2.0万,1.5万,6979,1210473,769,2480
某塌房明星在德国卖废瓶就为一顿豪华晚饭,4:47,41.1万,干饭人晚餐分享 美食 搞笑 生活 VLOG 外国人 金牌美食制作人 美食 美食记录,9.9万,3320,5788,772,1067149,2095,984
“这人长啥样你甭管，演戏是真牛逼”,3:09,8611,影视万话镜 黄渤 影视混剪 必剪创作 混剪 电影剪辑 疯狂的石头 斗牛 心花怒放 演技 杀生 影视 影视剪辑,25.4万,2440,1.6万,670,2828172,1529,1140
光 头 计 划 !,1:41,104.2万,搞笑 搞笑视频 幽默 逗比 生活 沙雕 生活 日常,10.3万,4554,3091,2664,1130679,1291,1574
