片名,地区,评分,上映时间
"人之怒 Wrath of Man",美国/英国,6.8,2021-05-10(中国大陆)/2021-04-22(俄罗斯)/2021-05-07(美国)
"亲爱的房客 親愛的房客",中国台湾,7.5,2020-10-23(中国台湾)/2021-02-18(中国台湾网络)/2020-07-04(台北电影节)
"女生要革命 Moxie",美国,7.6,2021-03-03(美国)
"刺杀小说家",中国大陆,6.7,2021-02-12(中国大陆)
"GIVEN 被赠与的未来 剧场版 映画 ギヴン",日本,8.1,2020-08-22(日本)
"较量2 ദൃശ്യം 2",印度,7.5,2021-02-19(印度网络)
"从邪恶中拯救我 다만 악에서 구하소서",韩国,7.2,2020-08-05(韩国)
"缉魂 緝魂",中国大陆/中国台湾,6.9,2021-01-15(中国大陆)/2021-01-29(中国台湾)/2021-01-08(大规模点映)
"姜子牙",中国大陆,6.7,2020-10-01(中国大陆)
"所言所行 Les choses qu’on dit, les choses qu’on fait",法国,7.7,2020-09-16(法国)
"行骗天下JP：公主篇 コンフィデンスマンJP プリンセス編",日本,7.3,2020-07-23(日本)
"曼克 Mank",美国,7.4,2020-11-13(美国)/2020-12-04(美国网络)
"乡下人的悲歌 Hillbilly Elegy",美国,7.6,2020-11-11(韩国点映)/2020-11-24(美国网络)
"命运理发师 Mandela",印度,7.5,2021-04-04(印度)
"鲍勃的圣诞礼物 A Christmas Gift From Bob",英国,7.5,2020-11-06(英国网络)
"咱们裸熊：电影版 We Bare Bears: The Movie",美国,7.5,2020-06-30(美国)
"埃舍尔街的红色邮筒 エッシャー通りの赤いポスト",日本,7.7,2020-10-04(日本)
"爱与怪物 Love and Monsters",美国,7.2,2020-10-16(美国)
"奥斯陆 Oslo",美国,7.5,2021-05-29(美国)
"倒霉性爱，发狂黄片 Babardeală cu bucluc sau porno balamuc",罗马尼亚/卢森堡/捷克/克罗地亚,7.2,2021-03-03(柏林国际电影节)
"一点就到家",中国大陆,6.7,2020-10-04(中国大陆)
