片名,地区,评分,上映时间
"雪人奇缘 Abominable",美国/中国大陆,7.2,2019-10-01(中国大陆)/2020-08-14(中国大陆重映)/2019-09-07(多伦多电影节)/2019-09-27(美国)
"兰心大剧院",中国大陆,7.3,2019-09-04(威尼斯电影节)
"明日家族 あしたの家族",日本,7.7,2020-01-05(日本)
"正义的慈悲 Just Mercy",美国,7.7,2019-09-06(多伦多电影节)/2019-12-25(美国点映)/2020-01-10(美国)
"米纳里 Minari",美国,7.3,2020-01-26(圣丹斯电影节)/2021-02-12(美国)/2021-02-26(美国网络)
"第一头牛 First Cow",美国,7.6,2019-08-30(特柳赖德电影节)/2020-07-10(美国)
"叶问4：完结篇 葉問4：完結篇",中国大陆/中国香港,6.9,2019-12-20(中国大陆)
"基督圣体 Boże Ciało",波兰,7.7,2019-09-02(威尼斯电影节)/2019-10-11(波兰)
"温蒂妮 Undine",德国/法国,7.4,2020-02-23(柏林电影节)/2020-06-11(德国)
"知晓天空之蓝的人啊 空の青さを知る人よ",日本,7.6,2019-10-11(日本)
"中国机长",中国大陆,6.7,2019-09-30(中国大陆)
"白箱剧场版 劇場版 SHIROBAKO",日本,8.2,2020-02-29(日本)
"爱玛 Emma.",英国,7.3,2020-02-14(英国)/2020-02-21(美国)
"信使 The Courier",英国/美国,7.3,2020-01-24(圣丹斯电影节)/2021-03-19(美国)/2021-05-17(英国)
"分租 Sublet",以色列/美国,7.8,2020-04-15(翠贝卡电影节)
"双子杀手 Gemini Man",美国/中国大陆,6.9,2019-10-18(中国大陆)/2019-09-25(布达佩斯首映)/2019-10-11(美国)
"金属之声 Sound of Metal",比利时/美国,7.4,2019-09-06(多伦多电影节)/2020-11-20(美国)/2020-12-04(美国网络)
"天衣无缝的她 감쪽같은 그녀",韩国,7.6,2019-12-04(韩国)
"勇者斗恶龙 你的故事 ドラゴンクエスト ユア・ストーリー",日本,7.8,2019-08-02(日本)
"热气球飞行家 The Aeronauts",英国/美国,7.2,2020-11-13(中国大陆)/2019-08-30(特柳赖德电影节)/2019-09-08(多伦多电影节)/2019-11-06(英国)
"伯纳黛特你去了哪 Where'd You Go, Bernadette",美国,7.5,2019-08-16(美国)
"被光抓走的人",中国大陆,6.9,2019-12-13(中国大陆)
"惊天营救 Extraction",美国,7.1,2020-04-24(美国)
"火口的两人 火口のふたり",日本,7.1,2019-08-23(日本)
"海绵宝宝音乐剧：舞台直播 The SpongeBob Musical: Live on Stage!",美国,9.0,2019-12-07(美国)
"翻译疑云 Les Traducteurs",法国/比利时,7.2,2019-11-23(佛朗哥乌兹克电影节)/2020-01-29(法国)
"若能与你共乘海浪之上 きみと、波にのれたら",日本,7.1,2019-12-07(中国大陆)/2019-06-21(日本)
"肖申克的救赎 The Shawshank Redemption",美国,9.7,1994-09-10(多伦多电影节)/1994-10-14(美国)
"霸王别姬",中国大陆/中国香港,9.6,1993-07-26(中国大陆)/1993-01-01(中国香港)
"阿甘正传 Forrest Gump",美国,9.5,1994-06-23(洛杉矶首映)/1994-07-06(美国)
"美丽人生 La vita è bella",意大利,9.6,2020-01-03(中国大陆)/1997-12-20(意大利)
"千与千寻 千と千尋の神隠し",日本,9.4,2019-06-21(中国大陆)/2001-07-20(日本)
"泰坦尼克号 Titanic",美国/墨西哥/澳大利亚/加拿大,9.4,1998-04-03(中国大陆)/1997-11-01(东京电影节)/1997-12-19(美国)
"这个杀手不太冷 Léon",法国/美国,9.4,1994-09-14(法国)
"辛德勒的名单 Schindler's List",美国,9.5,1993-11-30(华盛顿首映)/1994-02-04(美国)
"忠犬八公的故事 Hachi: A Dog's Tale",美国/英国,9.4,2009-06-13(西雅图电影节)/2010-03-12(英国)
"盗梦空间 Inception",美国/英国,9.3,2010-09-01(中国大陆)/2020-08-28(中国大陆重映)/2010-07-16(美国)
"控方证人 Witness for the Prosecution",美国/英国,9.5,1982-12-04(美国)
"楚门的世界 The Truman Show",美国,9.3,1998-06-05(美国)
"星际穿越 Interstellar",美国/英国/加拿大,9.3,2014-11-12(中国大陆)/2020-08-02(中国大陆重映)/2014-11-07(美国)
"海上钢琴师 La leggenda del pianista sull'oceano",意大利,9.3,2019-11-15(中国大陆)/1998-10-28(意大利)
"疯狂动物城 Zootopia",美国,9.2,2016-03-04(中国大陆/美国)/2020-07-24(中国大陆重映)
"无间道 無間道",中国香港,9.3,2003-09-05(中国大陆)/2002-12-12(中国香港)
"放牛班的春天 Les choristes",法国/瑞士/德国,9.3,2004-10-16(中国大陆)/2021(中国大陆重映)/2004-03-17(法国)
"机器人总动员 WALL·E",美国,9.3,2008-06-27(美国)
"三傻大闹宝莱坞 3 Idiots",印度,9.2,2011-12-08(中国大陆)/2009-12-25(印度)
"触不可及 Intouchables",法国,9.3,2011-11-02(法国)
"末代皇帝 The Last Emperor",英国/意大利/中国大陆/法国,9.3,1987-10-04(东京国际电影节)/1987-10-23(意大利)
"大话西游之大圣娶亲 西遊記大結局之仙履奇緣",中国香港/中国大陆,9.2,2014-10-24(中国大陆)/2017-04-13(中国大陆重映)/1995-02-04(中国香港)
"熔炉 도가니",韩国,9.3,2011-09-22(韩国)
"龙猫 となりのトトロ",日本,9.2,2018-12-14(中国大陆)/1988-04-16(日本)
"指环王3：王者无敌 The Lord of the Rings: The Return of the King",美国/新西兰,9.3,2004-03-12(中国大陆)/2021-05-14(中国大陆重映)/2003-12-17(美国)
"教父 The Godfather",美国,9.3,1972-03-15(纽约首映)/1972-03-24(美国)
"寻梦环游记 Coco",美国,9.1,2017-11-24(中国大陆)/2020-07-20(中国大陆重映)/2017-11-22(美国)
"怦然心动 Flipped",美国,9.1,2010-07-26(好莱坞首映)/2010-09-10(美国)
"素媛 소원",韩国,9.3,2013-10-02(韩国)
"活着",中国大陆/中国香港,9.3,1994-06-30(中国香港)/1994-05-17(戛纳电影节)
"我不是药神",中国大陆,9.0,2018-07-05(中国大陆)/2018-06-30(大规模点映)
"大闹天宫",中国大陆,9.4,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)
"当幸福来敲门 The Pursuit of Happyness",美国,9.1,2008-01-17(中国大陆)/2020-07-20(中国大陆重映)/2006-12-15(美国)
"十二怒汉 12 Angry Men",美国,9.2,1997-08-17
"蝙蝠侠：黑暗骑士 The Dark Knight",美国/英国,9.2,2008-07-14(纽约首映)/2008-07-18(美国)
"何以为家 كفرناحوم",黎巴嫩/美国/法国/塞浦路斯/卡塔尔/英国,9.1,2019-04-29(中国大陆)/2018-05-17(戛纳电影节)/2018-09-20(黎巴嫩)
"哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone",美国/英国,9.1,2002-01-26(中国大陆)/2020-08-14(中国大陆重映)/2001-11-04(英国首映)/2001-11-16(美国)
"摔跤吧！爸爸 Dangal",印度,9.0,2017-05-05(中国大陆)/2016-12-23(印度)
"乱世佳人 Gone with the Wind",美国,9.3,1939-12-15(亚特兰大首映)/1940-01-17(美国)
"少年派的奇幻漂流 Life of Pi",美国/中国台湾/英国/加拿大,9.1,2012-11-22(中国大陆)/2012-09-28(纽约电影节)/2012-11-21(美国)
"鬼子来了",中国大陆,9.3,2000-05-12(戛纳电影节)/2002-04-27(日本)
"海蒂和爷爷 Heidi",德国/瑞士,9.2,2019-05-16(中国大陆)/2015-12-10(德国)
"哈尔的移动城堡 ハウルの動く城",日本,9.1,2004-09-05(威尼斯电影节)/2004-11-20(日本)
"猫鼠游戏 Catch Me If You Can",美国/加拿大,9.1,2003-04-11(中国大陆)/2002-12-16(洛杉矶首映)/2002-12-25(美国)
"天空之城 天空の城ラピュタ",日本,9.1,1992-05-01(中国大陆)/1986-08-02(日本)
"大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒",中国香港/中国大陆,9.0,2014-10-24(中国大陆)/1995-01-21(中国香港)
"指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring",新西兰/美国,9.1,2002-04-04(中国大陆)/2021-04-16(中国大陆重映)/2001-12-19(美国)
"钢琴家 The Pianist",英国/法国/波兰/德国/美国,9.2,2002-05-24(戛纳电影节)/2002-09-25(法国)
"飞屋环游记 Up",美国,9.0,2009-08-04(中国大陆)/2009-05-13(戛纳电影节)/2009-05-29(美国)
"绿皮书 Green Book",美国/中国大陆,8.9,2019-03-01(中国大陆)/2018-09-11(多伦多电影节)/2018-11-16(美国)
"闻香识女人 Scent of a Woman",美国,9.1,1992-12-23(美国)
"指环王2：双塔奇兵 The Lord of the Rings: The Two Towers",美国/新西兰,9.1,2003-04-25(中国大陆)/2021-04-23(中国大陆重映)/2002-12-05(纽约首映)/2002-12-18(美国)
"天堂电影院 Nuovo Cinema Paradiso",意大利/法国,9.2,2021-06-11(中国大陆)/1988-11-17(意大利)
"摩登时代 Modern Times",美国,9.3,1936-02-25(美国)
"茶馆",中国大陆,9.5,1982
"辩护人 변호인",韩国,9.2,2013-12-18(韩国)
"让子弹飞",中国大陆/中国香港,8.9,2010-12-16(中国大陆)
"教父2 The Godfather: Part Ⅱ",美国,9.2,1974-12-12(纽约首映)/1974-12-20(美国)
"窃听风暴 Das Leben der Anderen",德国,9.2,2006-03-23(德国)
"情书 Love Letter",日本,8.9,1999-03(中国大陆)/2021-05-20(中国大陆重映)/1995-03-25(日本)
"罗马假日 Roman Holiday",美国,9.0,1953-08-20(威尼斯电影节)/1953-09-02(美国)
"穿条纹睡衣的男孩 The Boy in the Striped Pajamas",英国/美国,9.1,2008-09-12(英国)/2008-11-07(美国)
"死亡诗社 Dead Poets Society",美国,9.1,1989-06-02(多伦多首映)/1989-06-09(美国)
"小鞋子 بچههای آسمان",伊朗,9.2,1997-02-01(曙光旬国际电影节)/1999-01-22(美国)
"忠犬八公物语 ハチ公物語",日本,9.2,1987-08-01(日本)
"饮食男女 飲食男女",中国台湾/美国,9.1,1994-08-03(美国)
"音乐之声 The Sound of Music",美国,9.1,1965-03-02(美国)
"美国往事 Once Upon a Time in America",美国/意大利,9.2,1984-02-17(波士顿首映)/1984-09-28(意大利)
"黑客帝国 The Matrix",美国,9.0,1999-03-31(美国)
"美丽心灵 A Beautiful Mind",美国,9.0,2001-12-13(加州首映)/2002-01-04(美国)
"寄生虫 기생충",韩国,8.8,2019-05-21(戛纳电影节)/2019-05-30(韩国)
"完美的世界 A Perfect World",美国,9.1,1993-11-24(美国)
"天书奇谭",中国大陆,9.2,1983(中国大陆)
"西西里的美丽传说 Malèna",意大利/美国,8.9,2000-10-27(意大利)
"横空出世",中国大陆,9.4,1999-12-12(中国大陆)
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",英国,9.1,1998-08-28(英国)
"阿凡达 Avatar",美国,8.8,2010-01-04(中国大陆)/2021-03-12(中国大陆重映)/2009-12-18(美国)
"飞越疯人院 One Flew Over the Cuckoo's Nest",美国,9.1,1975-11-19(美国)
"看不见的客人 Contratiempo",西班牙,8.8,2017-09-15(中国大陆)/2016-09-23(奇幻电影节)/2017-01-06(西班牙)
"灿烂人生 La meglio gioventù",意大利,9.4,2003-06-22
"拯救大兵瑞恩 Saving Private Ryan",美国,9.0,1998-11-13(中国大陆)/1998-07-24(美国)
"无人知晓 誰も知らない",日本,9.1,2004-05-13(戛纳电影节)/2004-08-07(日本)
"背靠背，脸对脸",中国大陆/中国香港,9.4,1994-09-10(多伦多电影节)
"本杰明·巴顿奇事 The Curious Case of Benjamin Button",美国,8.9,2008-12-25(美国)
"搏击俱乐部 Fight Club",美国/德国/意大利,9.0,1999-09-10(威尼斯电影节)/1999-10-15(美国)
"哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2",美国/英国,8.9,2011-08-04(中国大陆)/2011-07-15(美国)
"城市之光 City Lights",美国,9.3,1931-01-30(洛杉矶首映)/1931-03-07(美国)
"布达佩斯大饭店 The Grand Budapest Hotel",美国/德国/英国,8.9,2014-02-06(柏林电影节)/2014-03-28(美国)
"请以你的名字呼唤我 Call Me by Your Name",意大利/法国/巴西/美国/荷兰/德国,8.9,2017-01-22(圣丹斯电影节)/2017-11-24(美国)
"沉默的羔羊 The Silence of the Lambs",美国,8.9,1991-02-14(美国)
"喜剧之王 喜劇之王",中国香港,8.8,1999-02-13(中国香港)
"七武士 七人の侍",日本,9.3,1954-04-26(日本)
"小森林 夏秋篇 リトル・フォレスト 夏・秋",日本,9.0,2014-08-30(日本)
"心灵捕手 Good Will Hunting",美国,8.9,1997-12-05(美国)
"一一",中国台湾/日本,9.1,2017-07-28(中国台湾)/2000-05-14(戛纳电影节)/2000-12-16(日本)
"致命魔术 The Prestige",英国/美国,8.9,2006-10-17(罗马电影节)/2006-10-20(美国)
"低俗小说 Pulp Fiction",美国,8.9,1994-05-12(戛纳电影节)/1994-10-14(美国)
"头号玩家 Ready Player One",美国,8.7,2018-03-30(中国大陆)/2018-03-11(西南偏南电影节)/2018-03-29(美国)
"7号房的礼物 7번방의 선물",韩国,8.9,2013-01-23(韩国)
"哪吒闹海",中国大陆,9.1,1979-05-19(中国大陆)
"小森林 冬春篇 リトル・フォレスト 冬・春",日本,9.0,2015-02-14(日本)
"加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl",美国,8.8,2003-11-21(中国大陆)/2003-07-09(美国)
"萤火之森 蛍火の杜へ",日本,8.9,2011-09-17(日本)
"红辣椒 パプリカ",日本,9.0,2006-09-02(威尼斯电影节)/2006-11-25(日本)
"一个叫欧维的男人决定去死 En man som heter Ove",瑞典,8.9,2015-12-25(瑞典)
"功夫",中国大陆/中国香港,8.7,2004-12-23(中国大陆/中国香港)/2015-01-15(中国大陆3D)/2004-09-14(多伦多电影节)
"唐伯虎点秋香 唐伯虎點秋香",中国香港,8.7,1993-07-01(中国香港)
"被嫌弃的松子的一生 嫌われ松子の一生",日本,8.9,2006-05-27(日本)
"杀人回忆 살인의 추억",韩国,8.9,2003-05-02(韩国)
"超脱 Detachment",美国,8.9,2011-04-25(翠贝卡电影节)
"哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban",英国/美国,8.8,2004-09-10(中国大陆)/2004-05-31(英国)
"禁闭岛 Shutter Island",美国,8.8,2010-02-13(柏林电影节)/2010-02-19(美国)
"我是山姆 I Am Sam",美国,9.0,2001-12-03(美国)
"蝴蝶效应 The Butterfly Effect",美国/加拿大,8.8,2004-01-23(美国)
"幽灵公主 もののけ姫",日本,8.9,1997-07-12(日本)
"东京物语 東京物語",日本,9.2,1953-11-03(日本)
"十二怒汉（电视版） Studio One: Twelve Angry Men",美国,9.5,1954-09-20(美国)
"超能陆战队 Big Hero 6",美国,8.7,2015-02-28(中国大陆)/2020-07-31(中国大陆重映)/2014-10-23(东京电影节)/2014-11-07(美国)
"我爱你 그대를 사랑합니다",韩国,9.1,2011-02-17(韩国)
"爱在日落黄昏时 Before Sunset",美国/法国,8.9,2004-02-10(柏林电影节)/2004-07-30(美国)
"莫娣 Maudie",爱尔兰/加拿大,9.1,2016-09-02(特柳赖德电影节)/2017-08-04(爱尔兰)
"南海十三郎",中国香港,9.3,1997-05-15(中国香港)
"玩具总动员3 Toy Story 3",美国,8.9,2010-06-16(中国大陆)/2010-06-18(美国)
"七宗罪 Se7en",美国,8.8,1995-09-22(美国)
"春光乍泄 春光乍洩",中国香港/日本/韩国,8.9,1997-05-30(中国香港)/1997-05-17(戛纳电影节)
"小偷家族 万引き家族",日本,8.7,2018-08-03(中国大陆)/2018-05-13(戛纳电影节)/2018-06-08(日本)
"生活多美好 It's a Wonderful Life",美国,9.3,1946-12-20(纽约首映)
"菊次郎的夏天 菊次郎の夏",日本,8.8,2020-09-25(中国大陆)/1999-05-20(戛纳电影节)/1999-06-05(日本)
"时空恋旅人 About Time",英国,8.8,2013-09-04(英国)
"剪刀手爱德华 Edward Scissorhands",美国,8.7,1990-12-06(美国)
"未麻的部屋 Perfect Blue",日本,9.0,1997-08-05(加拿大奇幻电影节)/1998-02-28(日本)
"釜山行 부산행",韩国,8.6,2016-05-13(戛纳电影节)/2016-07-20(韩国)
"爱在黎明破晓前 Before Sunrise",美国/奥地利/瑞士,8.8,1995-01-27(美国)
"重庆森林 重慶森林",中国香港,8.8,1994-07-14(中国香港)
"致命ID Identity",美国,8.8,2003-04-25(美国)
"侧耳倾听 耳をすませば",日本,8.9,1995-07-15(日本)
"勇敢的心 Braveheart",美国,8.9,1995-05-18(西雅图电影节)/1995-05-24(美国)
"第六感 The Sixth Sense",美国,8.9,1999-08-06(美国)
"新世界 신세계",韩国,8.9,2013-02-21(韩国)
"疯狂原始人 The Croods",美国,8.7,2013-04-20(中国大陆)/2013-02-15(柏林电影节)/2013-03-22(美国)
"教父3 The Godfather: Part III",美国,8.9,1990-12-25(美国)
"卢旺达饭店 Hotel Rwanda",英国/南非/意大利,8.9,2004-09-11(多伦多电影节)/2005-03-04(英国)
"风之谷 風の谷のナウシカ",日本,8.9,1992-05(中国大陆)/1984-03-11(日本)
"蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises",美国/英国,8.8,2012-08-27(中国大陆)/2012-07-20(美国)
"哈利·波特与密室 Harry Potter and the Chamber of Secrets",美国/英国/德国,8.7,2003-01-24(中国大陆)/2002-11-15(英国/美国)
"断背山 Brokeback Mountain",美国/加拿大,8.8,2005-09-02(威尼斯电影节)/2006-01-06(加拿大)/2006-01-13(美国)
"甜蜜蜜",中国香港,8.9,2015-02-13(中国大陆)/1996-11-02(中国香港)
"惊魂记 Psycho",美国,9.0,1960-06-16(纽约首映)/1960-09-08(美国)
"天使爱美丽 Le fabuleux destin d'Amélie Poulain",法国/德国,8.7,2001-04-25(法国)/2001-08-16(德国)
"倩女幽魂",中国香港/中国台湾,7.7,1960-08-17(中国香港)
"芙蓉镇",中国大陆,9.2,1987-03-05(中国大陆上海首映)
"血战钢锯岭 Hacksaw Ridge",澳大利亚/美国,8.7,2016-12-08(中国大陆)/2016-09-04(威尼斯电影节)/2016-11-04(美国)
"新世纪福音战士剧场版：Air/真心为你 新世紀エヴァンゲリオン劇場版 Air/まごころを、君に",日本,9.4,1997-07-19(日本)
"绿里奇迹 The Green Mile",美国,8.9,1999-12-10(美国)
"驯龙高手 How to Train Your Dragon",美国,8.7,2010-05-14(中国大陆)/2010-03-18(俄罗斯)/2010-03-26(美国)
"傲慢与偏见 Pride & Prejudice",法国/英国/美国,8.7,2005-09-16(英国)
"三块广告牌 Three Billboards Outside Ebbing, Missouri",美国/英国,8.7,2018-03-02(中国大陆)/2017-09-04(威尼斯电影节)/2017-12-01(美国)
"消失的爱人 Gone Girl",美国,8.7,2014-09-26(纽约电影节)/2014-10-03(美国)
"东京教父 東京ゴッドファーザーズ",日本,9.0,2003-11-08(日本)
"神偷奶爸 Despicable Me",美国/法国,8.6,2010-06-20(莫斯科电影节)/2010-07-09(美国)
"阳光姐妹淘 SUNNY 強い気持ち・強い愛",日本,8.3,2018-08-31(日本)
"上帝之城 Cidade de Deus",巴西/法国,9.0,2002-05-18(戛纳电影节)/2002-08-30(巴西)
"阳光灿烂的日子",中国大陆/中国香港,8.8,1995-08-21(中国大陆)/1995-06-28(中国香港)/1994-09-09(威尼斯电影节)
"幸福终点站 The Terminal",美国,8.8,2005-01-14(中国大陆)/2004-06-18(美国)
"借东西的小人阿莉埃蒂 借りぐらしのアリエッティ",日本,8.8,2010-07-17(日本)
"大鱼 Big Fish",美国,8.8,2003-12-04(纽约首映)/2004-01-09(美国)
"入殓师 おくりびと",日本,8.9,2021-04(中国大陆)/2008-09-13(日本)
"爱在午夜降临前 Before Midnight",美国/希腊,8.8,2013-06-14(美国)
"黄金三镖客 Il buono, il brutto, il cattivo.",意大利/西班牙/西德,9.2,1966-12-23(意大利)
"名侦探柯南：贝克街的亡灵 名探偵コナン ベイカー街の亡霊",日本,9.0,2002-04-20(日本)
"高山下的花环",中国大陆,9.3,1985-11-07(中国香港)
"遥望南方的童年",中国大陆,9.3,2007
"被解救的姜戈 Django Unchained",美国,8.8,2013-05-12(中国大陆)/2012-12-25(美国)
"海街日记 海街diary",日本,8.8,2015-05-14(戛纳电影节)/2015-06-13(日本)
"怪兽电力公司 Monsters, Inc.",美国,8.7,2001-11-02(美国)/2012-12-19(美国)
"玛丽和马克思 Mary and Max",澳大利亚/美国,8.9,2009-01-15(圣丹斯电影节)/2009-04-09(澳大利亚)
"雨中曲 Singin' in the Rain",美国,9.0,1952-04-11(美国)
"沉静如海 Le silence de la mer",法国/比利时,9.2,2004-10-25(法国)
"复仇者联盟4：终局之战 Avengers: Endgame",美国,8.5,2019-04-24(中国大陆)/2019-04-26(美国)
"喜宴 囍宴",中国台湾/美国,8.9,1993-02(柏林电影节)/1993-08-04(美国)
"波西米亚狂想曲 Bohemian Rhapsody",英国/美国,8.7,2019-03-22(中国大陆)/2018-11-02(美国)
"黑客帝国3：矩阵革命 The Matrix Revolutions",美国,8.8,2003-11-05(美国/中国大陆)
"荒蛮故事 Relatos salvajes",阿根廷/西班牙,8.8,2014-05-17(戛纳电影节)/2014-08-21(阿根廷)
"你看起来好像很好吃 おまえうまそうだな",日本,8.9,2010-10-16(日本)
"达拉斯买家俱乐部 Dallas Buyers Club",美国,8.8,2013-09-07(多伦多电影节)/2013-11-22(美国)
"英雄本色",中国香港,8.7,2017-11-17(中国大陆)/1986-08-02(中国香港)
"头脑特工队 Inside Out",美国,8.7,2015-10-06(中国大陆)/2015-06-19(美国)
"牯岭街少年杀人事件 牯嶺街少年殺人事件",中国台湾,8.9,1991-07-27(中国台湾)
"魔女宅急便 魔女の宅急便",日本,8.7,1989-07-29(日本)
"恐怖直播 더 테러 라이브",韩国,8.7,2013-07-31(韩国)
"地球上的星星 Taare Zameen Par",印度,8.9,2007-12-21(印度)
"哈利·波特与火焰杯 Harry Potter and the Goblet of Fire",英国/美国,8.6,2005-11-18(中国大陆)/2005-11-06(英国)
"模仿游戏 The Imitation Game",英国/美国,8.7,2015-07-21(中国大陆)/2014-11-14(英国)/2014-12-25(美国)
"纵横四海 緃横四海",中国香港,8.8,1991-02-02(中国香港)
"房间 Room",爱尔兰/加拿大/英国/美国,8.8,2015-09-04(特柳赖德电影节)/2015-10-23(多伦多)/2016-01-15(爱尔兰/英国)/2016-01-22(美国)
"遗愿清单 The Bucket List",美国,8.7,2007-12-25(多伦多电影节)/2008-01-11(美国)
"谍影重重3 The Bourne Ultimatum",美国/德国,8.8,2007-11-15(中国大陆)/2007-08-03(美国)
"你的名字。 君の名は。",日本,8.4,2016-12-02(中国大陆)/2016-08-26(日本)
"爆裂鼓手 Whiplash",美国,8.7,2014-01-16(圣丹斯电影节)/2014-10-10(美国)
"无敌破坏王 Wreck-It Ralph",美国,8.7,2012-11-06(中国大陆)/2012-11-02(美国)
"奇迹男孩 Wonder",美国/中国香港,8.6,2018-01-19(中国大陆)/2017-11-17(美国)
"城南旧事",中国大陆,9.0,1983
"淘金记 The Gold Rush",美国,9.2,1925-06-26(美国)
"步履不停 歩いても 歩いても",日本,8.8,2008-06-28(日本)
"虎口脱险 La grande vadrouille",法国/英国,8.9,1966-12-08(法国)
"心迷宫",中国大陆,8.7,2015-10-16(中国大陆)/2014-07-21(FIRST青年影展)/2014-08-28(威尼斯电影节)
"隐藏人物 Hidden Figures",美国,8.8,2016-12-25(美国)
"记忆碎片 Memento",美国,8.7,2000-09-05(威尼斯电影节)/2000-10-20(英国)/2001-05-25(美国)
"九品芝麻官",中国香港/中国大陆,8.6,1994-03-31(中国香港)
"花样年华 花樣年華",中国香港,8.7,2000-09-29(中国香港)/2000-05-20(戛纳电影节)
"可可西里",中国大陆/中国香港,8.8,2004-10-01(中国大陆)/2005-04-21(中国香港)
"2001太空漫游 2001: A Space Odyssey",英国/美国,8.8,1968-04-02(华盛顿首映)/1968-05-12(英国)
"冰川时代 Ice Age",美国,8.6,2002-03-15(美国)
"千钧一发 Gattaca",美国,8.8,1997-10-24(美国)
"岁月神偷 歲月神偷",中国香港/中国大陆,8.7,2010-04-16(中国大陆)/2010-03-11(中国香港)/2010-02-14(柏林电影节)
"罗生门 羅生門",日本,8.8,1950-08-26(日本)
"福音战士新剧场版：破 ヱヴァンゲリヲン新劇場版：破",日本,9.3,2009-06-27(日本)
"贫民窟的百万富翁 Slumdog Millionaire",英国,8.6,2009-03-26(中国大陆)/2008-08-30(特柳赖德电影节)/2009-01-09(英国)
"人工智能 Artificial Intelligence: AI",美国/英国,8.7,2001-06-29(美国)
"疯狂的石头",中国大陆/中国香港,8.5,2006-06-30(中国大陆)/2006-08-10(中国香港)
"魂断蓝桥 Waterloo Bridge",美国,8.8,1940-05-17(美国)
"黑天鹅 Black Swan",美国,8.6,2010-09-01(威尼斯电影节)/2010-12-17(美国)
"大独裁者 The Great Dictator",美国,9.1,1940-10-15
"雨人 Rain Man",美国,8.7,1988-12-16(美国)
"血钻 Blood Diamond",美国/德国/英国,8.7,2006-12-08(美国)
"东邪西毒 東邪西毒",中国香港/中国台湾,8.6,1994-09-17(中国大陆)/1994-09-12(威尼斯电影节)
"真爱至上 Love Actually",英国/美国/法国,8.6,2003-09-07(多伦多电影节)/2003-11-06(美国)/2003-11-21(英国)
"聚焦 Spotlight",美国,8.8,2015-09-03(威尼斯电影节)/2015-11-25(美国)
"燃情岁月 Legends of the Fall",美国,8.8,1994-12-16(美国)
"萤火虫之墓 火垂るの墓",日本,8.7,1988-04-16(日本)
"比海更深 海よりもまだ深く",日本,8.8,2016-05-18(戛纳电影节)/2016-05-21(日本)
"海边的曼彻斯特 Manchester by the Sea",美国,8.6,2017-08-25(中国大陆)/2016-01-23(圣丹斯电影节)/2016-11-18(美国)
"攻壳机动队 攻殻機動隊",日本,9.0,1995-11-18(日本)
"战争与和平1：安德烈·博尔孔斯基 Война и мир I: Андрей Болконский",苏联,9.2,1965-07(莫斯科电影节)
"战争与和平4：皮埃尔·别祖霍夫 Война и мир IV: Пьер Безухов",苏联,9.2,1967-11-04(苏联)
"最后一课 La dernière leçon",法国,8.5,2015-11-04(法国)
"战争与和平2：娜塔莎·罗斯托娃 Война и мир II: Наташа Ростова",苏联,9.1,1966-07-23
"拽妹黛薇儿之暑假要结束了没 Daria: The Movie - Is It Fall Yet?",USA,9.3,2000-08-27
"跳出我天地音乐剧 Billy Elliot the Musical",英国,9.3,2014-09-28
"战争与和平3：1812年 Война и мир III: 1812 год",苏联,9.1,1967-11-23
"排球少年剧场版：观念之战 劇場版 ハイキュー!! コンセプトの戦い",日本,9.2,2017-09-29(日本)
"人间的条件(第五、六部) 人間の條件",日本,9.2,1961-01-28(日本)
"少年骇客：变身之谜 Ben 10: Secret of the Omnitrix",美国,9.2,2007-08-10(美国)
"丝路花雨",中国大陆,9.1,1982
"福尔摩斯：斑点带子案 "The Adventures of Sherlock Holmes" The Speckled Band",英国,9.2,1984-05-29
"排球少年剧场版：才能与感觉 劇場版 ハイキュー!! 才能とセンス",日本,9.2,2017-09-15(日本)
"皮罗斯马尼 ფიროსმანი",苏联,9.0,1972-05-15(苏联)
"贴着你心跳",中国大陆,8.6,2015-06-24(中国大陆)
"卓别林短片精选 The Chaplin Revue",英国/美国,9.0,1959-09-01
"福尔摩斯：跳舞的人 "The Adventures of Sherlock Holmes" The Dancing Men",英国,9.1,1984-05-01
"红发会 "The Adventures of Sherlock Holmes" The Red Headed League",英国,9.2,1985-09-22
"半碗村传奇",中国大陆,8.5,2001(中国大陆)
"史努比的惊险夏令营 Race for Your Life, Charlie Brown",美国,8.9,1977-08-24
"拜访森林 Into the Woods",美国,9.3,1991-03-15(美国)
"新世纪福音战士 第0:0话 诞生之始 新世紀エヴァンゲリオン Genesis 0:0 IN THE BEGINNING",日本,9.2,1995-12-21(日本)
"阿信的故事 おしん",日本,9.1,1984-03-17(日本)
"最后一案 "The Adventures of Sherlock Holmes" The Final Problem",英国,9.3,1985-09-29
