Exporters,Exported value in 2001,Exported value in 2002,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in average
World,6127168103,6424106515,7485766161,9100843775,10342419304,11955765894,13784832050,15967558074,12345154948,15095730404,18143499852,18396522815,18880914380,18852096277,16413417359,15932233084,17570078937,19324247710,18733766014,17308947541,14409253460
China,266098209,325595970,438227767,593325581,761953410,968935601,1220059668,1430693100,1201646800,1577763800,1898388400,2048782200,2209007300,2342292696,2281855922,2118980582,2271796142,2494230195,2498569866,2590607686,1576940545
United States of America,729080421,693068307,724736583,814844394,901041411,1037029245,1162538150,1299898877,1056712100,1278099187,1481682200,1544932000,1577587300,1619742900,1503101490,1451459684,1546462344,1665992032,1645174335,1431406392,1258229468
Germany,571426720,615997391,748531267,911742096,977131972,1121962887,1328841354,1457462950,1125844048,1267743109,1483802558,1410146321,1450937515,1498238432,1323665116,1332489067,1444776367,1556622939,1486877250,1377863429,1224605139
Japan,403344077,416729388,472006874,565761137,594940866,646725059,714327036,781412163,580718734,769773832,823183759,798620023,715097244,690217466,625005915,645589410,698021623,738164252,705842013,640953137,651321700.4
Italy,244252016,254215604,299465736,353543123,372957146,417152997,500203413,541786283,406479127,446839830,523256296,501528851,518095103,529528733,456988626,461667625,507430236,549906996,537748429,495976960,445951156.5
France,289599105,304891879,358131717,413708422,434354245,479012852,539730712,594504995,464112811,511651043,585723824,558460545,567987698,569409762,495442074,490188457,523809550,569138524,555100606,475071675,489001524.8
United Kingdom,279425459,285996254,312059900,355027954,392744019,458598557,454005490,482020962,359615540,422014118,517288693,481225754,548041853,511145443,466295683,411463356,441847324,490840364,468322416,399621519,426880032.9
Canada,261058775,252584260,272229686,317161192,360552446,388178676,419881604,455632184,315176831,386579900,450430008,454098967,456598271,475177176,410688692,390195631,421161325,450790344,446562311,389850223,388729425.1
Spain,116148838,125872283,156004713,182727354,192798427,214048701,253753922,279197237,223132208,247565706,299207388,285936446,313106420,319651825,276958512,283761066,311600619,346064315,337215114,312080513,253841580.4
India,43878489,50097958,59360659,75904200,100352637,121200606,145898053,181860898,176765036,220408496,301483250,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,208219167.7
