侍卫司步军都指挥使 侍卫司马军都指挥使 侍卫司马步军副都指挥使 侍卫司马步军都指挥使 供奉官都知 保任 军员转補 募入军伍 叛军 太原 宰相 山东 山西 常山 开国君主 开封 张令铎 张永德 忠武军节度使 昭仪节度使 李处耘 李筠 李重进 柴宗训 柴荣 武将 殿前司掌书记 殿前司都押衙 殿前司都指挥使 殿前司都点检 殿前司都虞候 河北 河南 洛阳 潞州 濮阳 王审琦 皇帝 石守信 科举 立储 统治者 继位 胥吏出职 范质 赵光义 赵匡胤 赵普 邢台 邢州 郭威 阳信 阳曲 韩通 高怀德 

0.0 0.0 0.0 0.0 0.0 0.32175815740376945 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2447011689057389 0.0 0.0 0.0 0.5353362965572684 0.0 0.0 0.29899296792057933 0.41716463223892386 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5353362965572684 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.49184974592372144 0.3832774270950778 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2747051082664342 0.0 0.0 0.0 0.0 0.3832774270950778 0.0 0.0 0.0 0.3832774270950778 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.49184974592372144 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4554060310503938 0.0 0.0 0.0 0.0 0.0 0.0 0.3548784020143535 0.0 0.0 0.0 0.0 0.0 0.3548784020143535 0.0 0.0 0.4554060310503938 0.3548784020143535 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4554060310503938 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.47002666790558223 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2625166074908142 0.0 0.0 0.47002666790558223 0.0 0.3662716376981982 0.0 0.0 0.0 0.3662716376981982 0.47002666790558223 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.5353362965572683 0.3217581574037694 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4171646322389238 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.24470116890573887 0.0 0.0 0.0 0.0 0.0 0.0 0.2989929679205793 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5353362965572683 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2249744897477898 0.49217995443183343 0.0 0.0 0.0 0.0 0.0 0.27488953443463526 0.3835347444332343 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.49217995443183343 0.0 0.0 0.0 0.49217995443183343 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.30078834125138093 0.0 0.0 0.0 0.0 0.0 0.0 0.3253560563969019 0.0 0.0 0.0 0.0 0.5004470374656357 0.5004470374656357 0.0 0.0 0.0 0.0 0.0 0.0 0.22875335715286182 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5004470374656357 0.0 0.0 

0.0 0.0 0.0 0.49090547188483025 0.0 0.2950534852743609 0.0 0.0 0.42751666736134597 0.3825415948066638 0.0 0.0 0.3191527902831796 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.49090547188483025 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.517060807548541 0.0 0.0 0.0 0.36617926521677957 0.0 0.0 0.402923326913017 0.0 0.0 0.3361571808144484 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.23634747880193108 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.517060807548541 0.0 

