侍卫司步军都指挥使 侍卫司马军都指挥使 侍卫司马步军副都指挥使 侍卫司马步军都指挥使 供奉官都知 保任 军员转補 募入军伍 叛军 太原 宰相 山东 山西 常山 开国君主 开封 张令铎 张永德 忠武军节度使 昭仪节度使 李处耘 李筠 李重进 柴宗训 柴荣 武将 殿前司掌书记 殿前司都押衙 殿前司都指挥使 殿前司都点检 殿前司都虞候 河北 河南 洛阳 潞州 濮阳 王审琦 皇帝 石守信 科举 立储 统治者 继位 胥吏出职 范质 赵光义 赵匡胤 赵普 邢台 邢州 郭威 阳信 阳曲 韩通 高怀德 
0.0 0.0 0.0 0.0 0.0 0.3217581574037694 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4171646322389238 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.24470116890573887 0.0 0.0 0.5353362965572683 0.0 0.0 0.0 0.2989929679205793 0.0 0.0 0.0 0.0 0.0 0.5353362965572683 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.37172291676413705 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.23992558436669784 0.0 0.0 0.0 0.0 0.5248886809922966 0.0 0.29315782540259017 0.40902325319744337 0.0 0.0 0.5248886809922966 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.4812523059972903 0.0 0.0 0.0 0.0 0.3408199059400277 0.0 0.0 0.0 0.0 0.0 0.0 0.4812523059972903 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.21997948312761453 0.0 0.0 0.0 0.0 0.0 0.3750192963499475 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.4812523059972903 

0.46075234264196485 0.0 0.0 0.0 0.0 0.0 0.32630195871054396 0.0 0.0 0.0 0.0 0.46075234264196485 0.0 0.0 0.0 0.0 0.46075234264196485 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.21060899017237678 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.46075234264196485 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.30078834125138093 0.0 0.0 0.0 0.0 0.0 0.0 0.3253560563969019 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5004470374656357 0.0 0.0 0.0 0.0 0.22875335715286182 0.0 0.5004470374656357 0.0 0.0 0.0 0.0 0.0 0.0 0.5004470374656357 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.45699119808079475 0.39798161806353943 0.35611365474338963 0.0 0.0 0.29710407472613437 0.0 0.0 0.0 0.0 0.0 0.0 0.45699119808079475 0.0 0.45699119808079475 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.7251308603367135 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.28253170074850253 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.36256543016835674 0.0 0.0 0.0 0.0 0.36256543016835674 0.0 0.0 0.0 0.36256543016835674 0.0 0.0 0.0 0.0 0.0 0.0 

